Finder run KdTree, 508, 32, 1.695493333333e+01, 1.765473185179e-03, 1.671100000000e+01, 1.774100000000e+01
Finder run UniformGrid, 501, 60, 8.642206896552e+00, 1.227786912139e-04, 8.528000000000e+00, 8.847000000000e+00
Finder run BruteForce, 500, 253, 1.994932270916e+00, 1.863841028034e-06, 1.969000000000e+00, 2.064000000000e+00
Finder build KdTree Sequential, 868, 10, 1.078987500000e+02, 2.669505234371e-01, 1.053320000000e+02, 1.096850000000e+02
Finder build KdTree ThreadPool, 1504, 10, 1.876020000000e+02, 2.095097106250e+01, 1.726240000000e+02, 2.176050000000e+02
Finder build KdTree Tbb, 654, 10, 8.138600000000e+01, 2.537318750002e-01, 7.912200000000e+01, 8.380100000000e+01
LutKernel sequential, 500, 5120, 9.698886283705e-02, 8.060787371090e-10, 9.300000000000e-02, 1.340000000000e-01
LutKernel random, 500, 1510, 3.311962864721e-01, 7.622472331757e-08, 3.230000000000e-01, 5.910000000000e-01
BruteForceGravity, 1288, 10, 1.610041250000e+02, 1.160694385742e+01, 1.448800000000e+02, 1.691350000000e+02
BarnesHut Octupole 0.2, 66813, 10, 8.350541000000e+03, 5.545908837393e+01, 8.318700000000e+03, 8.381181000000e+03
BarnesHut Octupole 0.5, 8308, 10, 1.037450375000e+03, 6.447688730550e-01, 1.034107000000e+03, 1.040316000000e+03
BarnesHut Octupole 0.8, 3135, 10, 3.908663750000e+02, 4.931259980440e-01, 3.882190000000e+02, 3.942360000000e+02
BarnesHut Octupole 5, 509, 15, 3.857415384615e+01, 7.190341374606e-03, 3.818400000000e+01, 3.923200000000e+01
BarnesHut Monopole 0.2, 44741, 10, 5.591518750000e+03, 1.693814099208e+01, 5.572939000000e+03, 5.615521000000e+03
BarnesHut Monopole 0.5, 4730, 10, 5.908447500000e+02, 1.739478554686e+00, 5.877670000000e+02, 5.990160000000e+02
BarnesHut build Sequential, 1575, 10, 1.953592500000e+02, 5.131916171867e-01, 1.915940000000e+02, 1.976810000000e+02
BarnesHut build ThreadPool, 2082, 10, 2.587511250000e+02, 1.300328576173e+00, 2.549220000000e+02, 2.644570000000e+02
BarnesHut build Tbb, 1445, 10, 1.793136250000e+02, 3.002496855479e-01, 1.763050000000e+02, 1.815200000000e+02
HardSphereSolver bounce, 501, 42, 1.253227500000e+01, 5.139774843734e-04, 1.230700000000e+01, 1.287600000000e+01
HardSphereSolver merge, 511, 38, 1.419608333333e+01, 1.002618113426e-02, 1.343600000000e+01, 1.495800000000e+01
std::map 10, 500, 10910, 4.516373303998e-02, 4.341384253166e-11, 4.500000000000e-02, 5.200000000000e-02
Sph::Map 10, 500, 10870, 4.544865660656e-02, 7.332232092192e-11, 4.500000000000e-02, 6.600000000000e-02
std::map 100, 500, 6676, 7.438867246030e-02, 3.044699295954e-10, 7.200000000000e-02, 8.800000000000e-02
Sph::Map 100, 500, 5751, 8.646251522004e-02, 4.849829518702e-10, 8.300000000000e-02, 1.000000000000e-01
std::map 1000, 500, 2611, 1.911364507474e-01, 4.051403797838e-09, 1.870000000000e-01, 2.260000000000e-01
Sph::Map 1000, 500, 4032, 1.236178660050e-01, 9.218401476423e-10, 1.210000000000e-01, 1.470000000000e-01
std::map 10000, 500, 1296, 3.859489953632e-01, 3.289145341735e-08, 3.800000000000e-01, 5.460000000000e-01
Sph::Map 10000, 500, 1437, 3.480891986063e-01, 1.455235954156e-08, 3.430000000000e-01, 3.910000000000e-01
SymmetricSolver simple, 5079, 10, 6.184616250000e+02, 1.348085216792e+00, 6.133940000000e+02, 6.234280000000e+02
AsymmetricSolver simple, 3109, 10, 3.885380000000e+02, 2.260570406252e+00, 3.823640000000e+02, 3.971210000000e+02
EnergyConservingSolver simple, 6484, 10, 7.842712500000e+02, 5.636125210949e+00, 7.758710000000e+02, 7.959420000000e+02
GravitySolver simple, 16819, 10, 2.100055750000e+03, 3.772298992262e+00, 2.094052000000e+03, 2.108732000000e+03
EulerExplicit N=1e5, 1746, 10, 2.182163750000e+02, 1.352064980474e-01, 2.163470000000e+02, 2.200150000000e+02
LeapFrog N=1e5, 1677, 10, 2.095838750000e+02, 1.595044199203e-01, 2.075580000000e+02, 2.110780000000e+02
PredictorCorrector N=1e5, 1585, 10, 1.980590000000e+02, 5.888750624999e-01, 1.938240000000e+02, 2.005440000000e+02
EulerExplicit N=1e6, 24703, 10, 3.086186125000e+03, 8.430556282611e+01, 3.024177000000e+03, 3.114767000000e+03
LeapFrog N=1e6, 23350, 10, 2.917623750000e+03, 1.495130080474e+01, 2.899685000000e+03, 2.932372000000e+03
PredictorCorrector N=1e6, 1588, 10, 1.984970000000e+02, 2.533184062486e-01, 1.964770000000e+02, 2.014100000000e+02
