Finder run KdTree, 506, 31, 1.747293103448e+01, 1.767582623314e-02, 1.709000000000e+01, 2.122700000000e+01
Finder run UniformGrid, 509, 59, 8.934298245614e+00, 2.575797454547e-03, 8.762000000000e+00, 1.175800000000e+01
Finder run BruteForce, 500, 249, 2.025473684211e+00, 9.884976936102e-05, 1.954000000000e+00, 3.696000000000e+00
Finder build KdTree Sequential, 862, 10, 1.074396250000e+02, 9.720561542968e-01, 1.045760000000e+02, 1.108260000000e+02
Finder build KdTree ThreadPool, 1444, 10, 1.801296250000e+02, 1.138265527930e+01, 1.695230000000e+02, 2.014420000000e+02
Finder build KdTree Tbb, 658, 10, 8.190912500000e+01, 3.257249824219e-01, 7.881700000000e+01, 8.381700000000e+01
LutKernel sequential, 500, 5056, 9.815809259993e-02, 1.646908288861e-10, 9.800000000000e-02, 1.410000000000e-01
LutKernel random, 500, 1452, 3.443627586207e-01, 4.906976883043e-08, 3.290000000000e-01, 3.950000000000e-01
BruteForceGravity, 1287, 10, 1.609768750000e+02, 1.087607916992e+01, 1.438480000000e+02, 1.691990000000e+02
BarnesHut Octupole 0.2, 64812, 10, 8.100042625000e+03, 2.855020724703e+01, 8.069118000000e+03, 8.120374000000e+03
BarnesHut Octupole 0.5, 8068, 10, 1.007451000000e+03, 2.509964062629e-01, 1.004971000000e+03, 1.009941000000e+03
BarnesHut Octupole 0.8, 3040, 10, 3.790806250000e+02, 4.238302930025e-02, 3.782170000000e+02, 3.800540000000e+02
BarnesHut Octupole 5, 535, 16, 3.766542857143e+01, 9.385379009278e-04, 3.741900000000e+01, 3.787300000000e+01
BarnesHut Monopole 0.2, 46199, 10, 5.773913875000e+03, 1.436416312023e+02, 5.691616000000e+03, 5.807338000000e+03
BarnesHut Monopole 0.5, 4736, 10, 5.911123750000e+02, 3.027916543142e-01, 5.888310000000e+02, 5.933260000000e+02
BarnesHut build Sequential, 1429, 10, 1.769293750000e+02, 1.578221341797e+00, 1.738070000000e+02, 1.829090000000e+02
BarnesHut build ThreadPool, 2025, 10, 2.517928750000e+02, 4.406890449209e-01, 2.493290000000e+02, 2.547690000000e+02
BarnesHut build Tbb, 1368, 10, 1.694540000000e+02, 1.790451249999e-01, 1.675340000000e+02, 1.713200000000e+02
HardSphereSolver bounce, 505, 41, 1.295200000000e+01, 8.696383957986e-05, 1.286500000000e+01, 1.312400000000e+01
HardSphereSolver merge, 513, 37, 1.467860000000e+01, 1.017820114286e-02, 1.399000000000e+01, 1.539100000000e+01
std::map 10, 500, 10308, 4.804036483602e-02, 1.219436856272e-11, 4.800000000000e-02, 5.700000000000e-02
Sph::Map 10, 500, 10307, 4.804279475983e-02, 2.207421350375e-11, 4.800000000000e-02, 7.500000000000e-02
std::map 100, 500, 6697, 7.415638536221e-02, 5.481393664658e-10, 7.000000000000e-02, 1.010000000000e-01
Sph::Map 100, 500, 7264, 6.828242908290e-02, 2.998624248538e-10, 6.600000000000e-02, 7.400000000000e-02
std::map 1000, 500, 2293, 2.177407245744e-01, 9.737682742959e-09, 2.100000000000e-01, 2.330000000000e-01
Sph::Map 1000, 500, 4419, 1.126909667195e-01, 1.504835295072e-09, 1.080000000000e-01, 1.440000000000e-01
std::map 10000, 500, 1223, 4.092743652744e-01, 6.196709617809e-08, 3.930000000000e-01, 4.310000000000e-01
Sph::Map 10000, 500, 1420, 3.522715091678e-01, 4.296286758783e-08, 3.400000000000e-01, 4.350000000000e-01
SymmetricSolver simple, 4615, 10, 5.546601250000e+02, 3.538179654491e+01, 5.411560000000e+02, 5.967620000000e+02
AsymmetricSolver simple, 4104, 10, 5.099241250000e+02, 5.913162282616e+01, 4.686230000000e+02, 5.305190000000e+02
EnergyConservingSolver simple, 129116, 10, 9.880433750000e+02, 3.710498123037e+00, 9.764490000000e+02, 9.942850000000e+02
GravitySolver simple, 16491, 10, 2.059518500000e+03, 3.511651749955e+00, 2.048443000000e+03, 2.066132000000e+03
EulerExplicit N=1e5, 1732, 10, 2.164180000000e+02, 1.088096874992e-02, 2.160290000000e+02, 2.168890000000e+02
LeapFrog N=1e5, 1673, 10, 2.091413750000e+02, 1.975452792967e-01, 2.075810000000e+02, 2.110770000000e+02
PredictorCorrector N=1e5, 1560, 10, 1.950352500000e+02, 1.683722734388e-01, 1.937520000000e+02, 1.970870000000e+02
EulerExplicit N=1e6, 24371, 10, 3.042461125000e+03, 2.027278254461e+01, 3.016447000000e+03, 3.066973000000e+03
LeapFrog N=1e6, 24146, 10, 3.016131875000e+03, 1.760954929516e+01, 3.002746000000e+03, 3.037125000000e+03
PredictorCorrector N=1e6, 1558, 10, 1.947536250000e+02, 1.550500292969e-01, 1.928300000000e+02, 1.961990000000e+02
