Finder run KdTree, 506, 32, 1.688400000000e+01, 4.565577777782e-04, 1.670500000000e+01, 1.716800000000e+01
Finder run UniformGrid, 504, 61, 8.539898305085e+00, 5.187170061196e-05, 8.476000000000e+00, 8.710000000000e+00
Finder run BruteForce, 501, 260, 1.944635658915e+00, 1.765665403810e-06, 1.923000000000e+00, 2.049000000000e+00
Finder build KdTree Sequential, 824, 10, 1.023641250000e+02, 2.450123574222e-01, 9.986300000000e+01, 1.040740000000e+02
Finder build KdTree ThreadPool, 1379, 10, 1.719376250000e+02, 1.900727112305e+01, 1.660110000000e+02, 2.044940000000e+02
Finder build KdTree Tbb, 617, 10, 7.646450000000e+01, 2.615912187498e-01, 7.418000000000e+01, 7.862300000000e+01
LutKernel sequential, 500, 5091, 9.766142660641e-02, 4.150000317503e-10, 9.200000000000e-02, 1.070000000000e-01
LutKernel random, 500, 1530, 3.268821989529e-01, 3.868400494854e-08, 3.190000000000e-01, 3.510000000000e-01
BruteForceGravity, 1308, 10, 1.634997500000e+02, 1.015922686719e+01, 1.431240000000e+02, 1.694110000000e+02
BarnesHut Octupole 0.2, 64335, 10, 8.040495000000e+03, 1.571482321555e+02, 7.972318000000e+03, 8.076324000000e+03
BarnesHut Octupole 0.5, 7825, 10, 9.768388750000e+02, 1.031719419974e+00, 9.747260000000e+02, 9.833890000000e+02
BarnesHut Octupole 0.8, 2949, 10, 3.673316250000e+02, 6.708093554334e-02, 3.658170000000e+02, 3.684080000000e+02
BarnesHut Octupole 5, 524, 16, 3.663564285714e+01, 1.266934766769e-03, 3.627900000000e+01, 3.686900000000e+01
BarnesHut Monopole 0.2, 43441, 10, 5.428877500000e+03, 1.341991318753e+02, 5.367500000000e+03, 5.470596000000e+03
BarnesHut Monopole 0.5, 4532, 10, 5.652430000000e+02, 9.056565626088e-02, 5.643900000000e+02, 5.670080000000e+02
BarnesHut build Sequential, 1342, 10, 1.657656250000e+02, 2.494232167969e-01, 1.620830000000e+02, 1.666070000000e+02
BarnesHut build ThreadPool, 2009, 10, 2.490666250000e+02, 4.717923560548e+00, 2.455190000000e+02, 2.650690000000e+02
BarnesHut build Tbb, 1439, 10, 1.779161250000e+02, 5.251022949228e-01, 1.753270000000e+02, 1.812160000000e+02
HardSphereSolver bounce, 509, 41, 1.307112820513e+01, 5.877030631012e-04, 1.292000000000e+01, 1.382600000000e+01
HardSphereSolver merge, 503, 36, 1.479364705882e+01, 1.120419010788e-02, 1.406700000000e+01, 1.556200000000e+01
std::map 10, 500, 10719, 4.628048894281e-02, 5.459522667060e-10, 4.400000000000e-02, 2.050000000000e-01
Sph::Map 10, 500, 10950, 4.535869565218e-02, 1.329098483083e-10, 4.500000000000e-02, 1.080000000000e-01
std::map 100, 500, 5887, 8.442718776551e-02, 2.353695041424e-09, 8.200000000000e-02, 2.530000000000e-01
Sph::Map 100, 500, 7135, 6.958727043320e-02, 4.100835629707e-10, 6.800000000000e-02, 1.340000000000e-01
std::map 1000, 500, 2559, 1.950250293312e-01, 1.753992515796e-08, 1.880000000000e-01, 3.690000000000e-01
Sph::Map 1000, 500, 4951, 1.005393008689e-01, 1.153066837806e-09, 9.800000000000e-02, 1.220000000000e-01
std::map 10000, 500, 1316, 3.801057838661e-01, 1.502646224385e-07, 3.700000000000e-01, 6.300000000000e-01
Sph::Map 10000, 500, 1511, 3.309575878065e-01, 3.359093753032e-08, 3.240000000000e-01, 3.620000000000e-01
SymmetricSolver simple, 5150, 10, 6.131868750000e+02, 3.117554511555e-01, 6.099300000000e+02, 6.156170000000e+02
AsymmetricSolver simple, 3157, 10, 3.894022500000e+02, 3.897843554692e+00, 3.827210000000e+02, 4.002400000000e+02
EnergyConservingSolver simple, 5688, 10, 6.770527500000e+02, 4.202309589297e+02, 6.219360000000e+02, 7.993990000000e+02
GravitySolver simple, 16198, 10, 2.018699250000e+03, 1.352001229921e+02, 1.995347000000e+03, 2.091047000000e+03
EulerExplicit N=1e5, 1709, 10, 2.129493750000e+02, 1.047051542992e-01, 2.116330000000e+02, 2.148330000000e+02
LeapFrog N=1e5, 1628, 10, 2.035106250000e+02, 5.403707480455e-01, 2.015530000000e+02, 2.086840000000e+02
PredictorCorrector N=1e5, 1528, 10, 1.909365000000e+02, 1.486591562489e-01, 1.896510000000e+02, 1.935270000000e+02
EulerExplicit N=1e6, 23574, 10, 2.945307875000e+03, 6.805715207616e+01, 2.926010000000e+03, 3.002817000000e+03
LeapFrog N=1e6, 22299, 10, 2.785856125000e+03, 8.607163357316e+00, 2.777902000000e+03, 2.804108000000e+03
PredictorCorrector N=1e6, 1537, 10, 1.918653750000e+02, 1.450536855455e-01, 1.906420000000e+02, 1.944670000000e+02
