Finder run KdTree, 515, 32, 1.717160000000e+01, 3.917591111057e-04, 1.700800000000e+01, 1.741400000000e+01
Finder run UniformGrid, 501, 59, 8.797947368421e+00, 1.411464580186e-04, 8.587000000000e+00, 9.011000000000e+00
Finder run BruteForce, 500, 251, 2.010574297189e+00, 6.101157845039e-05, 1.935000000000e+00, 3.504000000000e+00
Finder build KdTree Sequential, 907, 10, 1.129047500000e+02, 1.907003773438e+00, 1.077580000000e+02, 1.191940000000e+02
Finder build KdTree ThreadPool, 1426, 10, 1.777763750000e+02, 6.513201542966e-01, 1.740910000000e+02, 1.820340000000e+02
Finder build KdTree Tbb, 672, 10, 8.361237500000e+01, 1.070126310547e+00, 7.926000000000e+01, 8.939700000000e+01
LutKernel sequential, 500, 5050, 9.848217115690e-02, 9.016007325712e-08, 9.800000000000e-02, 1.608000000000e+00
LutKernel random, 500, 1457, 3.431869415808e-01, 5.679344924575e-08, 3.270000000000e-01, 3.710000000000e-01
BruteForceGravity, 1288, 10, 1.610532500000e+02, 9.597716304687e+00, 1.466020000000e+02, 1.699540000000e+02
BarnesHut Octupole 0.2, 73959, 10, 9.243569500000e+03, 1.671293120962e+02, 9.187750000000e+03, 9.298029000000e+03
BarnesHut Octupole 0.5, 9293, 10, 1.160407500000e+03, 3.354343343759e+00, 1.152612000000e+03, 1.170197000000e+03
BarnesHut Octupole 0.8, 3509, 10, 4.374103750000e+02, 1.869086810548e+00, 4.333340000000e+02, 4.426210000000e+02
BarnesHut Octupole 5, 526, 13, 4.698600000000e+01, 9.175799999994e-02, 4.591200000000e+01, 4.891200000000e+01
BarnesHut Monopole 0.2, 45397, 10, 5.673331000000e+03, 8.995678149387e+02, 5.550167000000e+03, 5.792370000000e+03
BarnesHut Monopole 0.5, 4682, 10, 5.840608750000e+02, 2.537199199214e-01, 5.818830000000e+02, 5.860310000000e+02
BarnesHut build Sequential, 1443, 10, 1.788322500000e+02, 7.519295234379e-01, 1.750760000000e+02, 1.826690000000e+02
BarnesHut build ThreadPool, 2187, 10, 2.707818750000e+02, 1.135672813867e+01, 2.600290000000e+02, 2.931230000000e+02
std::map 10, 500, 10305, 4.805289721441e-02, 2.057591890591e-11, 4.800000000000e-02, 6.600000000000e-02
Sph::Map 10, 500, 10411, 4.749601306562e-02, 1.488739209079e-10, 4.500000000000e-02, 7.800000000000e-02
std::map 100, 500, 6612, 7.510453857791e-02, 4.655478643451e-10, 7.200000000000e-02, 8.800000000000e-02
Sph::Map 100, 500, 5756, 8.636826555440e-02, 7.885175308514e-10, 8.200000000000e-02, 1.100000000000e-01
std::map 1000, 500, 2562, 1.948628906250e-01, 7.879466951041e-09, 1.870000000000e-01, 2.060000000000e-01
Sph::Map 1000, 500, 3773, 1.320692124105e-01, 4.490362539252e-09, 1.220000000000e-01, 1.790000000000e-01
std::map 10000, 500, 1266, 3.950727848101e-01, 7.989085770866e-08, 3.820000000000e-01, 5.540000000000e-01
Sph::Map 10000, 500, 1419, 3.523775582216e-01, 4.514542703800e-08, 3.400000000000e-01, 3.780000000000e-01
SymmetricSolver simple, 9724, 10, 1.186802625000e+03, 1.478986162480e+02, 1.130088000000e+03, 1.246622000000e+03
AsymmetricSolver simple, 6411, 10, 7.965605000000e+02, 1.512533250000e+01, 7.766790000000e+02, 8.154730000000e+02
EnergyConservingSolver simple, 8489, 10, 1.014861750000e+03, 3.230253955469e+01, 1.000560000000e+03, 1.053094000000e+03
GravitySolver simple, 23829, 10, 2.976913125000e+03, 7.786194110732e+01, 2.946890000000e+03, 3.027115000000e+03
