Finder run KdTree, 500, 32, 1.667006666667e+01, 7.459754074129e-04, 1.654900000000e+01, 1.718200000000e+01
Finder run UniformGrid, 505, 61, 8.565677966102e+00, 7.111602452086e-05, 8.491000000000e+00, 8.762000000000e+00
Finder run BruteForce, 501, 258, 1.956476562500e+00, 2.370584011226e-07, 1.946000000000e+00, 1.992000000000e+00
Finder build KdTree Sequential, 814, 10, 1.014097500000e+02, 2.650264609374e-01, 9.903300000000e+01, 1.030260000000e+02
Finder build KdTree ThreadPool, 1427, 10, 1.779663750000e+02, 6.692138435546e+00, 1.697050000000e+02, 1.913460000000e+02
Finder build KdTree Tbb, 593, 10, 7.363337500000e+01, 4.553724804657e-02, 7.223900000000e+01, 7.423700000000e+01
LutKernel sequential, 500, 5349, 9.298167196559e-02, 5.188524531405e-10, 9.100000000000e-02, 1.060000000000e-01
LutKernel random, 500, 1537, 3.251947882736e-01, 1.265955428939e-08, 3.180000000000e-01, 3.720000000000e-01
BruteForceGravity, 1298, 10, 1.623173750000e+02, 9.293673779297e+00, 1.474310000000e+02, 1.695690000000e+02
BarnesHut Octupole 0.2, 64210, 10, 8.024959625000e+03, 5.261917440314e+01, 7.992559000000e+03, 8.049880000000e+03
BarnesHut Octupole 0.5, 7797, 10, 9.733722500000e+02, 2.747720547050e-01, 9.711400000000e+02, 9.759480000000e+02
BarnesHut Octupole 0.8, 2958, 10, 3.685370000000e+02, 1.673217500029e-01, 3.673210000000e+02, 3.706450000000e+02
BarnesHut Octupole 5, 525, 16, 3.680614285714e+01, 1.382984548106e-02, 3.631400000000e+01, 3.772300000000e+01
BarnesHut Monopole 0.2, 42905, 10, 5.361860500000e+03, 5.507641828060e+01, 5.326584000000e+03, 5.389336000000e+03
BarnesHut Monopole 0.5, 4513, 10, 5.628441250000e+02, 1.414494824203e-01, 5.611480000000e+02, 5.648190000000e+02
BarnesHut build Sequential, 1278, 10, 1.580891250000e+02, 5.610208261728e-01, 1.562530000000e+02, 1.627000000000e+02
BarnesHut build ThreadPool, 1981, 10, 2.459267500000e+02, 3.802260234361e-01, 2.419880000000e+02, 2.476400000000e+02
BarnesHut build Tbb, 1419, 10, 1.758248750000e+02, 8.859525263674e+00, 1.658920000000e+02, 1.963480000000e+02
HardSphereSolver bounce, 505, 41, 1.295669230769e+01, 1.433742982861e-04, 1.283900000000e+01, 1.312500000000e+01
HardSphereSolver merge, 501, 36, 1.474841176471e+01, 1.218888774679e-02, 1.403900000000e+01, 1.549800000000e+01
std::map 10, 500, 10631, 4.662969235112e-02, 2.156258541372e-10, 4.400000000000e-02, 5.600000000000e-02
Sph::Map 10, 500, 11033, 4.505747439036e-02, 1.515052899919e-11, 4.500000000000e-02, 6.600000000000e-02
std::map 100, 500, 6600, 7.528038799636e-02, 1.385431403828e-10, 7.400000000000e-02, 9.200000000000e-02
Sph::Map 100, 500, 6270, 7.931206126356e-02, 1.383535053206e-10, 7.800000000000e-02, 9.300000000000e-02
std::map 1000, 500, 2582, 1.932829457364e-01, 1.516052162359e-09, 1.890000000000e-01, 2.080000000000e-01
Sph::Map 1000, 500, 4405, 1.130365659777e-01, 3.061481304721e-10, 1.110000000000e-01, 1.230000000000e-01
std::map 10000, 500, 1314, 3.806608231707e-01, 6.410145975379e-09, 3.750000000000e-01, 4.090000000000e-01
Sph::Map 10000, 500, 1352, 3.698533333333e-01, 1.965375034258e-08, 3.580000000000e-01, 4.040000000000e-01
SymmetricSolver simple, 4512, 10, 5.404195000000e+02, 1.918336000002e+00, 5.365290000000e+02, 5.499070000000e+02
AsymmetricSolver simple, 2928, 10, 3.610917500000e+02, 9.168709835938e+00, 3.522850000000e+02, 3.798780000000e+02
EnergyConservingSolver simple, 5467, 10, 6.513886250000e+02, 6.351325248033e+00, 6.402240000000e+02, 6.629540000000e+02
GravitySolver simple, 16070, 10, 2.006925500000e+03, 3.411564279374e+02, 1.984930000000e+03, 2.145106000000e+03
EulerExplicit N=1e5, 1688, 10, 2.108092500000e+02, 8.564817968636e-02, 2.097500000000e+02, 2.119770000000e+02
LeapFrog N=1e5, 1645, 10, 2.056120000000e+02, 8.911876250022e-01, 2.030420000000e+02, 2.118210000000e+02
PredictorCorrector N=1e5, 1522, 10, 1.902277500000e+02, 2.998206171869e-01, 1.889380000000e+02, 1.930950000000e+02
EulerExplicit N=1e6, 23713, 10, 2.961807375000e+03, 5.966348310467e+00, 2.953497000000e+03, 2.970750000000e+03
LeapFrog N=1e6, 22333, 10, 2.790410000000e+03, 2.185034849984e+01, 2.774156000000e+03, 2.817277000000e+03
PredictorCorrector N=1e6, 1518, 10, 1.897185000000e+02, 4.036896875004e-02, 1.885170000000e+02, 1.903650000000e+02
