Finder run KdTree, 506, 32, 1.687240000000e+01, 6.828521333341e-03, 1.646100000000e+01, 1.789900000000e+01
Finder run UniformGrid, 501, 61, 8.497813559322e+00, 4.491207961910e-05, 8.418000000000e+00, 8.644000000000e+00
Finder run BruteForce, 501, 259, 1.951618677043e+00, 4.861491170941e-06, 1.907000000000e+00, 2.066000000000e+00
Finder build KdTree Sequential, 819, 10, 1.018550000000e+02, 2.618413124997e-01, 9.936800000000e+01, 1.035090000000e+02
Finder build KdTree ThreadPool, 1391, 10, 1.734011250000e+02, 1.684623938867e+01, 1.665230000000e+02, 2.036660000000e+02
Finder build KdTree Tbb, 597, 10, 7.409537500000e+01, 9.157299804656e-02, 7.239400000000e+01, 7.508400000000e+01
LutKernel sequential, 500, 5146, 9.664793934681e-02, 1.556321719485e-09, 9.100000000000e-02, 1.890000000000e-01
LutKernel random, 500, 1518, 3.293120052770e-01, 1.567163166575e-08, 3.220000000000e-01, 3.720000000000e-01
BruteForceGravity, 1271, 10, 1.589665000000e+02, 5.938401625001e+00, 1.483620000000e+02, 1.690150000000e+02
BarnesHut Octupole 0.2, 64297, 10, 8.035770125000e+03, 9.421519913897e+01, 7.972309000000e+03, 8.060121000000e+03
BarnesHut Octupole 0.5, 7778, 10, 9.710746250000e+02, 1.221183730522e-01, 9.693860000000e+02, 9.725500000000e+02
BarnesHut Octupole 0.8, 2950, 10, 3.672365000000e+02, 4.657692187538e-01, 3.651310000000e+02, 3.692540000000e+02
BarnesHut Octupole 5, 520, 16, 3.644557142857e+01, 6.649333819204e-03, 3.611900000000e+01, 3.726300000000e+01
BarnesHut Monopole 0.2, 43220, 10, 5.401044625000e+03, 6.830949131027e+01, 5.356792000000e+03, 5.437656000000e+03
BarnesHut Monopole 0.5, 4520, 10, 5.636916250000e+02, 2.417564980351e-01, 5.620730000000e+02, 5.665990000000e+02
BarnesHut build Sequential, 1312, 10, 1.620312500000e+02, 6.615294296867e-01, 1.599310000000e+02, 1.659440000000e+02
BarnesHut build ThreadPool, 2900, 10, 3.607393750000e+02, 2.746735756231e+02, 3.399280000000e+02, 4.843330000000e+02
BarnesHut build Tbb, 779, 10, 9.540525000000e+01, 3.920258984376e-01, 9.215400000000e+01, 9.766500000000e+01
HardSphereSolver bounce, 506, 41, 1.299689743590e+01, 1.967032148262e-04, 1.269100000000e+01, 1.314000000000e+01
HardSphereSolver merge, 513, 37, 1.468377142857e+01, 8.949993609329e-03, 1.404600000000e+01, 1.536700000000e+01
std::map 10, 500, 10309, 4.803492771903e-02, 9.144188675889e-12, 4.800000000000e-02, 5.300000000000e-02
Sph::Map 10, 500, 10794, 4.590761675316e-02, 1.973506812684e-10, 4.400000000000e-02, 5.500000000000e-02
std::map 100, 500, 6943, 7.151793689671e-02, 3.454522009391e-10, 7.000000000000e-02, 8.100000000000e-02
Sph::Map 100, 500, 6123, 8.118755105375e-02, 2.564599101731e-10, 8.000000000000e-02, 9.400000000000e-02
std::map 1000, 500, 2577, 1.936765048544e-01, 3.394782323709e-09, 1.900000000000e-01, 2.110000000000e-01
Sph::Map 1000, 500, 4178, 1.192394636015e-01, 2.052674216662e-09, 1.150000000000e-01, 1.330000000000e-01
std::map 10000, 500, 1313, 3.810083905416e-01, 2.095099071149e-08, 3.750000000000e-01, 4.150000000000e-01
Sph::Map 10000, 500, 1431, 3.495668299510e-01, 2.211751269413e-08, 3.420000000000e-01, 4.060000000000e-01
SymmetricSolver simple, 4318, 10, 5.166007500000e+02, 1.367386742204e+00, 5.132860000000e+02, 5.236330000000e+02
AsymmetricSolver simple, 3141, 10, 3.893890000000e+02, 5.793491531247e+00, 3.829500000000e+02, 4.062040000000e+02
EnergyConservingSolver simple, 5415, 10, 6.463600000000e+02, 2.126561909377e+01, 6.323770000000e+02, 6.734900000000e+02
GravitySolver simple, 15338, 10, 1.915152500000e+03, 2.915496937465e+00, 1.908361000000e+03, 1.921213000000e+03
EulerExplicit N=1e5, 1632, 10, 2.037941250000e+02, 6.663345117249e-02, 2.030150000000e+02, 2.051490000000e+02
LeapFrog N=1e5, 1549, 10, 1.936038750000e+02, 6.620788867076e-02, 1.925270000000e+02, 1.947690000000e+02
PredictorCorrector N=1e5, 1449, 10, 1.809128750000e+02, 2.916873261720e-01, 1.790040000000e+02, 1.835840000000e+02
EulerExplicit N=1e6, 23161, 10, 2.893016625000e+03, 1.208476771705e+01, 2.882442000000e+03, 2.912124000000e+03
LeapFrog N=1e6, 21878, 10, 2.732061000000e+03, 5.232734187506e+00, 2.722554000000e+03, 2.739607000000e+03
PredictorCorrector N=1e6, 1463, 10, 1.829008750000e+02, 2.582494919921e+00, 1.797590000000e+02, 1.943660000000e+02
