Finder run KdTree, 511, 33, 1.650029032258e+01, 1.205893726321e-04, 1.640800000000e+01, 1.670800000000e+01
Finder run UniformGrid, 501, 61, 8.492898305085e+00, 6.927474571469e-05, 8.422000000000e+00, 8.731000000000e+00
Finder run BruteForce, 501, 258, 1.956656250000e+00, 1.031795501713e-06, 1.934000000000e+00, 2.055000000000e+00
Finder build KdTree Sequential, 827, 10, 1.026066250000e+02, 2.516801623047e+00, 9.835600000000e+01, 1.141170000000e+02
Finder build KdTree ThreadPool, 1448, 10, 1.805723750000e+02, 7.330456341797e+00, 1.732720000000e+02, 1.984830000000e+02
Finder build KdTree Tbb, 518, 13, 4.660654545455e+01, 4.360887663410e-01, 4.225900000000e+01, 5.040400000000e+01
LutKernel sequential, 500, 5379, 9.252687372141e-02, 1.616749407275e-10, 9.200000000000e-02, 1.010000000000e-01
LutKernel random, 500, 1528, 3.271913499345e-01, 9.389080241522e-09, 3.210000000000e-01, 3.610000000000e-01
BruteForceGravity, 1299, 10, 1.623836250000e+02, 7.164330123047e+00, 1.475580000000e+02, 1.693700000000e+02
BarnesHut Octupole 0.2, 64075, 10, 8.007610000000e+03, 6.189142856374e+01, 7.979598000000e+03, 8.034635000000e+03
BarnesHut Octupole 0.5, 7973, 10, 9.950171250000e+02, 5.547399060741e+01, 9.705110000000e+02, 1.033933000000e+03
BarnesHut Octupole 0.8, 2942, 10, 3.663915000000e+02, 3.861540625076e-02, 3.658360000000e+02, 3.675290000000e+02
BarnesHut Octupole 5, 531, 16, 3.718878571429e+01, 7.892052842570e-03, 3.665700000000e+01, 3.785500000000e+01
BarnesHut Monopole 0.2, 44868, 10, 5.607167375000e+03, 8.540960931033e+01, 5.570392000000e+03, 5.647312000000e+03
BarnesHut Monopole 0.5, 4513, 10, 5.627533750000e+02, 8.871915429336e-02, 5.618110000000e+02, 5.643910000000e+02
BarnesHut build Sequential, 1401, 10, 1.730402500000e+02, 1.610156117187e+00, 1.699170000000e+02, 1.792330000000e+02
BarnesHut build ThreadPool, 2159, 10, 2.679133750000e+02, 6.023538841799e+00, 2.584650000000e+02, 2.837570000000e+02
BarnesHut build Tbb, 1008, 10, 1.240702500000e+02, 5.977861718725e-02, 1.227760000000e+02, 1.247920000000e+02
HardSphereSolver bounce, 506, 41, 1.298202564103e+01, 7.328269188561e-05, 1.287100000000e+01, 1.309200000000e+01
HardSphereSolver merge, 507, 37, 1.449954285714e+01, 1.525661933527e-02, 1.318800000000e+01, 1.547500000000e+01
std::map 10, 500, 11069, 4.462130658715e-02, 5.290639982129e-11, 4.400000000000e-02, 6.300000000000e-02
Sph::Map 10, 500, 11026, 4.477013788099e-02, 8.544105209360e-11, 4.400000000000e-02, 7.900000000000e-02
std::map 100, 500, 6655, 7.459852698032e-02, 2.015856290522e-10, 7.300000000000e-02, 8.500000000000e-02
Sph::Map 100, 500, 6206, 8.008945841393e-02, 7.999911087881e-10, 7.800000000000e-02, 1.010000000000e-01
std::map 1000, 500, 2581, 1.933788290035e-01, 5.392510069172e-09, 1.850000000000e-01, 2.280000000000e-01
Sph::Map 1000, 500, 4345, 1.146113285747e-01, 1.445228477261e-08, 1.110000000000e-01, 2.620000000000e-01
std::map 10000, 500, 1276, 3.921483516484e-01, 1.813529467377e-08, 3.860000000000e-01, 4.260000000000e-01
Sph::Map 10000, 500, 1353, 3.695729089563e-01, 6.725756147806e-08, 3.510000000000e-01, 4.060000000000e-01
SymmetricSolver simple, 5134, 10, 6.154275000000e+02, 1.720740312376e-01, 6.133320000000e+02, 6.172370000000e+02
AsymmetricSolver simple, 4382, 10, 5.431858750000e+02, 4.873253607439e+00, 5.350440000000e+02, 5.538820000000e+02
EnergyConservingSolver simple, 7019, 10, 8.436003750000e+02, 8.953306248077e+00, 8.253010000000e+02, 8.530840000000e+02
GravitySolver simple, 15943, 10, 1.990849375000e+03, 2.275018784171e+01, 1.973430000000e+03, 2.022143000000e+03
EulerExplicit N=1e5, 1674, 10, 2.087866250000e+02, 1.137381623046e+00, 2.069470000000e+02, 2.166120000000e+02
LeapFrog N=1e5, 1622, 10, 2.023391250000e+02, 5.463979492197e-02, 2.010200000000e+02, 2.035700000000e+02
PredictorCorrector N=1e5, 1512, 10, 1.886880000000e+02, 1.225193749988e-01, 1.875260000000e+02, 1.903250000000e+02
EulerExplicit N=1e6, 24188, 10, 3.020326125000e+03, 2.856919517019e+01, 2.991618000000e+03, 3.040474000000e+03
LeapFrog N=1e6, 23669, 10, 2.955798875000e+03, 2.077202779520e+01, 2.930577000000e+03, 2.977527000000e+03
PredictorCorrector N=1e6, 1485, 10, 1.856933750000e+02, 6.423484179686e-02, 1.845420000000e+02, 1.865020000000e+02
