Finder run KdTree, 514, 33, 1.660993548387e+01, 6.669717700007e-04, 1.644100000000e+01, 1.708600000000e+01
Finder run UniformGrid, 507, 62, 8.463200000000e+00, 1.167437777778e-04, 8.353000000000e+00, 8.699000000000e+00
Finder run BruteForce, 500, 258, 1.954007812500e+00, 8.644711971158e-07, 1.929000000000e+00, 2.053000000000e+00
Finder build KdTree Sequential, 819, 10, 1.017208750000e+02, 3.085387011720e-01, 9.909600000000e+01, 1.036860000000e+02
Finder build KdTree ThreadPool, 1375, 10, 1.713396250000e+02, 1.406983937305e+01, 1.657870000000e+02, 1.992810000000e+02
Finder build KdTree Tbb, 507, 14, 4.179475000000e+01, 3.064965989583e-01, 3.811700000000e+01, 4.552900000000e+01
LutKernel sequential, 500, 5374, 9.263291139241e-02, 1.363697331709e-09, 9.000000000000e-02, 1.150000000000e-01
LutKernel random, 500, 1555, 3.215885383129e-01, 8.946013544480e-09, 3.140000000000e-01, 3.610000000000e-01
BruteForceGravity, 1257, 10, 1.571805000000e+02, 7.787155406249e+00, 1.465800000000e+02, 1.690430000000e+02
BarnesHut Octupole 0.2, 64187, 10, 8.021955625000e+03, 5.997085387260e+01, 7.988828000000e+03, 8.069224000000e+03
BarnesHut Octupole 0.5, 7811, 10, 9.748660000000e+02, 1.067345156262e+00, 9.719330000000e+02, 9.817190000000e+02
BarnesHut Octupole 0.8, 2950, 10, 3.673776250000e+02, 3.991202929683e-02, 3.667750000000e+02, 3.682910000000e+02
BarnesHut Octupole 5, 524, 16, 3.665100000000e+01, 2.957775510237e-03, 3.639500000000e+01, 3.714200000000e+01
BarnesHut Monopole 0.2, 42887, 10, 5.359180125000e+03, 5.878846823284e+01, 5.315774000000e+03, 5.391818000000e+03
BarnesHut Monopole 0.5, 4525, 10, 5.642278750000e+02, 5.273298242537e-02, 5.630320000000e+02, 5.652420000000e+02
BarnesHut build Sequential, 1335, 10, 1.649788750000e+02, 2.297820107423e+00, 1.583050000000e+02, 1.708170000000e+02
BarnesHut build ThreadPool, 1943, 10, 2.404628750000e+02, 7.395189388673e+00, 2.308770000000e+02, 2.589470000000e+02
BarnesHut build Tbb, 915, 10, 1.123570000000e+02, 2.142874687497e-01, 1.103230000000e+02, 1.146770000000e+02
HardSphereSolver bounce, 505, 42, 1.263162500000e+01, 1.824578359376e-03, 1.223500000000e+01, 1.306600000000e+01
HardSphereSolver merge, 505, 38, 1.403238888889e+01, 8.936606910153e-03, 1.332700000000e+01, 1.479100000000e+01
std::map 10, 500, 11064, 4.466362321461e-02, 5.835962903259e-11, 4.400000000000e-02, 5.400000000000e-02
Sph::Map 10, 500, 11060, 4.471504792910e-02, 5.813831372047e-11, 4.400000000000e-02, 7.100000000000e-02
std::map 100, 500, 7086, 7.008738001129e-02, 1.514637086328e-10, 6.900000000000e-02, 8.300000000000e-02
Sph::Map 100, 500, 6063, 8.195726777760e-02, 3.043340935345e-10, 8.000000000000e-02, 1.120000000000e-01
std::map 1000, 500, 2516, 1.984379474940e-01, 2.921558098753e-09, 1.940000000000e-01, 2.230000000000e-01
Sph::Map 1000, 500, 4221, 1.180146954255e-01, 6.735457949525e-10, 1.160000000000e-01, 1.320000000000e-01
std::map 10000, 500, 1294, 3.867647058824e-01, 1.909252855651e-08, 3.810000000000e-01, 4.240000000000e-01
Sph::Map 10000, 500, 1484, 3.369858299595e-01, 1.417764520599e-08, 3.320000000000e-01, 3.650000000000e-01
SymmetricSolver simple, 4332, 10, 5.200895000000e+02, 7.608642999992e+00, 5.132430000000e+02, 5.397590000000e+02
AsymmetricSolver simple, 2748, 10, 3.415867500000e+02, 7.706383046880e-01, 3.372480000000e+02, 3.443730000000e+02
EnergyConservingSolver simple, 4895, 10, 5.820788750000e+02, 7.899837949226e-01, 5.777270000000e+02, 5.871760000000e+02
GravitySolver simple, 15711, 10, 1.962074625000e+03, 5.573174154270e+00, 1.953963000000e+03, 1.975647000000e+03
EulerExplicit N=1e5, 1632, 10, 2.040087500000e+02, 4.930586718820e-02, 2.032730000000e+02, 2.051690000000e+02
LeapFrog N=1e5, 1626, 10, 2.006553750000e+02, 4.078709179703e-02, 1.999060000000e+02, 2.019640000000e+02
PredictorCorrector N=1e5, 1489, 10, 1.861213750000e+02, 9.016091798003e-03, 1.858230000000e+02, 1.867830000000e+02
EulerExplicit N=1e6, 23464, 10, 2.931835625000e+03, 1.009198459191e+01, 2.921937000000e+03, 2.947906000000e+03
LeapFrog N=1e6, 22503, 10, 2.812024500000e+03, 4.493747749948e+00, 2.802712000000e+03, 2.821291000000e+03
PredictorCorrector N=1e6, 1491, 10, 1.864292500000e+02, 5.958133593595e-02, 1.852480000000e+02, 1.874440000000e+02
