Finder run KdTree, 512, 32, 1.707253333333e+01, 5.079427051852e-02, 1.676600000000e+01, 2.368200000000e+01
Finder run UniformGrid, 504, 61, 8.550186440678e+00, 1.126944819081e-05, 8.529000000000e+00, 8.639000000000e+00
Finder run BruteForce, 501, 261, 1.935911196911e+00, 2.221039866567e-07, 1.921000000000e+00, 2.004000000000e+00
Finder build KdTree Sequential, 926, 10, 1.155736250000e+02, 3.938385685547e+00, 1.048530000000e+02, 1.252410000000e+02
Finder build KdTree ThreadPool, 1399, 10, 1.745182500000e+02, 1.908319264844e+01, 1.682860000000e+02, 2.070680000000e+02
Finder build KdTree Tbb, 542, 16, 3.839235714286e+01, 4.483460368076e-01, 3.385100000000e+01, 4.220300000000e+01
LutKernel sequential, 500, 5380, 9.259204165117e-02, 4.042798560799e-10, 9.100000000000e-02, 1.080000000000e-01
LutKernel random, 500, 1489, 3.358412911903e-01, 6.199641217964e-08, 3.230000000000e-01, 3.750000000000e-01
BruteForceGravity, 1318, 10, 1.648358750000e+02, 8.189565326171e+00, 1.470100000000e+02, 1.696460000000e+02
BarnesHut Octupole 0.2, 68821, 10, 8.601805125000e+03, 7.109418048151e+01, 8.570679000000e+03, 8.638921000000e+03
BarnesHut Octupole 0.5, 8352, 10, 1.042947750000e+03, 3.355004054669e+00, 1.038267000000e+03, 1.052394000000e+03
BarnesHut Octupole 0.8, 3218, 10, 4.015527500000e+02, 1.170135546927e-01, 4.001400000000e+02, 4.031720000000e+02
BarnesHut Octupole 5, 521, 14, 4.290091666667e+01, 9.238119212872e-04, 4.273600000000e+01, 4.309800000000e+01
BarnesHut Monopole 0.2, 43994, 10, 5.498926500000e+03, 1.369476978746e+02, 5.452477000000e+03, 5.552525000000e+03
BarnesHut Monopole 0.5, 4548, 10, 5.676311250000e+02, 4.895600449236e-01, 5.631550000000e+02, 5.697060000000e+02
BarnesHut build Sequential, 1425, 10, 1.774236250000e+02, 1.458169748047e+00, 1.721310000000e+02, 1.830580000000e+02
BarnesHut build ThreadPool, 2135, 10, 2.654255000000e+02, 8.766900937499e-01, 2.613840000000e+02, 2.689840000000e+02
HardSphereSolver bounce, 509, 41, 1.305474358974e+01, 2.082783930957e-04, 1.291900000000e+01, 1.341900000000e+01
HardSphereSolver merge, 500, 36, 1.470694117647e+01, 1.031401546916e-02, 1.375500000000e+01, 1.548200000000e+01
std::map 10, 500, 10842, 4.557564575646e-02, 1.254065378733e-10, 4.500000000000e-02, 6.100000000000e-02
Sph::Map 10, 500, 10878, 4.506923501288e-02, 1.278975051717e-11, 4.500000000000e-02, 5.100000000000e-02
std::map 100, 500, 5382, 9.242100371747e-02, 4.291478342927e-10, 8.700000000000e-02, 1.010000000000e-01
Sph::Map 100, 500, 7199, 6.897790746145e-02, 6.543814846135e-11, 6.800000000000e-02, 7.800000000000e-02
std::map 1000, 500, 2400, 2.080658882402e-01, 2.315592027291e-09, 2.010000000000e-01, 2.300000000000e-01
Sph::Map 1000, 500, 4741, 1.049905043258e-01, 1.744835503569e-10, 1.030000000000e-01, 1.180000000000e-01
std::map 10000, 500, 1259, 3.973086714399e-01, 1.281367570314e-08, 3.910000000000e-01, 4.170000000000e-01
Sph::Map 10000, 500, 1430, 3.497556022409e-01, 3.683681895095e-09, 3.450000000000e-01, 3.720000000000e-01
SymmetricSolver simple, 8035, 10, 9.842467500000e+02, 4.576836311797e+02, 9.239730000000e+02, 1.093965000000e+03
AsymmetricSolver simple, 3444, 10, 4.271610000000e+02, 1.021328018749e+01, 4.188960000000e+02, 4.430830000000e+02
EnergyConservingSolver simple, 4667, 10, 5.514778750000e+02, 9.932248076169e+00, 5.359670000000e+02, 5.630960000000e+02
GravitySolver simple, 17108, 10, 2.136480625000e+03, 3.236147956073e+01, 2.105869000000e+03, 2.156401000000e+03
EulerExplicit N=1e5, 1809, 10, 2.252242500000e+02, 2.053979921893e-01, 2.236660000000e+02, 2.276150000000e+02
LeapFrog N=1e5, 1741, 10, 2.175826250000e+02, 2.073615292966e-01, 2.162230000000e+02, 2.204990000000e+02
PredictorCorrector N=1e5, 1652, 10, 2.036891250000e+02, 3.932879199247e-01, 2.020780000000e+02, 2.080450000000e+02
EulerExplicit N=1e6, 25315, 10, 3.161920875000e+03, 1.129432129827e+02, 3.123959000000e+03, 3.235008000000e+03
LeapFrog N=1e6, 24120, 10, 3.014264125000e+03, 3.189401295059e+01, 3.001395000000e+03, 3.055164000000e+03
PredictorCorrector N=1e6, 1574, 10, 1.967268750000e+02, 8.697610742092e-02, 1.956690000000e+02, 1.983960000000e+02
