Finder run KdTree, 500, 32, 1.668310000000e+01, 1.189252222180e-04, 1.662300000000e+01, 1.684400000000e+01
Finder run UniformGrid, 500, 61, 8.487186440678e+00, 2.712006582955e-05, 8.435000000000e+00, 8.753000000000e+00
Finder run BruteForce, 501, 257, 1.964482352941e+00, 1.777772711876e-06, 1.940000000000e+00, 2.046000000000e+00
Finder build KdTree Sequential, 810, 10, 1.009685000000e+02, 6.812860937507e-01, 9.579100000000e+01, 1.032570000000e+02
Finder build KdTree ThreadPool, 1352, 10, 1.685911250000e+02, 1.341095613867e+01, 1.609060000000e+02, 1.953340000000e+02
Finder build KdTree Tbb, 592, 10, 7.353637500000e+01, 1.861734179681e-02, 7.291200000000e+01, 7.405900000000e+01
LutKernel sequential, 500, 5121, 9.706055870288e-02, 9.183742534584e-10, 9.100000000000e-02, 1.160000000000e-01
LutKernel random, 500, 1495, 3.344983255191e-01, 8.000687549422e-08, 3.180000000000e-01, 3.680000000000e-01
BruteForceGravity, 1314, 10, 1.642927500000e+02, 9.559542679687e+00, 1.482980000000e+02, 1.697390000000e+02
BarnesHut Octupole 0.2, 64103, 10, 8.011784625000e+03, 6.543803443760e+01, 7.982872000000e+03, 8.052897000000e+03
BarnesHut Octupole 0.5, 7778, 10, 9.710541250000e+02, 1.387157949503e-01, 9.694270000000e+02, 9.733780000000e+02
BarnesHut Octupole 0.8, 2947, 10, 3.672221250000e+02, 6.359084511641e-01, 3.651950000000e+02, 3.712220000000e+02
BarnesHut Octupole 5, 519, 16, 3.638821428571e+01, 5.886140670555e-04, 3.625200000000e+01, 3.654100000000e+01
BarnesHut Monopole 0.2, 43035, 10, 5.378034500000e+03, 8.758187969215e+00, 5.368006000000e+03, 5.391357000000e+03
BarnesHut Monopole 0.5, 4524, 10, 5.645366250000e+02, 3.078974980526e-01, 5.629640000000e+02, 5.681390000000e+02
BarnesHut build Sequential, 1278, 10, 1.585048750000e+02, 1.221543076172e+00, 1.556890000000e+02, 1.640140000000e+02
BarnesHut build ThreadPool, 2009, 10, 2.494293750000e+02, 2.082882154297e+00, 2.421890000000e+02, 2.554610000000e+02
BarnesHut build Tbb, 1281, 10, 1.587026250000e+02, 4.480050605466e-01, 1.557720000000e+02, 1.613510000000e+02
HardSphereSolver bounce, 506, 41, 1.298884615385e+01, 9.709735497865e-05, 1.285400000000e+01, 1.313600000000e+01
HardSphereSolver merge, 510, 37, 1.457468571429e+01, 1.335664942274e-02, 1.342500000000e+01, 1.542800000000e+01
std::map 10, 500, 11060, 4.491137637909e-02, 3.481494103843e-11, 4.400000000000e-02, 7.400000000000e-02
Sph::Map 10, 500, 11039, 4.504031892725e-02, 1.637772053900e-11, 4.400000000000e-02, 5.500000000000e-02
std::map 100, 500, 6633, 7.488025938772e-02, 8.189476398215e-11, 7.400000000000e-02, 9.400000000000e-02
Sph::Map 100, 500, 6277, 7.922661354582e-02, 2.419201101177e-10, 7.800000000000e-02, 1.350000000000e-01
std::map 1000, 500, 2603, 1.917754709727e-01, 5.337738679001e-09, 1.870000000000e-01, 2.980000000000e-01
Sph::Map 1000, 500, 4393, 1.133582327488e-01, 4.393730703936e-10, 1.110000000000e-01, 1.290000000000e-01
std::map 10000, 500, 1314, 3.807964939024e-01, 6.135126898782e-09, 3.760000000000e-01, 4.120000000000e-01
Sph::Map 10000, 500, 1351, 3.703654558933e-01, 1.976415566470e-08, 3.570000000000e-01, 3.870000000000e-01
SymmetricSolver simple, 4336, 10, 5.217816250000e+02, 1.404080560540e+00, 5.137140000000e+02, 5.245960000000e+02
AsymmetricSolver simple, 2689, 10, 3.329163750000e+02, 1.240227310542e+00, 3.262070000000e+02, 3.367020000000e+02
EnergyConservingSolver simple, 4840, 10, 5.722610000000e+02, 7.166605312595e-01, 5.695210000000e+02, 5.768910000000e+02
GravitySolver simple, 15716, 10, 1.964047125000e+03, 1.550000188866e+01, 1.952972000000e+03, 1.991623000000e+03
EulerExplicit N=1e5, 1635, 10, 2.044020000000e+02, 3.821121874898e-02, 2.037500000000e+02, 2.055210000000e+02
LeapFrog N=1e5, 1584, 10, 1.979735000000e+02, 2.421736874985e-01, 1.965840000000e+02, 2.011630000000e+02
PredictorCorrector N=1e5, 1468, 10, 1.834511250000e+02, 1.748162949216e-01, 1.819950000000e+02, 1.854690000000e+02
EulerExplicit N=1e6, 23867, 10, 2.980033375000e+03, 3.649103056230e+02, 2.929121000000e+03, 3.118480000000e+03
LeapFrog N=1e6, 22448, 10, 2.804355375000e+03, 1.323531819041e+02, 2.780294000000e+03, 2.872821000000e+03
PredictorCorrector N=1e6, 1491, 10, 1.863996250000e+02, 1.205374042966e-01, 1.848520000000e+02, 1.882300000000e+02
