Finder run KdTree, 504, 32, 1.680406666667e+01, 4.175786518516e-03, 1.639000000000e+01, 1.848900000000e+01
Finder run UniformGrid, 500, 61, 8.482355932203e+00, 1.385927967315e-04, 8.380000000000e+00, 8.866000000000e+00
Finder run BruteForce, 501, 260, 1.944937984496e+00, 3.455366380502e-06, 1.905000000000e+00, 2.054000000000e+00
Finder build KdTree Sequential, 811, 10, 1.011300000000e+02, 1.953187187505e-01, 9.894600000000e+01, 1.027560000000e+02
Finder build KdTree ThreadPool, 1364, 10, 1.701838750000e+02, 1.482913294923e+00, 1.660510000000e+02, 1.765430000000e+02
Finder build KdTree Tbb, 529, 13, 4.783145454545e+01, 2.471716919610e-01, 4.475500000000e+01, 5.045900000000e+01
LutKernel sequential, 500, 5120, 9.710082063307e-02, 1.230818893212e-09, 9.100000000000e-02, 1.430000000000e-01
LutKernel random, 500, 1516, 3.297767503303e-01, 5.161536867339e-08, 3.190000000000e-01, 3.740000000000e-01
BruteForceGravity, 1217, 10, 1.522315000000e+02, 1.496535284375e+01, 1.405480000000e+02, 1.693990000000e+02
BarnesHut Octupole 0.2, 64163, 10, 8.018924500000e+03, 4.387171859201e+01, 7.982540000000e+03, 8.044213000000e+03
BarnesHut Octupole 0.5, 7799, 10, 9.738180000000e+02, 2.494205937546e-01, 9.716760000000e+02, 9.756450000000e+02
BarnesHut Octupole 0.8, 2953, 10, 3.681192500000e+02, 2.270049219078e-02, 3.675630000000e+02, 3.690260000000e+02
BarnesHut Octupole 5, 517, 16, 3.633735714286e+01, 4.356898688392e-04, 3.616200000000e+01, 3.646700000000e+01
BarnesHut Monopole 0.2, 43188, 10, 5.396992875000e+03, 3.689968170086e+01, 5.378909000000e+03, 5.438595000000e+03
BarnesHut Monopole 0.5, 4555, 10, 5.684512500000e+02, 1.406177421813e-01, 5.666970000000e+02, 5.707920000000e+02
BarnesHut build Sequential, 1321, 10, 1.644136250000e+02, 2.727756054719e-02, 1.639370000000e+02, 1.652170000000e+02
BarnesHut build ThreadPool, 1951, 10, 2.425567500000e+02, 1.076919523439e+00, 2.388260000000e+02, 2.479830000000e+02
BarnesHut build Tbb, 905, 10, 1.116936250000e+02, 3.885259179697e-02, 1.105800000000e+02, 1.123000000000e+02
HardSphereSolver bounce, 506, 41, 1.297712820513e+01, 7.434343127845e-05, 1.286400000000e+01, 1.309100000000e+01
HardSphereSolver merge, 504, 37, 1.440742857143e+01, 1.325527720117e-02, 1.333600000000e+01, 1.541200000000e+01
std::map 10, 500, 10897, 4.542138595687e-02, 1.275003064640e-10, 4.400000000000e-02, 6.800000000000e-02
Sph::Map 10, 500, 10914, 4.547067448681e-02, 9.771097187409e-11, 4.400000000000e-02, 5.600000000000e-02
std::map 100, 500, 6588, 7.539098086851e-02, 6.721834715628e-10, 7.100000000000e-02, 1.280000000000e-01
Sph::Map 100, 500, 6164, 8.061522233041e-02, 5.878996232550e-10, 7.800000000000e-02, 9.000000000000e-02
std::map 1000, 500, 2591, 1.926631904210e-01, 8.923617337631e-09, 1.860000000000e-01, 2.230000000000e-01
Sph::Map 1000, 500, 4253, 1.171185603387e-01, 9.963601108089e-09, 1.070000000000e-01, 2.590000000000e-01
std::map 10000, 500, 1292, 3.872906976744e-01, 5.085510989398e-08, 3.780000000000e-01, 4.280000000000e-01
Sph::Map 10000, 500, 1330, 3.761573795181e-01, 9.815359386349e-08, 3.600000000000e-01, 4.420000000000e-01
SymmetricSolver simple, 5073, 10, 6.123946250000e+02, 1.356028716807e+00, 6.076850000000e+02, 6.164460000000e+02
AsymmetricSolver simple, 2858, 10, 3.549618750000e+02, 7.025166386757e-01, 3.502660000000e+02, 3.571820000000e+02
EnergyConservingSolver simple, 4962, 10, 5.878506250000e+02, 1.634246341797e+00, 5.816590000000e+02, 5.935090000000e+02
GravitySolver simple, 16085, 10, 2.008944000000e+03, 3.561220125004e+00, 2.004079000000e+03, 2.020852000000e+03
EulerExplicit N=1e5, 1652, 10, 2.064387500000e+02, 3.292467968731e-02, 2.055220000000e+02, 2.072210000000e+02
LeapFrog N=1e5, 1609, 10, 2.008473750000e+02, 5.539434179718e-02, 1.999230000000e+02, 2.017200000000e+02
PredictorCorrector N=1e5, 1546, 10, 1.908593750000e+02, 3.770183417973e-01, 1.890140000000e+02, 1.938480000000e+02
EulerExplicit N=1e6, 23415, 10, 2.926307750000e+03, 7.317354461411e+00, 2.910314000000e+03, 2.935535000000e+03
LeapFrog N=1e6, 22586, 10, 2.822452375000e+03, 6.854940622812e+00, 2.809775000000e+03, 2.832152000000e+03
PredictorCorrector N=1e6, 1518, 10, 1.898380000000e+02, 4.125381250014e-02, 1.889890000000e+02, 1.907300000000e+02
