Finder run KdTree, 500, 31, 1.726217241379e+01, 4.042566156874e-03, 1.693900000000e+01, 1.826000000000e+01
Finder run UniformGrid, 507, 59, 8.903526315789e+00, 7.954946461328e-05, 8.798000000000e+00, 9.118000000000e+00
Finder run BruteForce, 500, 253, 1.992310756972e+00, 2.141359041227e-06, 1.957000000000e+00, 2.071000000000e+00
Finder build KdTree Sequential, 858, 10, 1.067720000000e+02, 7.836687499998e-01, 1.034970000000e+02, 1.093820000000e+02
Finder build KdTree ThreadPool, 1445, 10, 1.801921250000e+02, 4.082865513672e+00, 1.742370000000e+02, 1.939960000000e+02
Finder build KdTree Tbb, 650, 10, 8.077575000000e+01, 3.204487421874e-01, 7.777200000000e+01, 8.318300000000e+01
LutKernel sequential, 500, 5063, 9.812369097017e-02, 8.349311869935e-11, 9.800000000000e-02, 1.110000000000e-01
LutKernel random, 500, 1501, 3.330700466978e-01, 2.606569605350e-08, 3.230000000000e-01, 3.590000000000e-01
BruteForceGravity, 1248, 10, 1.560623750000e+02, 2.086144299805e+01, 1.362940000000e+02, 1.704080000000e+02
BarnesHut Octupole 0.2, 64850, 10, 8.104884000000e+03, 1.445042539369e+02, 8.038917000000e+03, 8.151011000000e+03
BarnesHut Octupole 0.5, 7877, 10, 9.832940000000e+02, 2.625128468761e+00, 9.784510000000e+02, 9.912910000000e+02
BarnesHut Octupole 0.8, 2995, 10, 3.730865000000e+02, 3.965386250020e-01, 3.706470000000e+02, 3.764100000000e+02
BarnesHut Octupole 5, 533, 16, 3.733885714286e+01, 2.256355685128e-03, 3.705700000000e+01, 3.778100000000e+01
BarnesHut Monopole 0.2, 43541, 10, 5.441310000000e+03, 4.850660280790e+00, 5.433563000000e+03, 5.453043000000e+03
BarnesHut Monopole 0.5, 4588, 10, 5.720895000000e+02, 6.093150000088e-01, 5.679350000000e+02, 5.745980000000e+02
BarnesHut build Sequential, 1406, 10, 1.746928750000e+02, 4.339309199227e-01, 1.716640000000e+02, 1.769470000000e+02
BarnesHut build ThreadPool, 2038, 10, 2.530007500000e+02, 1.729230460935e+00, 2.475540000000e+02, 2.594430000000e+02
BarnesHut build Tbb, 1453, 10, 1.797642500000e+02, 3.480026171887e-01, 1.757730000000e+02, 1.815110000000e+02
HardSphereSolver bounce, 505, 42, 1.262695000000e+01, 6.375736875015e-04, 1.246400000000e+01, 1.308300000000e+01
HardSphereSolver merge, 514, 38, 1.428366666667e+01, 1.165868364197e-02, 1.352800000000e+01, 1.506900000000e+01
std::map 10, 500, 10748, 4.596547552578e-02, 8.032967864275e-11, 4.500000000000e-02, 6.800000000000e-02
Sph::Map 10, 500, 10768, 4.592429871818e-02, 4.135482367186e-11, 4.500000000000e-02, 5.700000000000e-02
std::map 100, 500, 5785, 8.593999654159e-02, 3.382516129702e-10, 8.200000000000e-02, 9.500000000000e-02
Sph::Map 100, 500, 7100, 6.986925894618e-02, 3.072683493420e-10, 6.800000000000e-02, 1.090000000000e-01
std::map 1000, 500, 2626, 1.900609756098e-01, 4.188622945321e-09, 1.850000000000e-01, 2.480000000000e-01
Sph::Map 1000, 500, 4935, 1.008512061626e-01, 3.669189569107e-10, 9.900000000000e-02, 1.150000000000e-01
std::map 10000, 500, 1315, 3.803465346535e-01, 8.097867924166e-07, 3.710000000000e-01, 1.541000000000e+00
Sph::Map 10000, 500, 1451, 3.447080745342e-01, 2.556748426376e-08, 3.340000000000e-01, 3.760000000000e-01
SymmetricSolver simple, 6149, 10, 7.459105000000e+02, 2.196314218760e+00, 7.381920000000e+02, 7.534430000000e+02
AsymmetricSolver simple, 3637, 10, 4.508370000000e+02, 6.265379374963e-01, 4.458620000000e+02, 4.540510000000e+02
EnergyConservingSolver simple, 522519, 10, 1.106347875000e+03, 3.348661622637e+02, 1.057776000000e+03, 1.189098000000e+03
GravitySolver simple, 17365, 10, 2.169775625000e+03, 5.671101279324e+00, 2.160128000000e+03, 2.181381000000e+03
EulerExplicit N=1e5, 1755, 10, 2.194146250000e+02, 1.040837480468e-01, 2.181950000000e+02, 2.208280000000e+02
LeapFrog N=1e5, 1686, 10, 2.107246250000e+02, 1.402687480477e-01, 2.089420000000e+02, 2.122580000000e+02
PredictorCorrector N=1e5, 1592, 10, 1.989883750000e+02, 1.445770292958e-01, 1.975130000000e+02, 2.008330000000e+02
EulerExplicit N=1e6, 24626, 10, 3.075623125000e+03, 3.900627210783e+01, 3.045930000000e+03, 3.098165000000e+03
LeapFrog N=1e6, 23631, 10, 2.952815500000e+03, 2.459752181289e+01, 2.934530000000e+03, 2.977580000000e+03
PredictorCorrector N=1e6, 1612, 10, 2.015635000000e+02, 8.272446875162e-02, 2.006450000000e+02, 2.033000000000e+02
