Finder run KdTree, 514, 33, 1.657906451613e+01, 9.289072538631e-04, 1.644500000000e+01, 1.712100000000e+01
Finder run UniformGrid, 507, 62, 8.458266666667e+00, 4.550325926000e-05, 8.391000000000e+00, 8.626000000000e+00
Finder run BruteForce, 500, 259, 1.945653696498e+00, 9.102305545751e-06, 1.900000000000e+00, 2.084000000000e+00
Finder build KdTree Sequential, 820, 10, 1.018076250000e+02, 2.402623498047e+00, 9.635400000000e+01, 1.117810000000e+02
Finder build KdTree ThreadPool, 1406, 10, 1.752063750000e+02, 2.454947981055e+01, 1.622730000000e+02, 2.102680000000e+02
Finder build KdTree Tbb, 546, 13, 4.938236363636e+01, 3.256778061607e-01, 4.471200000000e+01, 5.155100000000e+01
LutKernel sequential, 500, 5338, 9.316622938531e-02, 1.127583036593e-09, 9.000000000000e-02, 1.100000000000e-01
LutKernel random, 500, 1525, 3.277793827971e-01, 1.255939142002e-08, 3.210000000000e-01, 3.600000000000e-01
BruteForceGravity, 1258, 10, 1.572951250000e+02, 1.339729195117e+01, 1.416770000000e+02, 1.691360000000e+02
BarnesHut Octupole 0.2, 64480, 10, 8.058060875000e+03, 4.712050495204e+01, 8.026158000000e+03, 8.088948000000e+03
BarnesHut Octupole 0.5, 7793, 10, 9.728053750000e+02, 6.666418105597e-01, 9.691900000000e+02, 9.778610000000e+02
BarnesHut Octupole 0.8, 3000, 10, 3.737688750000e+02, 2.615945116850e-02, 3.731810000000e+02, 3.744970000000e+02
BarnesHut Octupole 5, 527, 16, 3.690550000000e+01, 2.314813775537e-03, 3.665800000000e+01, 3.721700000000e+01
BarnesHut Monopole 0.2, 44801, 10, 5.598877000000e+03, 9.548161265580e+01, 5.557045000000e+03, 5.635856000000e+03
BarnesHut Monopole 0.5, 4627, 10, 5.768728750000e+02, 2.335844199260e-01, 5.736390000000e+02, 5.785390000000e+02
BarnesHut build Sequential, 1358, 10, 1.679983750000e+02, 1.345167623047e+00, 1.639380000000e+02, 1.723250000000e+02
BarnesHut build ThreadPool, 2039, 10, 2.524962500000e+02, 2.009701633594e+01, 2.462420000000e+02, 2.858950000000e+02
BarnesHut build Tbb, 1003, 10, 1.236175000000e+02, 4.411325312506e-01, 1.203900000000e+02, 1.261500000000e+02
HardSphereSolver bounce, 505, 41, 1.297064102564e+01, 8.123666953434e-05, 1.281200000000e+01, 1.310000000000e+01
HardSphereSolver merge, 501, 37, 1.432591428571e+01, 1.166350101458e-02, 1.342300000000e+01, 1.536800000000e+01
std::map 10, 500, 10981, 4.508206576191e-02, 1.565524430259e-11, 4.500000000000e-02, 5.200000000000e-02
Sph::Map 10, 500, 10898, 4.533397577093e-02, 6.101322733855e-11, 4.500000000000e-02, 7.100000000000e-02
std::map 100, 500, 7017, 7.079515324305e-02, 1.718064732074e-10, 6.900000000000e-02, 1.030000000000e-01
Sph::Map 100, 500, 7535, 6.592725341829e-02, 5.027683031225e-10, 6.400000000000e-02, 1.160000000000e-01
std::map 1000, 500, 2349, 2.125189603749e-01, 3.872607546794e-09, 2.070000000000e-01, 2.320000000000e-01
Sph::Map 1000, 500, 4750, 1.047992839090e-01, 8.841446104345e-10, 1.020000000000e-01, 1.190000000000e-01
std::map 10000, 500, 1270, 3.940433753943e-01, 1.616757453198e-08, 3.880000000000e-01, 4.210000000000e-01
Sph::Map 10000, 500, 1379, 3.627414669572e-01, 3.956796306514e-08, 3.540000000000e-01, 3.870000000000e-01
SymmetricSolver simple, 4485, 10, 5.312695000000e+02, 7.631356249985e-01, 5.279670000000e+02, 5.348500000000e+02
AsymmetricSolver simple, 2796, 10, 3.480556250000e+02, 1.244254310546e+00, 3.432830000000e+02, 3.525140000000e+02
EnergyConservingSolver simple, 5484, 10, 6.492980000000e+02, 3.317077571874e+01, 6.231520000000e+02, 6.797240000000e+02
GravitySolver simple, 16327, 10, 2.038032625000e+03, 4.091866668541e+01, 2.004310000000e+03, 2.064726000000e+03
EulerExplicit N=1e5, 1667, 10, 2.081231250000e+02, 1.180290136699e-01, 2.068860000000e+02, 2.097700000000e+02
LeapFrog N=1e5, 1594, 10, 1.989060000000e+02, 8.352234374888e-02, 1.979340000000e+02, 2.005830000000e+02
PredictorCorrector N=1e5, 1484, 10, 1.855275000000e+02, 1.514365625007e-02, 1.847380000000e+02, 1.858830000000e+02
EulerExplicit N=1e6, 23889, 10, 2.984987375000e+03, 3.828274690453e+01, 2.957164000000e+03, 3.008650000000e+03
LeapFrog N=1e6, 22447, 10, 2.804664750000e+03, 3.882905679289e+00, 2.790860000000e+03, 2.810053000000e+03
PredictorCorrector N=1e6, 1499, 10, 1.872421250000e+02, 6.150997324212e-01, 1.854460000000e+02, 1.924800000000e+02
