Finder run KdTree, 501, 32, 1.671826666667e+01, 1.428493185184e-03, 1.656500000000e+01, 1.765600000000e+01
Finder run UniformGrid, 503, 61, 8.527288135593e+00, 1.094754673073e-04, 8.447000000000e+00, 8.873000000000e+00
Finder run BruteForce, 500, 260, 1.941081395349e+00, 1.438575342076e-05, 1.914000000000e+00, 2.857000000000e+00
Finder build KdTree Sequential, 819, 10, 1.019807500000e+02, 5.517180234372e-01, 9.887100000000e+01, 1.041530000000e+02
Finder build KdTree ThreadPool, 1389, 10, 1.731433750000e+02, 1.744851993555e+01, 1.660780000000e+02, 2.038390000000e+02
Finder build KdTree Tbb, 511, 14, 4.224941666667e+01, 3.602448813658e-01, 3.781900000000e+01, 4.537800000000e+01
LutKernel sequential, 500, 5358, 9.285100821508e-02, 5.948778750593e-10, 9.100000000000e-02, 1.340000000000e-01
LutKernel random, 500, 1542, 3.241889610390e-01, 1.166386082643e-08, 3.180000000000e-01, 3.550000000000e-01
BruteForceGravity, 1317, 10, 1.647207500000e+02, 8.254102398438e+00, 1.462620000000e+02, 1.696770000000e+02
BarnesHut Octupole 0.2, 64407, 10, 8.049730500000e+03, 6.657860009465e+01, 8.022410000000e+03, 8.091201000000e+03
BarnesHut Octupole 0.5, 7853, 10, 9.804218750000e+02, 2.282797636435e-01, 9.785040000000e+02, 9.825910000000e+02
BarnesHut Octupole 0.8, 2950, 10, 3.674196250000e+02, 4.801590429270e-02, 3.664630000000e+02, 3.686660000000e+02
BarnesHut Octupole 5, 522, 16, 3.655564285714e+01, 2.719485787160e-03, 3.630700000000e+01, 3.716900000000e+01
BarnesHut Monopole 0.2, 43177, 10, 5.396653250000e+03, 3.410611780407e+01, 5.373627000000e+03, 5.426997000000e+03
BarnesHut Monopole 0.5, 4579, 10, 5.709475000000e+02, 1.254777812355e-01, 5.690940000000e+02, 5.726970000000e+02
BarnesHut build Sequential, 1368, 10, 1.687490000000e+02, 5.122115624986e-01, 1.660230000000e+02, 1.721040000000e+02
BarnesHut build ThreadPool, 1949, 10, 2.411996250000e+02, 2.513850998044e+00, 2.361520000000e+02, 2.519000000000e+02
BarnesHut build Tbb, 912, 10, 1.121706250000e+02, 1.227533417969e-01, 1.107870000000e+02, 1.137670000000e+02
HardSphereSolver bounce, 500, 42, 1.251945000000e+01, 2.168199374964e-04, 1.235600000000e+01, 1.270900000000e+01
HardSphereSolver merge, 511, 38, 1.421100000000e+01, 1.025428858025e-02, 1.343900000000e+01, 1.500700000000e+01
std::map 10, 500, 10890, 4.554068699486e-02, 1.313721377581e-10, 4.400000000000e-02, 9.100000000000e-02
Sph::Map 10, 500, 10916, 4.543036466924e-02, 9.969808723972e-11, 4.500000000000e-02, 5.500000000000e-02
std::map 100, 500, 5876, 8.460793326524e-02, 9.349694597727e-10, 8.200000000000e-02, 1.580000000000e-01
Sph::Map 100, 500, 7122, 6.971235955056e-02, 4.358452285366e-10, 6.800000000000e-02, 9.800000000000e-02
std::map 1000, 500, 2575, 1.937990672367e-01, 9.191857045606e-09, 1.870000000000e-01, 2.140000000000e-01
Sph::Map 1000, 500, 4937, 1.007910840932e-01, 1.218581486338e-09, 9.900000000000e-02, 1.290000000000e-01
std::map 10000, 500, 1332, 3.754255639098e-01, 6.786541399988e-08, 3.650000000000e-01, 4.980000000000e-01
Sph::Map 10000, 500, 1519, 3.292682926829e-01, 3.531316791711e-08, 3.230000000000e-01, 3.560000000000e-01
SymmetricSolver simple, 6270, 10, 7.595138750000e+02, 4.844224138651e+00, 7.517410000000e+02, 7.729490000000e+02
AsymmetricSolver simple, 3203, 10, 4.002752500000e+02, 8.875757421847e-01, 3.955820000000e+02, 4.037100000000e+02
EnergyConservingSolver simple, 5638, 10, 6.726323750000e+02, 4.063984779299e+00, 6.653040000000e+02, 6.810530000000e+02
GravitySolver simple, 16070, 10, 2.006783000000e+03, 4.122636070938e+02, 1.963854000000e+03, 2.144992000000e+03
EulerExplicit N=1e5, 1686, 10, 2.107273750000e+02, 2.408591542981e-01, 2.092240000000e+02, 2.141470000000e+02
LeapFrog N=1e5, 1607, 10, 2.008081250000e+02, 1.298761386706e-01, 1.996170000000e+02, 2.027430000000e+02
PredictorCorrector N=1e5, 1497, 10, 1.863241250000e+02, 2.208901386730e-01, 1.852990000000e+02, 1.893980000000e+02
EulerExplicit N=1e6, 23769, 10, 2.970659000000e+03, 3.044069662504e+01, 2.952824000000e+03, 2.999747000000e+03
LeapFrog N=1e6, 22468, 10, 2.806593125000e+03, 4.587357454502e+01, 2.782089000000e+03, 2.840804000000e+03
PredictorCorrector N=1e6, 1485, 10, 1.855428750000e+02, 1.697916386729e-01, 1.840170000000e+02, 1.879990000000e+02
