Finder run KdTree, 500, 32, 1.668536666667e+01, 2.917366296325e-04, 1.653800000000e+01, 1.693300000000e+01
Finder run UniformGrid, 501, 59, 8.796807017544e+00, 7.527382849244e-03, 8.572000000000e+00, 1.330500000000e+01
Finder run BruteForce, 501, 260, 1.944275193798e+00, 2.135590728334e-06, 1.919000000000e+00, 2.055000000000e+00
Finder build KdTree Sequential, 832, 10, 1.035597500000e+02, 4.416875304687e+00, 9.693400000000e+01, 1.182130000000e+02
Finder build KdTree ThreadPool, 1358, 10, 1.692226250000e+02, 1.272186218555e+01, 1.636420000000e+02, 1.954700000000e+02
Finder build KdTree Tbb, 593, 10, 7.356887500000e+01, 7.034648242177e-02, 7.209500000000e+01, 7.433200000000e+01
LutKernel sequential, 500, 5067, 9.809358341561e-02, 6.048288170585e-11, 9.800000000000e-02, 1.130000000000e-01
LutKernel random, 500, 1486, 3.365727762803e-01, 7.765724791343e-08, 3.160000000000e-01, 3.750000000000e-01
BruteForceGravity, 1240, 10, 1.550983750000e+02, 1.806775199805e+01, 1.420150000000e+02, 1.698850000000e+02
BarnesHut Octupole 0.2, 65123, 10, 8.138930500000e+03, 8.627475112583e+01, 8.100158000000e+03, 8.196759000000e+03
BarnesHut Octupole 0.5, 7834, 10, 9.780810000000e+02, 1.638801874942e-01, 9.761130000000e+02, 9.798650000000e+02
BarnesHut Octupole 0.8, 2979, 10, 3.710135000000e+02, 8.127240312497e-01, 3.670100000000e+02, 3.741530000000e+02
BarnesHut Octupole 5, 522, 16, 3.664100000000e+01, 1.388826530647e-03, 3.643000000000e+01, 3.703600000000e+01
BarnesHut Monopole 0.2, 42920, 10, 5.363476000000e+03, 9.323158625048e+00, 5.353615000000e+03, 5.380859000000e+03
BarnesHut Monopole 0.5, 4547, 10, 5.672513750000e+02, 4.012779042896e-01, 5.647410000000e+02, 5.710630000000e+02
BarnesHut build Sequential, 1590, 10, 1.964673750000e+02, 1.190135187305e+01, 1.866990000000e+02, 2.201750000000e+02
BarnesHut build ThreadPool, 2171, 10, 2.690800000000e+02, 1.465980093746e+00, 2.639620000000e+02, 2.749870000000e+02
BarnesHut build Tbb, 1273, 10, 1.574955000000e+02, 6.786117500001e-01, 1.530930000000e+02, 1.610010000000e+02
HardSphereSolver bounce, 506, 41, 1.299412820513e+01, 7.719681720722e-05, 1.283700000000e+01, 1.312000000000e+01
HardSphereSolver merge, 500, 36, 1.472997058824e+01, 1.176110464584e-02, 1.391600000000e+01, 1.543300000000e+01
std::map 10, 500, 10195, 4.857725890317e-02, 1.520227052489e-09, 4.800000000000e-02, 1.600000000000e-01
Sph::Map 10, 500, 10558, 4.679850322092e-02, 1.488875974611e-10, 4.500000000000e-02, 5.500000000000e-02
std::map 100, 500, 5897, 8.431789652248e-02, 4.566271617355e-10, 8.100000000000e-02, 9.500000000000e-02
Sph::Map 100, 500, 7206, 6.885202665186e-02, 2.812510773362e-10, 6.700000000000e-02, 7.700000000000e-02
std::map 1000, 500, 2639, 1.891020098597e-01, 4.421136127387e-09, 1.840000000000e-01, 2.040000000000e-01
Sph::Map 1000, 500, 4757, 1.046197686646e-01, 8.791914976665e-10, 1.020000000000e-01, 1.600000000000e-01
std::map 10000, 500, 1323, 3.779878879637e-01, 3.441283397203e-08, 3.690000000000e-01, 4.050000000000e-01
Sph::Map 10000, 500, 1449, 3.451264685556e-01, 2.701672227622e-08, 3.360000000000e-01, 3.830000000000e-01
SymmetricSolver simple, 4541, 10, 5.507093750000e+02, 1.058518029306e+00, 5.468490000000e+02, 5.570650000000e+02
AsymmetricSolver simple, 3117, 10, 3.894541250000e+02, 7.765077576179e+00, 3.715380000000e+02, 3.989510000000e+02
EnergyConservingSolver simple, 4827, 10, 5.715658750000e+02, 1.784500150137e+02, 5.266470000000e+02, 6.578690000000e+02
GravitySolver simple, 16326, 10, 2.037463375000e+03, 2.352744530294e+02, 1.985345000000e+03, 2.144667000000e+03
EulerExplicit N=1e5, 1682, 10, 2.100675000000e+02, 2.691709062483e-01, 2.085640000000e+02, 2.124910000000e+02
LeapFrog N=1e5, 1634, 10, 2.036745000000e+02, 6.115346874867e-02, 2.024620000000e+02, 2.048060000000e+02
PredictorCorrector N=1e5, 1561, 10, 1.949776250000e+02, 3.890947167974e-01, 1.933690000000e+02, 1.993210000000e+02
EulerExplicit N=1e6, 23729, 10, 2.964163375000e+03, 5.929806060391e+00, 2.953804000000e+03, 2.975524000000e+03
LeapFrog N=1e6, 22811, 10, 2.850492625000e+03, 7.028474552953e+01, 2.825254000000e+03, 2.895255000000e+03
PredictorCorrector N=1e6, 1540, 10, 1.924666250000e+02, 2.700087792964e-01, 1.908680000000e+02, 1.960260000000e+02
