Finder run KdTree, 505, 33, 1.630154838710e+01, 3.774273438261e-04, 1.617700000000e+01, 1.665800000000e+01
Finder run UniformGrid, 501, 62, 8.354616666667e+00, 1.856022731481e-04, 8.277000000000e+00, 8.923000000000e+00
Finder run BruteForce, 501, 266, 1.898196969697e+00, 1.050358091914e-06, 1.881000000000e+00, 1.999000000000e+00
Finder build KdTree Sequential, 838, 10, 1.043490000000e+02, 9.240057499999e-01, 9.912700000000e+01, 1.071640000000e+02
Finder build KdTree ThreadPool, 1517, 10, 1.891141250000e+02, 2.308836582617e+01, 1.773860000000e+02, 2.224720000000e+02
Finder build KdTree Tbb, 648, 10, 8.053387500000e+01, 3.258401699219e-01, 7.864900000000e+01, 8.401200000000e+01
LutKernel sequential, 500, 5416, 9.172090875508e-02, 5.348531717428e-10, 9.100000000000e-02, 1.410000000000e-01
LutKernel random, 500, 1544, 3.238514915694e-01, 1.428358389177e-08, 3.180000000000e-01, 3.570000000000e-01
BruteForceGravity, 1331, 10, 1.664376250000e+02, 3.883036748047e+00, 1.535560000000e+02, 1.698110000000e+02
BarnesHut Octupole 0.2, 64823, 10, 8.102194125000e+03, 1.530495220134e+02, 8.043570000000e+03, 8.149844000000e+03
BarnesHut Octupole 0.5, 7790, 10, 9.725162500000e+02, 8.178317273472e+00, 9.679890000000e+02, 9.938110000000e+02
BarnesHut Octupole 0.8, 2936, 10, 3.658116250000e+02, 3.795652930421e-02, 3.649320000000e+02, 3.668720000000e+02
BarnesHut Octupole 5, 530, 16, 3.713985714286e+01, 1.383780466475e-02, 3.680700000000e+01, 3.852200000000e+01
BarnesHut Monopole 0.2, 42743, 10, 5.341584500000e+03, 2.596599712502e+01, 5.311675000000e+03, 5.359878000000e+03
BarnesHut Monopole 0.5, 4622, 10, 5.767427500000e+02, 4.573928046957e-01, 5.741880000000e+02, 5.802770000000e+02
BarnesHut build Sequential, 1308, 10, 1.625230000000e+02, 6.599485937513e-01, 1.594690000000e+02, 1.652740000000e+02
BarnesHut build ThreadPool, 2969, 10, 3.688586250000e+02, 4.596356230504e-01, 3.649890000000e+02, 3.707680000000e+02
BarnesHut build Tbb, 739, 10, 9.098675000000e+01, 4.549352421877e-01, 8.846200000000e+01, 9.399300000000e+01
HardSphereSolver bounce, 500, 42, 1.250057500000e+01, 2.209073593747e-04, 1.228300000000e+01, 1.270500000000e+01
HardSphereSolver merge, 506, 38, 1.407419444444e+01, 7.774998178153e-03, 1.341800000000e+01, 1.471500000000e+01
std::map 10, 500, 10945, 4.519674677877e-02, 4.689302208917e-11, 4.500000000000e-02, 7.200000000000e-02
Sph::Map 10, 500, 10788, 4.605386612275e-02, 3.608202948379e-11, 4.500000000000e-02, 5.400000000000e-02
std::map 100, 500, 6909, 7.186419574346e-02, 2.821957919223e-10, 7.000000000000e-02, 8.600000000000e-02
Sph::Map 100, 500, 6040, 8.225587943028e-02, 7.134253919743e-10, 8.000000000000e-02, 9.300000000000e-02
std::map 1000, 500, 2562, 1.948531250000e-01, 2.607540131001e-09, 1.910000000000e-01, 2.590000000000e-01
Sph::Map 1000, 500, 4189, 1.189066157153e-01, 1.523389080516e-09, 1.160000000000e-01, 1.440000000000e-01
std::map 10000, 500, 1283, 3.898071818891e-01, 7.989060917826e-08, 3.790000000000e-01, 4.220000000000e-01
Sph::Map 10000, 500, 1442, 3.467131944444e-01, 1.619528805094e-08, 3.400000000000e-01, 3.720000000000e-01
SymmetricSolver simple, 4697, 10, 5.611121250000e+02, 4.068647982422e+00, 5.506070000000e+02, 5.671440000000e+02
AsymmetricSolver simple, 3274, 10, 4.048647500000e+02, 1.140600210932e+00, 3.981490000000e+02, 4.077560000000e+02
EnergyConservingSolver simple, 5264, 10, 6.177857500000e+02, 2.777789867199e+00, 6.102010000000e+02, 6.252690000000e+02
GravitySolver simple, 15573, 10, 1.944824250000e+03, 2.220533846080e+01, 1.934063000000e+03, 1.976334000000e+03
EulerExplicit N=1e5, 1630, 10, 2.036677500000e+02, 3.839392968712e-02, 2.027430000000e+02, 2.045180000000e+02
LeapFrog N=1e5, 1548, 10, 1.933263750000e+02, 1.061909042965e-01, 1.920300000000e+02, 1.949080000000e+02
PredictorCorrector N=1e5, 1475, 10, 1.843860000000e+02, 7.249760000004e-01, 1.820180000000e+02, 1.897850000000e+02
EulerExplicit N=1e6, 22859, 10, 2.853073875000e+03, 3.463459382625e+01, 2.831373000000e+03, 2.885235000000e+03
LeapFrog N=1e6, 22209, 10, 2.773769500000e+03, 3.268729315663e+01, 2.755994000000e+03, 2.808634000000e+03
PredictorCorrector N=1e6, 1471, 10, 1.838537500000e+02, 1.425423046885e-01, 1.822390000000e+02, 1.852950000000e+02
