Finder run KdTree, 502, 32, 1.675630000000e+01, 1.922511444447e-03, 1.654200000000e+01, 1.747700000000e+01
Finder run UniformGrid, 505, 60, 8.710103448276e+00, 5.475788880235e-04, 8.549000000000e+00, 9.189000000000e+00
Finder run BruteForce, 501, 252, 2.004496000000e+00, 1.144266393596e-05, 1.930000000000e+00, 2.067000000000e+00
Finder build KdTree Sequential, 808, 10, 1.006758750000e+02, 8.568019511717e-01, 9.668000000000e+01, 1.037770000000e+02
Finder build KdTree ThreadPool, 1351, 10, 1.684293750000e+02, 1.387600668555e+01, 1.626210000000e+02, 1.961530000000e+02
Finder build KdTree Tbb, 595, 10, 7.397450000000e+01, 2.756340625012e-02, 7.324200000000e+01, 7.475700000000e+01
LutKernel sequential, 500, 5073, 9.808795109447e-02, 9.841609067299e-11, 9.800000000000e-02, 1.290000000000e-01
LutKernel random, 500, 1494, 3.347687667560e-01, 4.206582763645e-08, 3.240000000000e-01, 3.570000000000e-01
BruteForceGravity, 1344, 10, 1.681146250000e+02, 5.627839355470e-01, 1.626380000000e+02, 1.695670000000e+02
BarnesHut Octupole 0.2, 68101, 10, 8.511463875000e+03, 9.075586679764e+01, 8.471099000000e+03, 8.555782000000e+03
BarnesHut Octupole 0.5, 8326, 10, 1.039882500000e+03, 4.056252499868e-01, 1.037420000000e+03, 1.042702000000e+03
BarnesHut Octupole 0.8, 3144, 10, 3.924650000000e+02, 2.271856250445e-02, 3.918920000000e+02, 3.931890000000e+02
BarnesHut Octupole 5, 517, 14, 4.248750000000e+01, 1.770256944458e-03, 4.222600000000e+01, 4.275500000000e+01
BarnesHut Monopole 0.2, 42254, 10, 5.280811375000e+03, 8.841768811457e+00, 5.269504000000e+03, 5.294876000000e+03
BarnesHut Monopole 0.5, 4405, 10, 5.497068750000e+02, 7.080885742471e-02, 5.485450000000e+02, 5.511470000000e+02
BarnesHut build Sequential, 1337, 10, 1.661202500000e+02, 5.928518671881e-01, 1.639490000000e+02, 1.705990000000e+02
BarnesHut build ThreadPool, 2104, 10, 2.618733750000e+02, 7.977333730469e-01, 2.586780000000e+02, 2.667470000000e+02
BarnesHut build Tbb, 1466, 10, 1.819650000000e+02, 5.961749374992e-01, 1.770540000000e+02, 1.839690000000e+02
HardSphereSolver bounce, 508, 41, 1.302515384615e+01, 1.037298336111e-04, 1.290400000000e+01, 1.314300000000e+01
HardSphereSolver merge, 502, 36, 1.478852941176e+01, 1.194814400570e-02, 1.404100000000e+01, 1.551800000000e+01
std::map 10, 500, 10308, 4.803900640404e-02, 1.572603560207e-11, 4.800000000000e-02, 7.000000000000e-02
Sph::Map 10, 500, 10738, 4.608066318927e-02, 1.578854581154e-10, 4.500000000000e-02, 9.600000000000e-02
std::map 100, 500, 7165, 6.927530364372e-02, 2.158528571256e-10, 6.800000000000e-02, 1.170000000000e-01
Sph::Map 100, 500, 5812, 8.554130808950e-02, 3.264768755067e-10, 8.400000000000e-02, 1.130000000000e-01
std::map 1000, 500, 2439, 2.046528518670e-01, 2.898872292468e-09, 2.010000000000e-01, 2.460000000000e-01
Sph::Map 1000, 500, 4032, 1.236230769231e-01, 1.637252482535e-09, 1.180000000000e-01, 1.650000000000e-01
std::map 10000, 500, 1283, 3.899984387197e-01, 5.749191899095e-08, 3.800000000000e-01, 4.150000000000e-01
Sph::Map 10000, 500, 1422, 3.515873239437e-01, 5.477592334293e-08, 3.420000000000e-01, 3.800000000000e-01
SymmetricSolver simple, 4684, 10, 5.653897500000e+02, 2.540995960939e+00, 5.585640000000e+02, 5.723210000000e+02
AsymmetricSolver simple, 2731, 10, 3.383366250000e+02, 1.359006859180e+01, 3.300130000000e+02, 3.645620000000e+02
EnergyConservingSolver simple, 5935, 10, 7.057023750000e+02, 1.899084500918e+02, 6.609450000000e+02, 7.925870000000e+02
GravitySolver simple, 16924, 10, 2.114004625000e+03, 4.002922218549e+01, 2.099540000000e+03, 2.158703000000e+03
EulerExplicit N=1e5, 1784, 10, 2.229127500000e+02, 7.688627343759e-02, 2.219430000000e+02, 2.246440000000e+02
LeapFrog N=1e5, 1741, 10, 2.174626250000e+02, 1.631007167944e-01, 2.162720000000e+02, 2.203290000000e+02
PredictorCorrector N=1e5, 1595, 10, 1.991328750000e+02, 1.654991992109e-02, 1.983270000000e+02, 1.996600000000e+02
EulerExplicit N=1e6, 25472, 10, 3.181477375000e+03, 7.155263748253e+00, 3.173590000000e+03, 3.196714000000e+03
LeapFrog N=1e6, 23824, 10, 2.976818375000e+03, 5.828448841348e+00, 2.969372000000e+03, 2.991901000000e+03
PredictorCorrector N=1e6, 1594, 10, 1.992286250000e+02, 2.435109355456e-01, 1.977650000000e+02, 2.020860000000e+02
