Finder run KdTree, 509, 32, 1.699370000000e+01, 3.729584777773e-03, 1.649000000000e+01, 1.777500000000e+01
Finder run UniformGrid, 503, 61, 8.528813559322e+00, 8.333494661062e-05, 8.469000000000e+00, 8.947000000000e+00
Finder run BruteForce, 500, 260, 1.939461240310e+00, 1.498048681052e-06, 1.917000000000e+00, 2.048000000000e+00
Finder build KdTree Sequential, 807, 10, 1.003153750000e+02, 7.713550605470e-01, 9.674200000000e+01, 1.036580000000e+02
Finder build KdTree ThreadPool, 1372, 10, 1.710047500000e+02, 1.467955099219e+01, 1.648280000000e+02, 1.991480000000e+02
Finder build KdTree Tbb, 529, 15, 4.033969230769e+01, 1.388623240782e-01, 3.697200000000e+01, 4.310300000000e+01
LutKernel sequential, 500, 5073, 9.806901991719e-02, 3.211517429527e-11, 9.800000000000e-02, 1.030000000000e-01
LutKernel random, 500, 1472, 3.397238095238e-01, 9.286772486857e-08, 3.200000000000e-01, 3.700000000000e-01
BruteForceGravity, 1344, 10, 1.680866250000e+02, 1.008573685548e+00, 1.608260000000e+02, 1.697180000000e+02
BarnesHut Octupole 0.2, 64809, 10, 8.100418375000e+03, 6.216979834251e+01, 8.073283000000e+03, 8.142263000000e+03
BarnesHut Octupole 0.5, 7833, 10, 9.779372500000e+02, 1.769628046895e-01, 9.763920000000e+02, 9.798480000000e+02
BarnesHut Octupole 0.8, 2961, 10, 3.689786250000e+02, 1.005507792943e-01, 3.680070000000e+02, 3.711730000000e+02
BarnesHut Octupole 5, 516, 16, 3.664164285714e+01, 1.002189868765e-03, 3.641400000000e+01, 3.687200000000e+01
BarnesHut Monopole 0.2, 43191, 10, 5.397464750000e+03, 6.023956208583e+01, 5.354660000000e+03, 5.420645000000e+03
BarnesHut Monopole 0.5, 4549, 10, 5.675345000000e+02, 2.141410000113e-01, 5.661020000000e+02, 5.701820000000e+02
BarnesHut build Sequential, 1253, 10, 1.549775000000e+02, 2.598756875004e-01, 1.534750000000e+02, 1.573290000000e+02
BarnesHut build ThreadPool, 2811, 10, 3.503363750000e+02, 6.342924662305e+01, 3.358490000000e+02, 4.091080000000e+02
BarnesHut build Tbb, 563, 12, 5.497310000000e+01, 4.602060290000e-01, 5.199600000000e+01, 5.867100000000e+01
HardSphereSolver bounce, 502, 40, 1.323107894737e+01, 1.195393096621e-04, 1.305500000000e+01, 1.338300000000e+01
HardSphereSolver merge, 500, 36, 1.472717647059e+01, 1.322134164462e-02, 1.379700000000e+01, 1.571300000000e+01
std::map 10, 500, 10975, 4.511646769343e-02, 1.906167786368e-11, 4.500000000000e-02, 5.400000000000e-02
Sph::Map 10, 500, 10966, 4.511245895659e-02, 5.119685668495e-11, 4.500000000000e-02, 1.080000000000e-01
std::map 100, 500, 6678, 7.438286399041e-02, 5.894548629556e-10, 6.900000000000e-02, 9.100000000000e-02
Sph::Map 100, 500, 7323, 6.773432591176e-02, 1.314674050184e-10, 6.700000000000e-02, 8.200000000000e-02
std::map 1000, 500, 2300, 2.171161879896e-01, 2.650728526958e-09, 2.120000000000e-01, 2.340000000000e-01
Sph::Map 1000, 500, 4858, 1.024511943987e-01, 4.793079011036e-10, 9.900000000000e-02, 1.130000000000e-01
std::map 10000, 500, 1217, 4.110748971193e-01, 2.209025342632e-08, 4.030000000000e-01, 4.460000000000e-01
Sph::Map 10000, 500, 1400, 3.573025751073e-01, 1.376123397504e-08, 3.520000000000e-01, 3.850000000000e-01
SymmetricSolver simple, 4455, 10, 5.357258750000e+02, 1.047378607444e+00, 5.316690000000e+02, 5.402880000000e+02
AsymmetricSolver simple, 2848, 10, 3.521441250000e+02, 4.881864669918e+00, 3.420710000000e+02, 3.606950000000e+02
EnergyConservingSolver simple, 5099, 10, 6.071352500000e+02, 1.947396727344e+01, 5.945030000000e+02, 6.364150000000e+02
GravitySolver simple, 15260, 10, 1.906615875000e+03, 1.101565607608e+01, 1.896521000000e+03, 1.925632000000e+03
EulerExplicit N=1e5, 1612, 10, 2.015131250000e+02, 1.034774511718e-01, 2.001780000000e+02, 2.030530000000e+02
LeapFrog N=1e5, 1589, 10, 1.985011250000e+02, 8.645554492159e-02, 1.970720000000e+02, 1.997100000000e+02
PredictorCorrector N=1e5, 1455, 10, 1.818688750000e+02, 1.054181386717e-01, 1.807160000000e+02, 1.835280000000e+02
EulerExplicit N=1e6, 23111, 10, 2.886914125000e+03, 9.929582720075e+01, 2.863671000000e+03, 2.936452000000e+03
LeapFrog N=1e6, 21883, 10, 2.734295625000e+03, 3.339651009184e+01, 2.720564000000e+03, 2.772106000000e+03
PredictorCorrector N=1e6, 1450, 10, 1.813000000000e+02, 2.803109375145e-02, 1.805320000000e+02, 1.820560000000e+02
