Finder run KdTree, 507, 32, 1.692533333333e+01, 3.923418518517e-03, 1.671200000000e+01, 1.790100000000e+01
Finder run UniformGrid, 508, 61, 8.618932203390e+00, 2.247679655668e-05, 8.595000000000e+00, 8.835000000000e+00
Finder run BruteForce, 500, 260, 1.939604651163e+00, 5.478888651621e-07, 1.929000000000e+00, 2.027000000000e+00
Finder build KdTree Sequential, 857, 10, 1.066271250000e+02, 3.824527949223e-01, 1.037750000000e+02, 1.086970000000e+02
Finder build KdTree ThreadPool, 1447, 10, 1.805135000000e+02, 1.111445568750e+01, 1.697340000000e+02, 2.018020000000e+02
Finder build KdTree Tbb, 535, 13, 4.826054545455e+01, 1.548780886551e-01, 4.568400000000e+01, 5.051100000000e+01
LutKernel sequential, 500, 5381, 9.244432050567e-02, 1.480654988419e-10, 9.200000000000e-02, 1.210000000000e-01
LutKernel random, 500, 1543, 3.240473718365e-01, 8.579485773407e-09, 3.190000000000e-01, 3.810000000000e-01
BruteForceGravity, 1329, 10, 1.662437500000e+02, 2.680520054687e+00, 1.556190000000e+02, 1.695260000000e+02
BarnesHut Octupole 0.2, 64459, 10, 8.056031000000e+03, 3.792340406217e+01, 8.037467000000e+03, 8.085526000000e+03
BarnesHut Octupole 0.5, 7973, 10, 9.957903750000e+02, 3.765222792863e-01, 9.919480000000e+02, 9.985040000000e+02
BarnesHut Octupole 0.8, 2997, 10, 3.736070000000e+02, 3.148058187500e+00, 3.683260000000e+02, 3.813220000000e+02
BarnesHut Octupole 5, 527, 16, 3.721557142857e+01, 5.865731778434e-03, 3.698800000000e+01, 3.820900000000e+01
BarnesHut Monopole 0.2, 44335, 10, 5.541001375000e+03, 9.622897946695e+01, 5.482287000000e+03, 5.575305000000e+03
BarnesHut Monopole 0.5, 4593, 10, 5.731882500000e+02, 9.412784922024e-01, 5.698280000000e+02, 5.775590000000e+02
BarnesHut build Sequential, 1374, 10, 1.697697500000e+02, 1.108764085937e+00, 1.669550000000e+02, 1.749590000000e+02
BarnesHut build ThreadPool, 2852, 10, 3.556400000000e+02, 1.170926468747e+00, 3.506200000000e+02, 3.601090000000e+02
BarnesHut build Tbb, 607, 10, 7.442937500000e+01, 6.311139355470e-01, 6.925000000000e+01, 7.674800000000e+01
HardSphereSolver bounce, 506, 41, 1.299528205128e+01, 2.028165006155e-04, 1.269200000000e+01, 1.315200000000e+01
HardSphereSolver merge, 500, 36, 1.471782352941e+01, 1.057048697334e-02, 1.403300000000e+01, 1.544000000000e+01
std::map 10, 500, 10880, 4.558098915242e-02, 1.165219770503e-10, 4.500000000000e-02, 5.500000000000e-02
Sph::Map 10, 500, 10965, 4.516017513455e-02, 3.332074318306e-11, 4.500000000000e-02, 7.500000000000e-02
std::map 100, 500, 5929, 8.384376581745e-02, 1.048449491919e-09, 8.100000000000e-02, 2.490000000000e-01
Sph::Map 100, 500, 7312, 6.800259917920e-02, 8.280826291028e-11, 6.700000000000e-02, 9.800000000000e-02
std::map 1000, 500, 2687, 1.857061452514e-01, 8.693234854506e-10, 1.830000000000e-01, 2.140000000000e-01
Sph::Map 1000, 500, 5014, 9.928272146848e-02, 3.320993571320e-10, 9.600000000000e-02, 1.100000000000e-01
std::map 10000, 500, 1341, 3.729962658701e-01, 2.877147477592e-08, 3.670000000000e-01, 5.370000000000e-01
Sph::Map 10000, 500, 1495, 3.345385130610e-01, 8.104130303917e-08, 3.280000000000e-01, 7.350000000000e-01
SymmetricSolver simple, 4307, 10, 5.171381250000e+02, 3.224247794918e+00, 5.089630000000e+02, 5.275050000000e+02
AsymmetricSolver simple, 2987, 10, 3.708277500000e+02, 7.237737109426e-01, 3.673770000000e+02, 3.747330000000e+02
EnergyConservingSolver simple, 7125, 10, 8.540755000000e+02, 4.741241687498e+01, 8.326220000000e+02, 8.782410000000e+02
GravitySolver simple, 15875, 10, 1.981157750000e+03, 5.073759564921e+02, 1.922345000000e+03, 2.101908000000e+03
EulerExplicit N=1e5, 1639, 10, 2.048745000000e+02, 8.101378125048e-02, 2.037620000000e+02, 2.061640000000e+02
LeapFrog N=1e5, 1610, 10, 2.006507500000e+02, 1.778655234375e-01, 1.991880000000e+02, 2.030920000000e+02
PredictorCorrector N=1e5, 1499, 10, 1.872791250000e+02, 8.371816992258e-02, 1.865650000000e+02, 1.890960000000e+02
EulerExplicit N=1e6, 24120, 10, 3.011183875000e+03, 2.223849060759e+01, 2.991982000000e+03, 3.035429000000e+03
LeapFrog N=1e6, 22155, 10, 2.767932000000e+03, 2.022905943752e+01, 2.754985000000e+03, 2.797485000000e+03
PredictorCorrector N=1e6, 1496, 10, 1.869561250000e+02, 5.797851366970e-02, 1.860930000000e+02, 1.878660000000e+02
