Finder run KdTree, 503, 32, 1.677126666667e+01, 2.463531851845e-04, 1.671300000000e+01, 1.717100000000e+01
Finder run UniformGrid, 506, 61, 8.589983050847e+00, 3.025021058654e-05, 8.544000000000e+00, 8.758000000000e+00
Finder run BruteForce, 501, 258, 1.956808593750e+00, 1.691736161717e-06, 1.938000000000e+00, 2.053000000000e+00
Finder build KdTree Sequential, 859, 10, 1.069941250000e+02, 1.178049669922e+00, 1.010440000000e+02, 1.119920000000e+02
Finder build KdTree ThreadPool, 1519, 10, 1.894662500000e+02, 1.399204705469e+01, 1.790420000000e+02, 2.135300000000e+02
Finder build KdTree Tbb, 528, 12, 5.234710000000e+01, 4.265876090000e-01, 4.936400000000e+01, 5.533100000000e+01
LutKernel sequential, 500, 5366, 9.277908277405e-02, 4.332336368493e-10, 9.100000000000e-02, 1.100000000000e-01
LutKernel random, 500, 1522, 3.285625000000e-01, 1.115480544603e-08, 3.220000000000e-01, 3.700000000000e-01
BruteForceGravity, 1312, 10, 1.640097500000e+02, 1.070088055469e+01, 1.448070000000e+02, 1.695610000000e+02
BarnesHut Octupole 0.2, 64734, 10, 8.090997125000e+03, 4.749488829263e+01, 8.066947000000e+03, 8.122826000000e+03
BarnesHut Octupole 0.5, 7824, 10, 9.767561250000e+02, 1.530947701161e+00, 9.715030000000e+02, 9.836820000000e+02
BarnesHut Octupole 0.8, 3016, 10, 3.760118750000e+02, 4.123134824185e-01, 3.736950000000e+02, 3.786850000000e+02
BarnesHut Octupole 5, 528, 16, 3.708785714286e+01, 4.573896501500e-03, 3.678700000000e+01, 3.759200000000e+01
BarnesHut Monopole 0.2, 43025, 10, 5.376601375000e+03, 1.541877437336e+01, 5.354672000000e+03, 5.390459000000e+03
BarnesHut Monopole 0.5, 4638, 10, 5.787750000000e+02, 5.664377812500e-01, 5.758120000000e+02, 5.825490000000e+02
BarnesHut build Sequential, 1348, 10, 1.670738750000e+02, 6.580863867248e-02, 1.665910000000e+02, 1.689750000000e+02
BarnesHut build ThreadPool, 2988, 10, 3.718890000000e+02, 3.865224999936e-01, 3.691260000000e+02, 3.740430000000e+02
BarnesHut build Tbb, 611, 10, 7.547725000000e+01, 5.759264609376e-01, 7.155900000000e+01, 7.813300000000e+01
HardSphereSolver bounce, 501, 40, 1.319478947368e+01, 2.393672547012e-04, 1.284700000000e+01, 1.335600000000e+01
HardSphereSolver merge, 514, 36, 1.514282352941e+01, 4.768679493181e-02, 1.422800000000e+01, 2.156600000000e+01
std::map 10, 500, 10310, 4.802958866900e-02, 8.319388103503e-12, 4.800000000000e-02, 5.800000000000e-02
Sph::Map 10, 500, 10309, 4.803444261182e-02, 9.853440657760e-12, 4.800000000000e-02, 5.600000000000e-02
std::map 100, 500, 6279, 7.912967978334e-02, 8.592338648418e-10, 7.100000000000e-02, 9.600000000000e-02
Sph::Map 100, 500, 7431, 6.674666846143e-02, 1.342131644735e-10, 6.600000000000e-02, 9.100000000000e-02
std::map 1000, 500, 2297, 2.174065359477e-01, 1.219607265878e-09, 2.130000000000e-01, 2.350000000000e-01
Sph::Map 1000, 500, 4742, 1.049772151899e-01, 2.374770439122e-10, 1.030000000000e-01, 1.190000000000e-01
std::map 10000, 500, 1180, 4.241179966044e-01, 1.050282230962e-08, 4.180000000000e-01, 4.760000000000e-01
Sph::Map 10000, 500, 1391, 3.596645068395e-01, 3.794941425121e-09, 3.550000000000e-01, 3.820000000000e-01
SymmetricSolver simple, 4783, 10, 5.759497500000e+02, 8.822501484392e-01, 5.703520000000e+02, 5.804340000000e+02
AsymmetricSolver simple, 3113, 10, 3.851360000000e+02, 3.967278718756e+00, 3.768730000000e+02, 3.928140000000e+02
EnergyConservingSolver simple, 5197, 10, 6.140728750000e+02, 6.731510638667e+00, 6.036680000000e+02, 6.252700000000e+02
GravitySolver simple, 15522, 10, 1.937567125000e+03, 1.271597313875e+01, 1.925643000000e+03, 1.958667000000e+03
EulerExplicit N=1e5, 1612, 10, 2.012146250000e+02, 1.742937304698e-02, 2.007950000000e+02, 2.018210000000e+02
LeapFrog N=1e5, 1613, 10, 2.016160000000e+02, 3.883081249933e-02, 2.007760000000e+02, 2.027850000000e+02
PredictorCorrector N=1e5, 1518, 10, 1.896225000000e+02, 2.733587812500e-01, 1.870610000000e+02, 1.920610000000e+02
EulerExplicit N=1e6, 22848, 10, 2.854143750000e+03, 8.724431554670e+00, 2.845831000000e+03, 2.871859000000e+03
LeapFrog N=1e6, 21689, 10, 2.708920875000e+03, 9.514761170023e+00, 2.700153000000e+03, 2.728459000000e+03
PredictorCorrector N=1e6, 1512, 10, 1.889926250000e+02, 1.083252167973e-01, 1.877880000000e+02, 1.903080000000e+02
