Finder run KdTree, 511, 32, 1.704170000000e+01, 7.016971444441e-03, 1.648200000000e+01, 1.785000000000e+01
Finder run UniformGrid, 503, 61, 8.524033898305e+00, 6.691351111857e-05, 8.452000000000e+00, 8.836000000000e+00
Finder run BruteForce, 500, 259, 1.948307392996e+00, 9.281399559851e-07, 1.929000000000e+00, 2.035000000000e+00
Finder build KdTree Sequential, 851, 10, 1.059633750000e+02, 6.696564042968e-01, 1.019280000000e+02, 1.091290000000e+02
Finder build KdTree ThreadPool, 1439, 10, 1.793937500000e+02, 1.271165286719e+01, 1.692010000000e+02, 2.026680000000e+02
Finder build KdTree Tbb, 657, 10, 8.166825000000e+01, 1.999024296875e-01, 7.958400000000e+01, 8.350800000000e+01
LutKernel sequential, 500, 5314, 9.364495481928e-02, 6.723660733083e-10, 9.100000000000e-02, 1.140000000000e-01
LutKernel random, 500, 1501, 3.330767178119e-01, 4.812644829813e-08, 3.230000000000e-01, 3.620000000000e-01
BruteForceGravity, 1271, 10, 1.589805000000e+02, 1.000442000000e+01, 1.471090000000e+02, 1.696070000000e+02
BarnesHut Octupole 0.2, 64151, 10, 8.017565875000e+03, 1.130525446059e+02, 7.974553000000e+03, 8.066406000000e+03
BarnesHut Octupole 0.5, 7978, 10, 9.961168750000e+02, 1.283170076160e+00, 9.911450000000e+02, 1.002954000000e+03
BarnesHut Octupole 0.8, 2949, 10, 3.673512500000e+02, 6.016008594088e-02, 3.660880000000e+02, 3.684750000000e+02
BarnesHut Octupole 5, 524, 16, 3.667071428571e+01, 6.199125364544e-04, 3.649200000000e+01, 3.684300000000e+01
BarnesHut Monopole 0.2, 42582, 10, 5.321992500000e+03, 2.236844003061e+01, 5.295143000000e+03, 5.345412000000e+03
BarnesHut Monopole 0.5, 4523, 10, 5.639241250000e+02, 1.376624824261e-01, 5.621940000000e+02, 5.658570000000e+02
BarnesHut build Sequential, 1413, 10, 1.744865000000e+02, 1.815782374999e+00, 1.714920000000e+02, 1.810450000000e+02
BarnesHut build ThreadPool, 2018, 10, 2.499085000000e+02, 3.337412468751e+00, 2.454210000000e+02, 2.631860000000e+02
BarnesHut build Tbb, 1450, 10, 1.792838750000e+02, 6.356762636733e-01, 1.755520000000e+02, 1.821420000000e+02
HardSphereSolver bounce, 512, 43, 1.248856097561e+01, 2.342142162747e-04, 1.235400000000e+01, 1.280500000000e+01
HardSphereSolver merge, 505, 38, 1.404236111111e+01, 8.460503322188e-03, 1.336100000000e+01, 1.480800000000e+01
std::map 10, 500, 11048, 4.473773311606e-02, 7.324736788439e-11, 4.400000000000e-02, 5.300000000000e-02
Sph::Map 10, 500, 10982, 4.511921675775e-02, 8.809646664805e-11, 4.400000000000e-02, 5.200000000000e-02
std::map 100, 500, 6813, 7.288430480106e-02, 3.294874781285e-10, 7.100000000000e-02, 8.500000000000e-02
Sph::Map 100, 500, 7677, 6.463869706841e-02, 2.349029819679e-10, 6.300000000000e-02, 7.600000000000e-02
std::map 1000, 500, 2468, 2.022749391727e-01, 6.869021488985e-09, 1.970000000000e-01, 2.220000000000e-01
Sph::Map 1000, 500, 4326, 1.151181776133e-01, 1.029503981908e-09, 1.130000000000e-01, 1.590000000000e-01
std::map 10000, 500, 1184, 4.226455160744e-01, 7.582467356996e-08, 4.130000000000e-01, 4.790000000000e-01
Sph::Map 10000, 500, 1382, 3.618413043478e-01, 3.361596600148e-08, 3.550000000000e-01, 3.950000000000e-01
SymmetricSolver simple, 4356, 10, 5.125962500000e+02, 4.300107734307e-01, 5.088680000000e+02, 5.142920000000e+02
AsymmetricSolver simple, 4095, 10, 5.074392500000e+02, 5.415628429688e+00, 4.974600000000e+02, 5.209890000000e+02
EnergyConservingSolver simple, 5570, 10, 6.588477500000e+02, 1.892590773437e+00, 6.537630000000e+02, 6.659760000000e+02
GravitySolver simple, 17187, 10, 2.147381375000e+03, 2.821635373170e+00, 2.143636000000e+03, 2.156003000000e+03
EulerExplicit N=1e5, 1704, 10, 2.130433750000e+02, 3.823165429822e-02, 2.125480000000e+02, 2.143590000000e+02
LeapFrog N=1e5, 1661, 10, 2.076451250000e+02, 2.352720117233e-02, 2.066620000000e+02, 2.082280000000e+02
PredictorCorrector N=1e5, 1566, 10, 1.956790000000e+02, 7.942937499774e-02, 1.946760000000e+02, 1.970810000000e+02
EulerExplicit N=1e6, 24464, 10, 3.056834500000e+03, 7.955501718679e+00, 3.049746000000e+03, 3.073667000000e+03
LeapFrog N=1e6, 23291, 10, 2.910173250000e+03, 1.653959242394e+00, 2.901620000000e+03, 2.914198000000e+03
PredictorCorrector N=1e6, 1589, 10, 1.986906250000e+02, 3.817693554720e-02, 1.979100000000e+02, 1.996090000000e+02
