Finder run KdTree, 512, 32, 1.707860000000e+01, 4.391281911111e-02, 1.668800000000e+01, 2.320000000000e+01
Finder run UniformGrid, 501, 60, 8.643982758621e+00, 2.574943468369e-04, 8.495000000000e+00, 9.128000000000e+00
Finder run BruteForce, 501, 259, 1.951832684825e+00, 3.641929559080e-06, 1.911000000000e+00, 2.055000000000e+00
Finder build KdTree Sequential, 805, 10, 1.003742500000e+02, 7.567297734372e-01, 9.732900000000e+01, 1.035390000000e+02
Finder build KdTree ThreadPool, 1414, 10, 1.763436250000e+02, 2.106912024805e+01, 1.693780000000e+02, 2.104510000000e+02
Finder build KdTree Tbb, 594, 10, 7.387487500000e+01, 3.769107617188e-02, 7.316300000000e+01, 7.480800000000e+01
LutKernel sequential, 500, 5030, 9.893914081147e-02, 1.365770053188e-08, 9.800000000000e-02, 2.490000000000e-01
LutKernel random, 500, 1476, 3.387876526459e-01, 1.031615092512e-07, 3.100000000000e-01, 3.980000000000e-01
BruteForceGravity, 1229, 10, 1.536687500000e+02, 1.082354024219e+01, 1.423670000000e+02, 1.695480000000e+02
BarnesHut Octupole 0.2, 65011, 10, 8.124998125000e+03, 3.513663263805e+01, 8.097116000000e+03, 8.146981000000e+03
BarnesHut Octupole 0.5, 7825, 10, 9.772116250000e+02, 1.188358873027e+00, 9.742080000000e+02, 9.847510000000e+02
BarnesHut Octupole 0.8, 2961, 10, 3.689865000000e+02, 2.084716875033e-01, 3.679990000000e+02, 3.722460000000e+02
BarnesHut Octupole 5, 522, 16, 3.669585714286e+01, 4.072488338222e-03, 3.635300000000e+01, 3.701800000000e+01
BarnesHut Monopole 0.2, 43117, 10, 5.388222000000e+03, 5.789392003044e+01, 5.342364000000e+03, 5.421467000000e+03
BarnesHut Monopole 0.5, 4545, 10, 5.671615000000e+02, 6.046263125027e-01, 5.653830000000e+02, 5.709120000000e+02
BarnesHut build Sequential, 1327, 10, 1.646575000000e+02, 2.715557812489e-01, 1.622550000000e+02, 1.662060000000e+02
BarnesHut build ThreadPool, 2077, 10, 2.577361250000e+02, 1.642897669923e+00, 2.512850000000e+02, 2.649800000000e+02
BarnesHut build Tbb, 1395, 10, 1.728373750000e+02, 3.742129980469e-01, 1.706580000000e+02, 1.763440000000e+02
HardSphereSolver bounce, 507, 41, 1.299971794872e+01, 1.106784335565e-04, 1.286700000000e+01, 1.313200000000e+01
HardSphereSolver merge, 501, 36, 1.475729411765e+01, 1.102396804396e-02, 1.403200000000e+01, 1.548800000000e+01
std::map 10, 500, 10671, 4.638400974787e-02, 2.688427283532e-10, 4.400000000000e-02, 6.300000000000e-02
Sph::Map 10, 500, 10914, 4.529023093842e-02, 9.953527355805e-11, 4.400000000000e-02, 8.900000000000e-02
std::map 100, 500, 5922, 8.394442567568e-02, 7.762485174099e-10, 8.100000000000e-02, 1.230000000000e-01
Sph::Map 100, 500, 7377, 6.720284745762e-02, 2.985540285004e-10, 6.600000000000e-02, 9.700000000000e-02
std::map 1000, 500, 2605, 1.916265847099e-01, 1.110144347738e-08, 1.840000000000e-01, 2.290000000000e-01
Sph::Map 1000, 500, 4682, 1.063232905983e-01, 1.604018797816e-09, 1.030000000000e-01, 1.850000000000e-01
std::map 10000, 500, 1338, 3.738368263473e-01, 6.226269101453e-08, 3.630000000000e-01, 5.280000000000e-01
Sph::Map 10000, 500, 1479, 3.380291130670e-01, 3.713805690202e-08, 3.280000000000e-01, 3.810000000000e-01
SymmetricSolver simple, 4588, 10, 5.524431250000e+02, 1.074438857424e+00, 5.489190000000e+02, 5.583160000000e+02
AsymmetricSolver simple, 2745, 10, 3.394061250000e+02, 6.248281169919e+00, 3.320810000000e+02, 3.563300000000e+02
EnergyConservingSolver simple, 4617, 10, 5.445820000000e+02, 7.428925387500e+01, 5.107700000000e+02, 5.876100000000e+02
GravitySolver simple, 16027, 10, 2.000676250000e+03, 4.620519824210e+01, 1.977348000000e+03, 2.037269000000e+03
EulerExplicit N=1e5, 1727, 10, 2.147348750000e+02, 1.601217629492e+01, 2.068840000000e+02, 2.361010000000e+02
LeapFrog N=1e5, 1616, 10, 2.011410000000e+02, 5.132221875010e-02, 1.997220000000e+02, 2.019510000000e+02
PredictorCorrector N=1e5, 1473, 10, 1.831105000000e+02, 2.325184374968e-02, 1.823710000000e+02, 1.837430000000e+02
EulerExplicit N=1e6, 23577, 10, 2.944382000000e+03, 2.908007462509e+01, 2.926150000000e+03, 2.976666000000e+03
LeapFrog N=1e6, 22504, 10, 2.812035625000e+03, 8.111312373076e+00, 2.800464000000e+03, 2.824805000000e+03
PredictorCorrector N=1e6, 1489, 10, 1.861120000000e+02, 8.145518750007e-02, 1.852880000000e+02, 1.880640000000e+02
