Finder run KdTree, 514, 33, 1.661032258065e+01, 5.952515860467e-04, 1.648100000000e+01, 1.708400000000e+01
Finder run UniformGrid, 507, 62, 8.447366666667e+00, 4.959442592612e-05, 8.365000000000e+00, 8.649000000000e+00
Finder run BruteForce, 500, 261, 1.933803088803e+00, 1.182763487874e-06, 1.914000000000e+00, 2.062000000000e+00
Finder build KdTree Sequential, 853, 10, 1.059448750000e+02, 2.479957324217e-01, 1.035950000000e+02, 1.078050000000e+02
Finder build KdTree ThreadPool, 1413, 10, 1.762096250000e+02, 6.390145904296e+00, 1.679140000000e+02, 1.926820000000e+02
Finder build KdTree Tbb, 517, 12, 5.124790000000e+01, 6.349329290001e-01, 4.739700000000e+01, 5.455900000000e+01
LutKernel sequential, 500, 5383, 9.238041256272e-02, 5.245453643607e-10, 9.000000000000e-02, 1.330000000000e-01
LutKernel random, 500, 1536, 3.256192959583e-01, 1.253196508849e-08, 3.170000000000e-01, 3.600000000000e-01
BruteForceGravity, 1344, 10, 1.680425000000e+02, 4.778209687497e-01, 1.634340000000e+02, 1.694130000000e+02
BarnesHut Octupole 0.2, 64265, 10, 8.031903875000e+03, 7.400227795355e+00, 8.020423000000e+03, 8.048962000000e+03
BarnesHut Octupole 0.5, 7806, 10, 9.745707500000e+02, 8.797495546751e-01, 9.723050000000e+02, 9.811620000000e+02
BarnesHut Octupole 0.8, 2943, 10, 3.668438750000e+02, 7.059595117244e-02, 3.660170000000e+02, 3.681950000000e+02
BarnesHut Octupole 5, 529, 16, 3.710750000000e+01, 8.904362244298e-04, 3.692600000000e+01, 3.736400000000e+01
BarnesHut Monopole 0.2, 42817, 10, 5.350881250000e+03, 3.624260293134e+01, 5.313367000000e+03, 5.374640000000e+03
BarnesHut Monopole 0.5, 4516, 10, 5.641208750000e+02, 9.043829491566e-02, 5.626040000000e+02, 5.654510000000e+02
BarnesHut build Sequential, 1403, 10, 1.742030000000e+02, 9.923187501499e-03, 1.737380000000e+02, 1.747430000000e+02
BarnesHut build ThreadPool, 1994, 10, 2.476548750000e+02, 1.020684888671e+00, 2.439240000000e+02, 2.524700000000e+02
BarnesHut build Tbb, 996, 10, 1.228976250000e+02, 5.456144042967e-01, 1.202620000000e+02, 1.262780000000e+02
HardSphereSolver bounce, 504, 42, 1.259920000000e+01, 1.338052750002e-03, 1.229900000000e+01, 1.308500000000e+01
HardSphereSolver merge, 508, 38, 1.412277777778e+01, 8.688364368995e-03, 1.335800000000e+01, 1.515400000000e+01
std::map 10, 500, 11025, 4.472022135535e-02, 1.650871177795e-10, 4.400000000000e-02, 5.600000000000e-02
Sph::Map 10, 500, 11012, 4.484804722979e-02, 1.621247880460e-10, 4.400000000000e-02, 5.800000000000e-02
std::map 100, 500, 6772, 7.336129985229e-02, 6.447826903010e-10, 7.100000000000e-02, 1.050000000000e-01
Sph::Map 100, 500, 7696, 6.447231609046e-02, 5.160274192291e-10, 6.300000000000e-02, 1.050000000000e-01
std::map 1000, 500, 2468, 2.022931873479e-01, 1.217548531031e-08, 1.970000000000e-01, 2.270000000000e-01
Sph::Map 1000, 500, 4322, 1.152358796296e-01, 2.498855380983e-09, 1.120000000000e-01, 1.510000000000e-01
std::map 10000, 500, 1258, 3.977906050955e-01, 8.465222292421e-08, 3.900000000000e-01, 4.330000000000e-01
Sph::Map 10000, 500, 1384, 3.615166425470e-01, 6.192556207423e-08, 3.530000000000e-01, 3.940000000000e-01
SymmetricSolver simple, 6581, 10, 8.052551250000e+02, 2.200853076196e+00, 8.008150000000e+02, 8.139450000000e+02
AsymmetricSolver simple, 2998, 10, 3.721846250000e+02, 2.931948935551e+00, 3.656540000000e+02, 3.824820000000e+02
EnergyConservingSolver simple, 6621, 10, 7.963016250000e+02, 1.052896502480e+02, 7.349940000000e+02, 8.339400000000e+02
GravitySolver simple, 17256, 10, 2.154173625000e+03, 3.695691779372e+00, 2.143408000000e+03, 2.161568000000e+03
EulerExplicit N=1e5, 1666, 10, 2.080722500000e+02, 5.715536718890e-02, 2.073860000000e+02, 2.090950000000e+02
LeapFrog N=1e5, 1669, 10, 2.082080000000e+02, 6.502606249887e-02, 2.072000000000e+02, 2.090820000000e+02
PredictorCorrector N=1e5, 1536, 10, 1.914532500000e+02, 8.036242968774e-02, 1.898080000000e+02, 1.924910000000e+02
EulerExplicit N=1e6, 23958, 10, 2.993866000000e+03, 2.522699006251e+01, 2.984122000000e+03, 3.029612000000e+03
LeapFrog N=1e6, 23816, 10, 2.975302500000e+03, 3.387265937636e+00, 2.968343000000e+03, 2.984325000000e+03
PredictorCorrector N=1e6, 1586, 10, 1.979015000000e+02, 2.893331250016e-02, 1.968900000000e+02, 1.986420000000e+02
