Finder run KdTree, 503, 32, 1.677670000000e+01, 4.041647777778e-04, 1.658800000000e+01, 1.708500000000e+01
Finder run UniformGrid, 506, 61, 8.581457627119e+00, 4.196106417887e-04, 8.381000000000e+00, 9.052000000000e+00
Finder run BruteForce, 500, 258, 1.955089843750e+00, 3.995555013421e-05, 1.912000000000e+00, 3.418000000000e+00
Finder build KdTree Sequential, 889, 10, 1.108475000000e+02, 3.745396468750e+00, 1.028030000000e+02, 1.236900000000e+02
Finder build KdTree ThreadPool, 1395, 10, 1.739306250000e+02, 2.016305587305e+01, 1.662550000000e+02, 2.072390000000e+02
Finder build KdTree Tbb, 516, 15, 3.940015384615e+01, 8.592527628585e-02, 3.772600000000e+01, 4.104500000000e+01
LutKernel sequential, 500, 5286, 9.408005299016e-02, 8.764528161943e-10, 9.200000000000e-02, 1.070000000000e-01
LutKernel random, 500, 1540, 3.246749024707e-01, 8.471750434892e-09, 3.180000000000e-01, 3.560000000000e-01
BruteForceGravity, 1293, 10, 1.616473750000e+02, 1.039599518555e+01, 1.448520000000e+02, 1.698140000000e+02
BarnesHut Octupole 0.2, 64183, 10, 8.021794125000e+03, 8.355332398228e+01, 7.997690000000e+03, 8.085455000000e+03
BarnesHut Octupole 0.5, 7802, 10, 9.741551250000e+02, 4.987204199278e-01, 9.712410000000e+02, 9.782490000000e+02
BarnesHut Octupole 0.8, 2945, 10, 3.671826250000e+02, 5.145843555147e-02, 3.660540000000e+02, 3.683230000000e+02
BarnesHut Octupole 5, 520, 16, 3.656157142857e+01, 6.059154518912e-04, 3.641900000000e+01, 3.676200000000e+01
BarnesHut Monopole 0.2, 43049, 10, 5.380605500000e+03, 2.022520415718e+01, 5.357291000000e+03, 5.400622000000e+03
BarnesHut Monopole 0.5, 4489, 10, 5.603080000000e+02, 2.837796874519e-02, 5.597040000000e+02, 5.612000000000e+02
BarnesHut build Sequential, 1353, 10, 1.675335000000e+02, 1.063126250001e+00, 1.648780000000e+02, 1.719640000000e+02
BarnesHut build ThreadPool, 2063, 10, 2.563510000000e+02, 7.566079624999e+00, 2.364850000000e+02, 2.635240000000e+02
BarnesHut build Tbb, 1096, 10, 1.358702500000e+02, 1.509042734369e-01, 1.337720000000e+02, 1.370400000000e+02
HardSphereSolver bounce, 502, 42, 1.257110000000e+01, 2.885622499974e-04, 1.242900000000e+01, 1.283600000000e+01
HardSphereSolver merge, 513, 38, 1.425125000000e+01, 1.019151755401e-02, 1.346000000000e+01, 1.506300000000e+01
std::map 10, 500, 10884, 4.542804631502e-02, 1.171120029042e-10, 4.500000000000e-02, 9.600000000000e-02
Sph::Map 10, 500, 10903, 4.539198238694e-02, 1.589983413126e-10, 4.500000000000e-02, 9.400000000000e-02
std::map 100, 500, 5910, 8.411052809750e-02, 7.060651366934e-10, 8.200000000000e-02, 1.330000000000e-01
Sph::Map 100, 500, 7058, 7.033701814059e-02, 4.294895991935e-09, 6.800000000000e-02, 3.320000000000e-01
std::map 1000, 500, 2579, 1.934955374466e-01, 8.547328044222e-09, 1.870000000000e-01, 2.310000000000e-01
Sph::Map 1000, 500, 4953, 1.004770753383e-01, 8.999178844176e-10, 9.800000000000e-02, 1.170000000000e-01
std::map 10000, 500, 1330, 3.761980421687e-01, 5.154215217871e-08, 3.670000000000e-01, 4.400000000000e-01
Sph::Map 10000, 500, 1524, 3.281754270696e-01, 2.832230266932e-08, 3.220000000000e-01, 3.550000000000e-01
SymmetricSolver simple, 4594, 10, 5.545832500000e+02, 4.334130234420e-01, 5.516370000000e+02, 5.565800000000e+02
AsymmetricSolver simple, 2695, 10, 3.339363750000e+02, 5.421558730486e-01, 3.315630000000e+02, 3.384000000000e+02
EnergyConservingSolver simple, 4827, 10, 5.711066250000e+02, 8.911078418023e-01, 5.662750000000e+02, 5.751550000000e+02
GravitySolver simple, 15918, 10, 1.989074750000e+03, 3.389721710817e+00, 1.981054000000e+03, 2.000531000000e+03
EulerExplicit N=1e5, 1642, 10, 2.052693750000e+02, 2.497556054914e-02, 2.049140000000e+02, 2.063510000000e+02
LeapFrog N=1e5, 1591, 10, 1.988100000000e+02, 6.564206250005e-02, 1.978300000000e+02, 1.998440000000e+02
PredictorCorrector N=1e5, 1493, 10, 1.865955000000e+02, 2.939499999957e-02, 1.857050000000e+02, 1.873360000000e+02
EulerExplicit N=1e6, 23523, 10, 2.939620750000e+03, 3.713055742439e+00, 2.932282000000e+03, 2.950807000000e+03
LeapFrog N=1e6, 22231, 10, 2.778414125000e+03, 6.397825732944e+00, 2.769510000000e+03, 2.791243000000e+03
PredictorCorrector N=1e6, 1493, 10, 1.866657500000e+02, 4.785361718677e-02, 1.856590000000e+02, 1.875330000000e+02
