Finder run KdTree, 513, 32, 1.709813333333e+01, 5.399447496296e-02, 1.653300000000e+01, 2.369600000000e+01
Finder run UniformGrid, 507, 61, 8.597406779661e+00, 1.881293413648e-04, 8.462000000000e+00, 8.924000000000e+00
Finder run BruteForce, 501, 258, 1.957671875000e+00, 4.044714927679e-06, 1.920000000000e+00, 2.094000000000e+00
Finder build KdTree Sequential, 853, 10, 1.061990000000e+02, 1.244640150000e+01, 1.001910000000e+02, 1.324770000000e+02
Finder build KdTree ThreadPool, 1423, 10, 1.775012500000e+02, 7.769997992186e+00, 1.722820000000e+02, 1.981330000000e+02
Finder build KdTree Tbb, 618, 10, 7.657925000000e+01, 3.075999296874e-01, 7.452300000000e+01, 7.945100000000e+01
LutKernel sequential, 500, 5256, 9.460772744575e-02, 1.740241570044e-09, 9.100000000000e-02, 1.480000000000e-01
LutKernel random, 500, 1533, 3.261221423906e-01, 5.533460640873e-08, 3.150000000000e-01, 4.140000000000e-01
BruteForceGravity, 1299, 10, 1.623923750000e+02, 1.094809777930e+01, 1.418450000000e+02, 1.706730000000e+02
BarnesHut Octupole 0.2, 64192, 10, 8.022897000000e+03, 7.293737828173e+01, 7.986273000000e+03, 8.074349000000e+03
BarnesHut Octupole 0.5, 7742, 10, 9.666293750000e+02, 5.565595293156e-01, 9.643830000000e+02, 9.717340000000e+02
BarnesHut Octupole 0.8, 2952, 10, 3.679347500000e+02, 2.562280273432e+00, 3.656380000000e+02, 3.798470000000e+02
BarnesHut Octupole 5, 522, 16, 3.667350000000e+01, 4.732956632649e-03, 3.646600000000e+01, 3.756600000000e+01
BarnesHut Monopole 0.2, 43130, 10, 5.390233875000e+03, 1.757869445020e+01, 5.372141000000e+03, 5.407070000000e+03
BarnesHut Monopole 0.5, 4533, 10, 5.656042500000e+02, 1.023899585925e+00, 5.628190000000e+02, 5.726630000000e+02
BarnesHut build Sequential, 1281, 10, 1.587503750000e+02, 6.117145605458e-01, 1.557130000000e+02, 1.624030000000e+02
BarnesHut build ThreadPool, 1996, 10, 2.477940000000e+02, 7.524403750012e-01, 2.438480000000e+02, 2.508710000000e+02
BarnesHut build Tbb, 1334, 10, 1.650721250000e+02, 1.007062982422e+00, 1.589130000000e+02, 1.687340000000e+02
HardSphereSolver bounce, 507, 41, 1.301530769231e+01, 9.901926870052e-05, 1.285000000000e+01, 1.314600000000e+01
HardSphereSolver merge, 510, 38, 1.416805555556e+01, 8.941415037720e-03, 1.341700000000e+01, 1.504700000000e+01
std::map 10, 500, 10952, 4.517525114155e-02, 9.860255671753e-11, 4.400000000000e-02, 5.800000000000e-02
Sph::Map 10, 500, 10991, 4.509391209392e-02, 7.867862330837e-11, 4.400000000000e-02, 7.000000000000e-02
std::map 100, 500, 5616, 8.853224082651e-02, 1.429567221735e-09, 8.500000000000e-02, 1.800000000000e-01
Sph::Map 100, 500, 7253, 6.841028823610e-02, 2.410253961843e-10, 6.700000000000e-02, 8.600000000000e-02
std::map 1000, 500, 2462, 2.027382113821e-01, 2.604348284964e-07, 1.900000000000e-01, 5.140000000000e-01
Sph::Map 1000, 500, 4908, 1.014050142682e-01, 1.688715801000e-08, 9.800000000000e-02, 6.760000000000e-01
std::map 10000, 500, 1349, 3.707542687454e-01, 4.213915547853e-08, 3.610000000000e-01, 4.020000000000e-01
Sph::Map 10000, 500, 1531, 3.266134728581e-01, 3.039152896412e-08, 3.200000000000e-01, 3.580000000000e-01
SymmetricSolver simple, 4485, 10, 5.242950000000e+02, 1.866904093760e+00, 5.204290000000e+02, 5.330190000000e+02
AsymmetricSolver simple, 2845, 10, 3.489795000000e+02, 3.009893656254e+00, 3.439690000000e+02, 3.601890000000e+02
EnergyConservingSolver simple, 442318, 10, 6.908613750000e+02, 1.851596493556e+01, 6.741600000000e+02, 7.105280000000e+02
GravitySolver simple, 15987, 10, 1.996922750000e+03, 3.115290005476e+01, 1.987071000000e+03, 2.038061000000e+03
EulerExplicit N=1e5, 1715, 10, 2.144168750000e+02, 1.239501386717e-01, 2.129560000000e+02, 2.156660000000e+02
LeapFrog N=1e5, 1659, 10, 2.070406250000e+02, 3.934637304883e-02, 2.061960000000e+02, 2.080520000000e+02
PredictorCorrector N=1e5, 1556, 10, 1.942251250000e+02, 1.013525761718e-01, 1.930270000000e+02, 1.963020000000e+02
EulerExplicit N=1e6, 23738, 10, 2.964990375000e+03, 2.051974462299e+01, 2.948990000000e+03, 2.984727000000e+03
LeapFrog N=1e6, 22526, 10, 2.813637750000e+03, 6.320314486732e+01, 2.779598000000e+03, 2.849517000000e+03
PredictorCorrector N=1e6, 1556, 10, 1.945886250000e+02, 2.746607792978e-01, 1.927250000000e+02, 1.980460000000e+02
