Finder run KdTree, 503, 30, 1.796550000000e+01, 1.393558545919e-02, 1.780700000000e+01, 2.120900000000e+01
Finder run UniformGrid, 500, 57, 9.095600000000e+00, 6.536171900832e-05, 9.067000000000e+00, 9.528000000000e+00
Finder run BruteForce, 500, 242, 2.082929166667e+00, 2.135062210362e-08, 2.077000000000e+00, 2.089000000000e+00
Finder build KdTree Sequential, 924, 10, 1.148857500000e+02, 4.473505546875e-01, 1.115920000000e+02, 1.171490000000e+02
Finder build KdTree ThreadPool, 1528, 10, 1.905051250000e+02, 2.089802351367e+01, 1.769480000000e+02, 2.221110000000e+02
Finder build KdTree Tbb, 660, 10, 8.189237500000e+01, 2.590657167972e-01, 7.967600000000e+01, 8.419900000000e+01
LutKernel sequential, 500, 5120, 9.706604142243e-02, 6.503404300955e-09, 9.300000000000e-02, 1.590000000000e-01
LutKernel random, 500, 1466, 3.410040983607e-01, 1.234873649780e-07, 3.280000000000e-01, 4.380000000000e-01
BruteForceGravity, 1279, 10, 1.599161250000e+02, 1.153517238867e+01, 1.438740000000e+02, 1.687570000000e+02
BarnesHut Octupole 0.2, 67477, 10, 8.433519625000e+03, 1.208765006512e+02, 8.390606000000e+03, 8.490619000000e+03
BarnesHut Octupole 0.5, 8338, 10, 1.041388875000e+03, 5.189391386521e-01, 1.037641000000e+03, 1.043707000000e+03
BarnesHut Octupole 0.8, 3119, 10, 3.889083750000e+02, 1.634308341792e+00, 3.835920000000e+02, 3.950780000000e+02
BarnesHut Octupole 5, 516, 15, 3.913300000000e+01, 2.089711242602e-02, 3.849400000000e+01, 4.001200000000e+01
BarnesHut Monopole 0.2, 45105, 10, 5.637292125000e+03, 1.410571496687e+02, 5.580576000000e+03, 5.682552000000e+03
BarnesHut Monopole 0.5, 4779, 10, 5.964802500000e+02, 3.505798359402e-01, 5.937010000000e+02, 5.987990000000e+02
BarnesHut build Sequential, 1433, 10, 1.778733750000e+02, 2.266095292966e-01, 1.768130000000e+02, 1.808790000000e+02
BarnesHut build ThreadPool, 2111, 10, 2.625317500000e+02, 6.859879296881e-01, 2.587670000000e+02, 2.655350000000e+02
BarnesHut build Tbb, 1436, 10, 1.782411250000e+02, 1.021171388671e+00, 1.741280000000e+02, 1.820230000000e+02
HardSphereSolver bounce, 500, 41, 1.283648717949e+01, 8.979235658036e-04, 1.231500000000e+01, 1.307400000000e+01
HardSphereSolver merge, 513, 37, 1.468262857143e+01, 1.075200993586e-02, 1.398000000000e+01, 1.544600000000e+01
std::map 10, 500, 10251, 4.830910332716e-02, 7.480318339991e-10, 4.800000000000e-02, 9.300000000000e-02
Sph::Map 10, 500, 10300, 4.805680714702e-02, 2.289292969783e-11, 4.800000000000e-02, 6.100000000000e-02
std::map 100, 500, 6294, 7.896122059759e-02, 8.478404206102e-11, 7.700000000000e-02, 8.600000000000e-02
Sph::Map 100, 500, 5467, 9.093778591034e-02, 1.428653002120e-10, 8.800000000000e-02, 1.050000000000e-01
std::map 1000, 500, 2479, 2.014125958821e-01, 5.910373836633e-10, 1.990000000000e-01, 2.080000000000e-01
Sph::Map 1000, 500, 3798, 1.311390937829e-01, 3.328720555246e-10, 1.300000000000e-01, 1.730000000000e-01
std::map 10000, 500, 1208, 4.142910447761e-01, 2.484016679538e-09, 4.110000000000e-01, 4.210000000000e-01
Sph::Map 10000, 500, 1356, 3.688020679468e-01, 2.664545668917e-09, 3.650000000000e-01, 4.060000000000e-01
SymmetricSolver simple, 5151, 10, 6.277931250000e+02, 4.883625919902e+00, 6.170510000000e+02, 6.374800000000e+02
AsymmetricSolver simple, 3228, 10, 4.030911250000e+02, 2.289750701173e+00, 3.969370000000e+02, 4.084660000000e+02
EnergyConservingSolver simple, 311375, 10, 9.445950000000e+02, 8.243777228124e+01, 9.215730000000e+02, 9.955550000000e+02
GravitySolver simple, 16842, 10, 2.104822000000e+03, 1.067442140623e+01, 2.083763000000e+03, 2.115366000000e+03
EulerExplicit N=1e5, 1723, 10, 2.153807500000e+02, 2.675029296897e-01, 2.128250000000e+02, 2.176880000000e+02
LeapFrog N=1e5, 1707, 10, 2.130880000000e+02, 3.112262500008e-01, 2.113210000000e+02, 2.160290000000e+02
PredictorCorrector N=1e5, 1577, 10, 1.970915000000e+02, 1.142842812505e-01, 1.960040000000e+02, 1.987040000000e+02
EulerExplicit N=1e6, 24771, 10, 3.094333250000e+03, 1.017314486741e+01, 3.086818000000e+03, 3.113195000000e+03
LeapFrog N=1e6, 23782, 10, 2.971951500000e+03, 6.650619406020e+00, 2.963532000000e+03, 2.984151000000e+03
PredictorCorrector N=1e6, 1602, 10, 1.998410000000e+02, 1.607026562488e-01, 1.976120000000e+02, 2.011480000000e+02
