Finder run KdTree, 500, 32, 1.668423333333e+01, 5.966459629595e-04, 1.648700000000e+01, 1.705700000000e+01
Finder run UniformGrid, 502, 60, 8.663017241379e+00, 1.415151553983e-04, 8.542000000000e+00, 8.897000000000e+00
Finder run BruteForce, 500, 256, 1.970385826772e+00, 4.590585110287e-06, 1.926000000000e+00, 2.108000000000e+00
Finder build KdTree Sequential, 876, 10, 1.089953750000e+02, 1.233375998047e+00, 1.033110000000e+02, 1.146590000000e+02
Finder build KdTree ThreadPool, 1402, 10, 1.747103750000e+02, 3.595955279297e+00, 1.695190000000e+02, 1.864520000000e+02
Finder build KdTree Tbb, 549, 15, 4.175146153846e+01, 2.228105279927e-01, 3.844700000000e+01, 4.379900000000e+01
LutKernel sequential, 500, 5286, 9.408440575322e-02, 6.209866642088e-10, 9.200000000000e-02, 1.040000000000e-01
LutKernel random, 500, 1501, 3.330713809206e-01, 2.177362726671e-08, 3.240000000000e-01, 4.140000000000e-01
BruteForceGravity, 1203, 10, 1.504783750000e+02, 3.026782402930e+01, 1.206980000000e+02, 1.693410000000e+02
BarnesHut Octupole 0.2, 72294, 10, 9.035091625000e+03, 1.434613215942e+02, 8.996659000000e+03, 9.097730000000e+03
BarnesHut Octupole 0.5, 9023, 10, 1.126209875000e+03, 1.036454104492e+01, 1.117977000000e+03, 1.140125000000e+03
BarnesHut Octupole 0.8, 3374, 10, 4.200766250000e+02, 8.835046680178e-02, 4.188470000000e+02, 4.213050000000e+02
BarnesHut Octupole 5, 514, 13, 4.554781818182e+01, 1.783950112696e-02, 4.510600000000e+01, 4.678400000000e+01
BarnesHut Monopole 0.2, 43895, 10, 5.486352375000e+03, 9.452384772478e+02, 5.338076000000e+03, 5.603759000000e+03
BarnesHut Monopole 0.5, 4562, 10, 5.694940000000e+02, 7.977345624968e-01, 5.668510000000e+02, 5.749900000000e+02
BarnesHut build Sequential, 1451, 10, 1.804533750000e+02, 7.376051542979e-01, 1.768250000000e+02, 1.860450000000e+02
BarnesHut build ThreadPool, 2045, 10, 2.542550000000e+02, 6.108336249999e+00, 2.460920000000e+02, 2.672150000000e+02
std::map 10, 500, 10241, 4.835550346714e-02, 9.268278873756e-10, 4.800000000000e-02, 9.000000000000e-02
Sph::Map 10, 500, 10302, 4.805271844660e-02, 1.883659043280e-11, 4.800000000000e-02, 6.000000000000e-02
std::map 100, 500, 6417, 7.743429462197e-02, 6.306926422336e-09, 7.600000000000e-02, 5.830000000000e-01
Sph::Map 100, 500, 5602, 8.874232142857e-02, 3.089020989657e-10, 8.700000000000e-02, 1.360000000000e-01
std::map 1000, 500, 2481, 2.011686163776e-01, 5.850708443673e-10, 1.980000000000e-01, 2.110000000000e-01
Sph::Map 1000, 500, 3784, 1.316567953464e-01, 2.932508351302e-10, 1.300000000000e-01, 1.440000000000e-01
std::map 10000, 500, 1245, 4.018117457763e-01, 1.027462226195e-07, 3.800000000000e-01, 4.220000000000e-01
Sph::Map 10000, 500, 1413, 3.540035435861e-01, 6.624822495777e-08, 3.380000000000e-01, 4.060000000000e-01
SymmetricSolver simple, 5614, 10, 6.796147500000e+02, 1.196712674217e+01, 6.659390000000e+02, 6.919140000000e+02
AsymmetricSolver simple, 2958, 10, 3.666575000000e+02, 2.390489781250e+00, 3.613770000000e+02, 3.736480000000e+02
EnergyConservingSolver simple, 6559, 10, 6.898026250000e+02, 7.275710404298e+00, 6.789940000000e+02, 7.019810000000e+02
GravitySolver simple, 18296, 10, 2.285063000000e+03, 8.378733749967e+00, 2.272794000000e+03, 2.296473000000e+03
