Finder run KdTree, 516, 33, 1.665332258065e+01, 5.204149575371e-04, 1.655800000000e+01, 1.702600000000e+01
Finder run UniformGrid, 503, 61, 8.525203389831e+00, 5.996827328969e-05, 8.476000000000e+00, 8.711000000000e+00
Finder run BruteForce, 500, 258, 1.954058593750e+00, 7.333803117307e-06, 1.922000000000e+00, 2.065000000000e+00
Finder build KdTree Sequential, 855, 10, 1.063828750000e+02, 4.790018261722e-01, 1.028210000000e+02, 1.083920000000e+02
Finder build KdTree ThreadPool, 1460, 10, 1.819815000000e+02, 1.710635681250e+01, 1.726100000000e+02, 2.115780000000e+02
Finder build KdTree Tbb, 667, 10, 8.264450000000e+01, 6.766135000001e-01, 7.876200000000e+01, 8.608800000000e+01
LutKernel sequential, 500, 5223, 9.518751197089e-02, 1.392481279038e-09, 9.200000000000e-02, 1.080000000000e-01
LutKernel random, 500, 1482, 3.373283783784e-01, 6.503214395015e-08, 3.240000000000e-01, 4.450000000000e-01
BruteForceGravity, 1351, 10, 1.688768750000e+02, 1.668697949231e-01, 1.659260000000e+02, 1.698120000000e+02
BarnesHut Octupole 0.2, 64450, 10, 8.055498250000e+03, 7.827109452616e+01, 8.002143000000e+03, 8.084150000000e+03
BarnesHut Octupole 0.5, 7844, 10, 9.787130000000e+02, 1.710744687516e+00, 9.751020000000e+02, 9.878690000000e+02
BarnesHut Octupole 0.8, 2958, 10, 3.686441250000e+02, 8.400676367455e-02, 3.678680000000e+02, 3.706030000000e+02
BarnesHut Octupole 5, 528, 16, 3.704142857143e+01, 6.150991253305e-04, 3.685200000000e+01, 3.719700000000e+01
BarnesHut Monopole 0.2, 44401, 10, 5.549089375000e+03, 9.385770674888e+01, 5.493382000000e+03, 5.576410000000e+03
BarnesHut Monopole 0.5, 4561, 10, 5.685111250000e+02, 3.187081076168e+00, 5.660850000000e+02, 5.818350000000e+02
BarnesHut build Sequential, 1381, 10, 1.707108750000e+02, 7.819227324226e-01, 1.681030000000e+02, 1.741990000000e+02
BarnesHut build ThreadPool, 2866, 10, 3.570866250000e+02, 1.005214216799e+00, 3.529190000000e+02, 3.614760000000e+02
BarnesHut build Tbb, 773, 10, 9.509262500000e+01, 4.059807480469e-01, 9.083800000000e+01, 9.730200000000e+01
HardSphereSolver bounce, 501, 40, 1.319615789474e+01, 1.565201195499e-04, 1.288200000000e+01, 1.335500000000e+01
HardSphereSolver merge, 508, 36, 1.495097058824e+01, 1.155178976695e-02, 1.423300000000e+01, 1.564900000000e+01
std::map 10, 500, 10310, 4.802726038029e-02, 5.602941891498e-12, 4.800000000000e-02, 5.400000000000e-02
Sph::Map 10, 500, 10310, 4.803191695770e-02, 1.065832917009e-11, 4.800000000000e-02, 6.400000000000e-02
std::map 100, 500, 6283, 7.907721700366e-02, 7.184501729431e-10, 7.400000000000e-02, 1.420000000000e-01
Sph::Map 100, 500, 7010, 7.101983447490e-02, 1.470601992872e-11, 7.000000000000e-02, 7.600000000000e-02
std::map 1000, 500, 2246, 2.223088235294e-01, 2.495722109738e-08, 2.110000000000e-01, 2.690000000000e-01
Sph::Map 1000, 500, 4727, 1.053028571429e-01, 1.581931588504e-09, 1.010000000000e-01, 2.700000000000e-01
std::map 10000, 500, 1248, 4.008948635634e-01, 2.303179299018e-08, 3.940000000000e-01, 4.270000000000e-01
Sph::Map 10000, 500, 1377, 3.632029090909e-01, 4.071372607614e-08, 3.560000000000e-01, 3.960000000000e-01
SymmetricSolver simple, 4583, 10, 5.497375000000e+02, 5.681396778126e+01, 5.267220000000e+02, 5.736180000000e+02
AsymmetricSolver simple, 3200, 10, 3.963810000000e+02, 4.567076562496e+00, 3.883550000000e+02, 4.053780000000e+02
EnergyConservingSolver simple, 8979, 10, 7.820660000000e+02, 7.655807656265e+00, 7.694500000000e+02, 7.946420000000e+02
GravitySolver simple, 17376, 10, 2.166088875000e+03, 1.898869798251e+01, 2.143920000000e+03, 2.187931000000e+03
EulerExplicit N=1e5, 1702, 10, 2.126861250000e+02, 6.118410449235e-01, 2.112480000000e+02, 2.184800000000e+02
LeapFrog N=1e5, 1616, 10, 2.019618750000e+02, 1.531936699221e-01, 2.007170000000e+02, 2.043750000000e+02
PredictorCorrector N=1e5, 1555, 10, 1.943687500000e+02, 9.184011718662e-02, 1.930230000000e+02, 1.959040000000e+02
EulerExplicit N=1e6, 25050, 10, 3.130256000000e+03, 2.449920462538e+01, 3.100920000000e+03, 3.152289000000e+03
LeapFrog N=1e6, 22680, 10, 2.833886625000e+03, 1.726524872938e+00, 2.829119000000e+03, 2.839866000000e+03
PredictorCorrector N=1e6, 1561, 10, 1.950576250000e+02, 1.015889667951e-01, 1.937190000000e+02, 1.966060000000e+02
