Finder run KdTree, 501, 32, 1.671413333333e+01, 1.071617185181e-03, 1.648400000000e+01, 1.719700000000e+01
Finder run UniformGrid, 507, 61, 8.597525423729e+00, 1.995267773244e-04, 8.462000000000e+00, 8.984000000000e+00
Finder run BruteForce, 500, 259, 1.948470817121e+00, 1.945071554896e-06, 1.924000000000e+00, 2.054000000000e+00
Finder build KdTree Sequential, 805, 10, 1.003478750000e+02, 4.252081386719e-01, 9.774900000000e+01, 1.026780000000e+02
Finder build KdTree ThreadPool, 1426, 10, 1.778188750000e+02, 2.348768373242e+01, 1.694410000000e+02, 2.137700000000e+02
Finder build KdTree Tbb, 599, 10, 7.454837500000e+01, 6.647024804681e-02, 7.351200000000e+01, 7.560300000000e+01
LutKernel sequential, 500, 5062, 9.811264822135e-02, 6.896649334185e-11, 9.800000000000e-02, 1.080000000000e-01
LutKernel random, 500, 1419, 3.524382498236e-01, 6.601004680035e-08, 3.470000000000e-01, 5.610000000000e-01
BruteForceGravity, 1261, 10, 1.576946250000e+02, 1.527971781055e+01, 1.439140000000e+02, 1.694340000000e+02
BarnesHut Octupole 0.2, 72067, 10, 9.007261375000e+03, 6.802725868486e+01, 8.961994000000e+03, 9.031473000000e+03
BarnesHut Octupole 0.5, 9003, 10, 1.124281875000e+03, 5.999616073968e-01, 1.122690000000e+03, 1.129873000000e+03
BarnesHut Octupole 0.8, 3381, 10, 4.215308750000e+02, 3.043285761778e-01, 4.198000000000e+02, 4.247180000000e+02
BarnesHut Octupole 5, 549, 14, 4.494275000000e+01, 1.569862847248e-03, 4.477300000000e+01, 4.532900000000e+01
BarnesHut Monopole 0.2, 43055, 10, 5.381307500000e+03, 3.662140834425e+01, 5.351730000000e+03, 5.405311000000e+03
BarnesHut Monopole 0.5, 4497, 10, 5.612580000000e+02, 1.167493437461e-01, 5.599110000000e+02, 5.634740000000e+02
BarnesHut build Sequential, 1642, 10, 2.045776250000e+02, 2.279059667972e-01, 2.014560000000e+02, 2.061850000000e+02
BarnesHut build ThreadPool, 2209, 10, 2.746240000000e+02, 1.572114874998e+00, 2.687500000000e+02, 2.813330000000e+02
std::map 10, 500, 10307, 4.804580300825e-02, 1.429831173638e-11, 4.800000000000e-02, 5.700000000000e-02
Sph::Map 10, 500, 10298, 4.805089355090e-02, 2.006772584041e-11, 4.800000000000e-02, 6.500000000000e-02
std::map 100, 500, 6388, 7.787300344503e-02, 3.001447188900e-09, 7.600000000000e-02, 1.690000000000e-01
Sph::Map 100, 500, 5428, 9.161813490601e-02, 2.122178845666e-08, 8.200000000000e-02, 1.970000000000e-01
std::map 1000, 500, 2625, 1.901399161266e-01, 7.564632985785e-09, 1.850000000000e-01, 2.830000000000e-01
Sph::Map 1000, 500, 3780, 1.317885124404e-01, 5.975373442006e-08, 1.230000000000e-01, 7.510000000000e-01
std::map 10000, 500, 1285, 3.892330475448e-01, 9.300792289195e-08, 3.770000000000e-01, 4.260000000000e-01
Sph::Map 10000, 500, 1425, 3.508475052706e-01, 5.660243329007e-08, 3.420000000000e-01, 3.770000000000e-01
SymmetricSolver simple, 5693, 10, 6.887957500000e+02, 1.292134898438e+00, 6.857330000000e+02, 6.948230000000e+02
AsymmetricSolver simple, 3192, 10, 3.960150000000e+02, 1.179024968751e+00, 3.916190000000e+02, 4.006650000000e+02
EnergyConservingSolver simple, 343281, 10, 8.468273750000e+02, 1.738235721679e+01, 8.366210000000e+02, 8.755940000000e+02
GravitySolver simple, 18211, 10, 2.275685250000e+03, 9.355929117184e+00, 2.265373000000e+03, 2.289395000000e+03
