Finder run KdTree, 502, 32, 1.673446666667e+01, 3.182150518520e-03, 1.649700000000e+01, 1.764500000000e+01
Finder run UniformGrid, 503, 61, 8.533254237288e+00, 2.422508435625e-04, 8.408000000000e+00, 8.904000000000e+00
Finder run BruteForce, 501, 259, 1.951782101167e+00, 6.012778038493e-07, 1.935000000000e+00, 2.037000000000e+00
Finder build KdTree Sequential, 859, 10, 1.070295000000e+02, 2.450326562498e-01, 1.038010000000e+02, 1.086240000000e+02
Finder build KdTree ThreadPool, 1422, 10, 1.773400000000e+02, 7.221010375000e+00, 1.701770000000e+02, 1.961170000000e+02
Finder build KdTree Tbb, 640, 10, 7.968075000000e+01, 5.098416796875e-01, 7.643900000000e+01, 8.388500000000e+01
LutKernel sequential, 500, 5113, 9.723302680494e-02, 1.141608552644e-09, 9.100000000000e-02, 1.400000000000e-01
LutKernel random, 500, 1528, 3.272929226737e-01, 3.408892588070e-08, 3.190000000000e-01, 3.620000000000e-01
BruteForceGravity, 1302, 10, 1.628622500000e+02, 1.622549414844e+01, 1.419670000000e+02, 1.697140000000e+02
BarnesHut Octupole 0.2, 63966, 10, 7.994539750000e+03, 8.717092536762e+01, 7.959811000000e+03, 8.056170000000e+03
BarnesHut Octupole 0.5, 7943, 10, 9.917873750000e+02, 8.432439355529e-01, 9.866860000000e+02, 9.950830000000e+02
BarnesHut Octupole 0.8, 3007, 10, 3.746722500000e+02, 8.908117186365e-03, 3.742770000000e+02, 3.751300000000e+02
BarnesHut Octupole 5, 524, 16, 3.683285714286e+01, 2.398192419832e-03, 3.670000000000e+01, 3.734100000000e+01
BarnesHut Monopole 0.2, 44257, 10, 5.531004750000e+03, 7.535567108048e+02, 5.406521000000e+03, 5.612125000000e+03
BarnesHut Monopole 0.5, 4624, 10, 5.769880000000e+02, 2.647880000004e-01, 5.752550000000e+02, 5.787320000000e+02
BarnesHut build Sequential, 1407, 10, 1.744608750000e+02, 6.823443261724e-01, 1.714720000000e+02, 1.779600000000e+02
BarnesHut build ThreadPool, 2106, 10, 2.613513750000e+02, 1.472116609180e+01, 2.523760000000e+02, 2.889980000000e+02
BarnesHut build Tbb, 1371, 10, 1.700121250000e+02, 2.262905136722e-01, 1.673690000000e+02, 1.721620000000e+02
HardSphereSolver bounce, 509, 43, 1.243446341463e+01, 1.217431261892e-04, 1.226400000000e+01, 1.258500000000e+01
HardSphereSolver merge, 508, 38, 1.411694444444e+01, 8.778447445131e-03, 1.339600000000e+01, 1.485600000000e+01
std::map 10, 500, 11085, 4.440638816205e-02, 6.449109670832e-11, 4.400000000000e-02, 5.400000000000e-02
Sph::Map 10, 500, 11033, 4.487299428883e-02, 8.453989701060e-11, 4.400000000000e-02, 9.500000000000e-02
std::map 100, 500, 6685, 7.431482866976e-02, 3.155131027404e-10, 7.300000000000e-02, 9.100000000000e-02
Sph::Map 100, 500, 6259, 7.934249640403e-02, 3.200259138141e-10, 7.700000000000e-02, 9.100000000000e-02
std::map 1000, 500, 2616, 1.907658760520e-01, 4.824928354144e-09, 1.850000000000e-01, 2.170000000000e-01
Sph::Map 1000, 500, 4408, 1.129720835225e-01, 6.752009992484e-10, 1.110000000000e-01, 1.300000000000e-01
std::map 10000, 500, 1314, 3.807050304878e-01, 6.630333437144e-08, 3.710000000000e-01, 5.340000000000e-01
Sph::Map 10000, 500, 1380, 3.625275761974e-01, 5.591149965081e-08, 3.500000000000e-01, 4.080000000000e-01
SymmetricSolver simple, 4290, 10, 5.134707500000e+02, 7.831535546793e-01, 5.100980000000e+02, 5.177630000000e+02
AsymmetricSolver simple, 3273, 10, 4.052212500000e+02, 2.013499338672e+02, 3.709580000000e+02, 4.708570000000e+02
EnergyConservingSolver simple, 5682, 10, 6.713243750000e+02, 9.848451916230e+02, 5.808720000000e+02, 8.074950000000e+02
GravitySolver simple, 16025, 10, 2.001677375000e+03, 9.981469716819e+00, 1.992686000000e+03, 2.022499000000e+03
EulerExplicit N=1e5, 1662, 10, 2.077680000000e+02, 4.404518749834e-02, 2.071910000000e+02, 2.091590000000e+02
LeapFrog N=1e5, 1621, 10, 2.024870000000e+02, 2.771065624984e-02, 2.018690000000e+02, 2.031890000000e+02
PredictorCorrector N=1e5, 1503, 10, 1.876678750000e+02, 1.272052949234e-01, 1.863970000000e+02, 1.899840000000e+02
EulerExplicit N=1e6, 24368, 10, 3.043195000000e+03, 1.340725245932e+02, 2.999847000000e+03, 3.113511000000e+03
LeapFrog N=1e6, 22562, 10, 2.819109000000e+03, 6.299887562869e+00, 2.807725000000e+03, 2.827534000000e+03
PredictorCorrector N=1e6, 1577, 10, 1.971453750000e+02, 1.196117792970e-01, 1.962560000000e+02, 1.993780000000e+02
