Finder run KdTree, 500, 32, 1.666933333333e+01, 2.605780740744e-03, 1.644700000000e+01, 1.749400000000e+01
Finder run UniformGrid, 501, 61, 8.498237288136e+00, 6.726190116861e-05, 8.394000000000e+00, 8.682000000000e+00
Finder run BruteForce, 500, 260, 1.938352713178e+00, 1.493433434020e-06, 1.916000000000e+00, 2.010000000000e+00
Finder build KdTree Sequential, 814, 10, 1.013398750000e+02, 2.544372324221e-01, 9.903500000000e+01, 1.032440000000e+02
Finder build KdTree ThreadPool, 1403, 10, 1.748616250000e+02, 3.856753310547e+00, 1.701540000000e+02, 1.861730000000e+02
Finder build KdTree Tbb, 602, 10, 7.462362500000e+01, 6.541834179689e-02, 7.356300000000e+01, 7.581800000000e+01
LutKernel sequential, 500, 5422, 9.177177121772e-02, 5.650345511171e-10, 9.000000000000e-02, 1.130000000000e-01
LutKernel random, 500, 1538, 3.251347656250e-01, 2.255211025467e-08, 3.170000000000e-01, 3.610000000000e-01
BruteForceGravity, 1259, 10, 1.574166250000e+02, 1.039486609180e+01, 1.422600000000e+02, 1.690430000000e+02
BarnesHut Octupole 0.2, 64230, 10, 8.027312000000e+03, 6.082107631117e+01, 7.984051000000e+03, 8.052730000000e+03
BarnesHut Octupole 0.5, 7770, 10, 9.695655000000e+02, 1.649653437926e-01, 9.672590000000e+02, 9.709110000000e+02
BarnesHut Octupole 0.8, 2936, 10, 3.658987500000e+02, 1.394466171914e-01, 3.640790000000e+02, 3.673630000000e+02
BarnesHut Octupole 5, 516, 16, 3.662085714286e+01, 1.544161807585e-03, 3.634900000000e+01, 3.686900000000e+01
BarnesHut Monopole 0.2, 42902, 10, 5.361944500000e+03, 3.178729984351e+01, 5.328022000000e+03, 5.382197000000e+03
BarnesHut Monopole 0.5, 4514, 10, 5.638443750000e+02, 6.890558417945e-01, 5.604970000000e+02, 5.665250000000e+02
BarnesHut build Sequential, 1328, 10, 1.648937500000e+02, 8.097192968762e-02, 1.641940000000e+02, 1.664920000000e+02
BarnesHut build ThreadPool, 2075, 10, 2.579596250000e+02, 6.086524355451e-01, 2.553600000000e+02, 2.624590000000e+02
BarnesHut build Tbb, 1433, 10, 1.776662500000e+02, 2.286207109382e-01, 1.752870000000e+02, 1.795790000000e+02
HardSphereSolver bounce, 507, 43, 1.237168292683e+01, 1.184954658233e-04, 1.224300000000e+01, 1.259200000000e+01
HardSphereSolver merge, 509, 38, 1.402038888889e+01, 9.267218021265e-03, 1.334300000000e+01, 1.470700000000e+01
std::map 10, 500, 11094, 4.449756581320e-02, 5.847996574412e-11, 4.400000000000e-02, 5.700000000000e-02
Sph::Map 10, 500, 11084, 4.445262587980e-02, 4.815237951350e-11, 4.400000000000e-02, 4.900000000000e-02
std::map 100, 500, 7098, 6.995448139797e-02, 2.030912482327e-10, 6.800000000000e-02, 7.800000000000e-02
Sph::Map 100, 500, 6467, 7.682645011601e-02, 1.895692021937e-10, 7.600000000000e-02, 1.210000000000e-01
std::map 1000, 500, 2614, 1.909314701378e-01, 2.818997305973e-09, 1.870000000000e-01, 2.320000000000e-01
Sph::Map 1000, 500, 4105, 1.213424323666e-01, 4.818574952088e-10, 1.180000000000e-01, 1.330000000000e-01
std::map 10000, 500, 1313, 3.809267734554e-01, 1.745424083124e-08, 3.730000000000e-01, 4.130000000000e-01
Sph::Map 10000, 500, 1452, 3.443917241379e-01, 1.343614777111e-08, 3.350000000000e-01, 3.770000000000e-01
SymmetricSolver simple, 4477, 10, 5.382322500000e+02, 8.739032421872e-01, 5.343680000000e+02, 5.429660000000e+02
AsymmetricSolver simple, 3231, 10, 4.014588750000e+02, 1.929353982418e+00, 3.968720000000e+02, 4.101890000000e+02
EnergyConservingSolver simple, 8308, 10, 8.187995000000e+02, 5.673850515000e+02, 7.365980000000e+02, 9.801740000000e+02
GravitySolver simple, 15679, 10, 1.957325375000e+03, 1.344793752942e+01, 1.944038000000e+03, 1.973781000000e+03
EulerExplicit N=1e5, 1677, 10, 2.096315000000e+02, 1.327387187521e-01, 2.082250000000e+02, 2.112640000000e+02
LeapFrog N=1e5, 1625, 10, 2.025297500000e+02, 2.985952343715e-02, 2.019580000000e+02, 2.035190000000e+02
PredictorCorrector N=1e5, 1485, 10, 1.856535000000e+02, 6.773199999952e-02, 1.849040000000e+02, 1.872650000000e+02
EulerExplicit N=1e6, 23526, 10, 2.939473625000e+03, 9.254409028916e+00, 2.923396000000e+03, 2.949052000000e+03
LeapFrog N=1e6, 22443, 10, 2.802323625000e+03, 9.220014216378e+00, 2.789840000000e+03, 2.820265000000e+03
PredictorCorrector N=1e6, 1511, 10, 1.888531250000e+02, 1.956657617211e-02, 1.883610000000e+02, 1.897650000000e+02
