Finder run KdTree, 507, 32, 1.691306666667e+01, 2.317442962938e-04, 1.680000000000e+01, 1.710800000000e+01
Finder run UniformGrid, 505, 61, 8.562966101695e+00, 1.496736375187e-04, 8.472000000000e+00, 8.920000000000e+00
Finder run BruteForce, 500, 259, 1.948108949416e+00, 1.216656564305e-06, 1.929000000000e+00, 2.054000000000e+00
Finder build KdTree Sequential, 874, 10, 1.088891250000e+02, 7.215060732422e+00, 1.009710000000e+02, 1.234390000000e+02
Finder build KdTree ThreadPool, 1335, 10, 1.665065000000e+02, 1.480557275000e+01, 1.609640000000e+02, 1.952430000000e+02
Finder build KdTree Tbb, 541, 16, 3.842785714286e+01, 2.030175495627e-01, 3.548400000000e+01, 4.124200000000e+01
LutKernel sequential, 500, 5372, 9.258454376164e-02, 3.936663486686e-10, 9.100000000000e-02, 1.020000000000e-01
LutKernel random, 500, 1546, 3.234721502591e-01, 1.043853629440e-08, 3.170000000000e-01, 3.550000000000e-01
BruteForceGravity, 1295, 10, 1.619680000000e+02, 1.427855765625e+01, 1.410930000000e+02, 1.699240000000e+02
BarnesHut Octupole 0.2, 64219, 10, 8.026182250000e+03, 6.223009752389e+01, 7.999686000000e+03, 8.066036000000e+03
BarnesHut Octupole 0.5, 7788, 10, 9.726987500000e+02, 2.973226484319e-01, 9.699360000000e+02, 9.741610000000e+02
BarnesHut Octupole 0.8, 2945, 10, 3.673233750000e+02, 3.917256054046e-02, 3.664060000000e+02, 3.682390000000e+02
BarnesHut Octupole 5, 517, 16, 3.645921428571e+01, 3.932059038172e-04, 3.630600000000e+01, 3.658800000000e+01
BarnesHut Monopole 0.2, 43348, 10, 5.417426125000e+03, 1.218931700136e+02, 5.359280000000e+03, 5.458578000000e+03
BarnesHut Monopole 0.5, 4531, 10, 5.655308750000e+02, 1.367612324175e-01, 5.637810000000e+02, 5.670860000000e+02
BarnesHut build Sequential, 1265, 10, 1.571060000000e+02, 1.948274999995e-02, 1.565300000000e+02, 1.577880000000e+02
BarnesHut build ThreadPool, 1895, 10, 2.354965000000e+02, 6.892319375002e-01, 2.337420000000e+02, 2.413700000000e+02
BarnesHut build Tbb, 959, 10, 1.187292500000e+02, 2.097901796878e-01, 1.169910000000e+02, 1.216200000000e+02
HardSphereSolver bounce, 506, 42, 1.266327500000e+01, 2.560749843738e-04, 1.250700000000e+01, 1.302400000000e+01
HardSphereSolver merge, 500, 37, 1.429311428571e+01, 1.059359146356e-02, 1.355700000000e+01, 1.516800000000e+01
std::map 10, 500, 10842, 4.545027675277e-02, 8.060210887608e-11, 4.500000000000e-02, 5.800000000000e-02
Sph::Map 10, 500, 10889, 4.518480756866e-02, 5.551629577616e-11, 4.500000000000e-02, 8.900000000000e-02
std::map 100, 500, 5911, 8.413200203081e-02, 5.523222364079e-10, 8.300000000000e-02, 1.250000000000e-01
Sph::Map 100, 500, 6724, 7.389169889914e-02, 2.024366339488e-10, 6.900000000000e-02, 8.900000000000e-02
std::map 1000, 500, 2575, 1.938247182277e-01, 4.460193431661e-09, 1.890000000000e-01, 2.700000000000e-01
Sph::Map 1000, 500, 4747, 1.049007376185e-01, 7.986776568358e-10, 1.000000000000e-01, 1.240000000000e-01
std::map 10000, 500, 1335, 3.747156789197e-01, 7.940418512090e-09, 3.690000000000e-01, 4.000000000000e-01
Sph::Map 10000, 500, 1466, 3.410239071038e-01, 1.116792232830e-08, 3.350000000000e-01, 3.700000000000e-01
SymmetricSolver simple, 4507, 10, 5.430738750000e+02, 7.557209169914e+00, 5.363710000000e+02, 5.621560000000e+02
AsymmetricSolver simple, 2990, 10, 3.707815000000e+02, 7.569624999924e-01, 3.676810000000e+02, 3.763780000000e+02
EnergyConservingSolver simple, 355792, 10, 5.726272500000e+02, 2.555130171093e+01, 5.487180000000e+02, 5.974000000000e+02
GravitySolver simple, 17393, 10, 2.172449125000e+03, 1.811727076187e+00, 2.167611000000e+03, 2.178924000000e+03
EulerExplicit N=1e5, 1694, 10, 2.117498750000e+02, 4.186051367196e-02, 2.109570000000e+02, 2.129650000000e+02
LeapFrog N=1e5, 1655, 10, 2.061520000000e+02, 3.173134375083e-02, 2.052690000000e+02, 2.070610000000e+02
PredictorCorrector N=1e5, 1562, 10, 1.945921250000e+02, 6.183829492147e-02, 1.937160000000e+02, 1.958300000000e+02
EulerExplicit N=1e6, 24342, 10, 3.040114500000e+03, 2.203165540635e+01, 3.017907000000e+03, 3.063402000000e+03
LeapFrog N=1e6, 23381, 10, 2.920520500000e+03, 4.460147968726e+00, 2.911514000000e+03, 2.930445000000e+03
PredictorCorrector N=1e6, 1581, 10, 1.976868750000e+02, 2.310873242368e-02, 1.970890000000e+02, 1.983940000000e+02
