Finder run KdTree, 509, 32, 1.697800000000e+01, 2.564562222225e-03, 1.675800000000e+01, 1.784500000000e+01
Finder run UniformGrid, 508, 61, 8.613661016949e+00, 1.623548464055e-04, 8.511000000000e+00, 8.961000000000e+00
Finder run BruteForce, 500, 260, 1.941038759690e+00, 1.059275470303e-06, 1.922000000000e+00, 2.043000000000e+00
Finder build KdTree Sequential, 820, 10, 1.019290000000e+02, 3.469277187496e-01, 9.904600000000e+01, 1.034940000000e+02
Finder build KdTree ThreadPool, 1330, 10, 1.658183750000e+02, 1.273933271680e+01, 1.596620000000e+02, 1.923560000000e+02
Finder build KdTree Tbb, 533, 16, 3.782428571429e+01, 1.713552288630e-01, 3.518900000000e+01, 4.103000000000e+01
LutKernel sequential, 500, 5359, 9.280212805675e-02, 1.026720379798e-09, 9.100000000000e-02, 1.680000000000e-01
LutKernel random, 500, 1532, 3.262960784314e-01, 4.258655921618e-08, 3.170000000000e-01, 4.190000000000e-01
BruteForceGravity, 1289, 10, 1.611918750000e+02, 1.327830979492e+01, 1.451490000000e+02, 1.693870000000e+02
BarnesHut Octupole 0.2, 64272, 10, 8.033062125000e+03, 6.532348516770e+01, 8.004596000000e+03, 8.082959000000e+03
BarnesHut Octupole 0.5, 7810, 10, 9.750345000000e+02, 1.409834062651e-01, 9.734190000000e+02, 9.766000000000e+02
BarnesHut Octupole 0.8, 2938, 10, 3.663602500000e+02, 2.675005468700e-02, 3.657870000000e+02, 3.672510000000e+02
BarnesHut Octupole 5, 518, 16, 3.643278571429e+01, 5.220528425980e-04, 3.618000000000e+01, 3.655900000000e+01
BarnesHut Monopole 0.2, 42827, 10, 5.352193375000e+03, 1.162773674047e+02, 5.301419000000e+03, 5.395509000000e+03
BarnesHut Monopole 0.5, 4525, 10, 5.646857500000e+02, 7.414961719769e-02, 5.636220000000e+02, 5.662760000000e+02
BarnesHut build Sequential, 1295, 10, 1.607423750000e+02, 7.041709042965e-01, 1.574330000000e+02, 1.639260000000e+02
BarnesHut build ThreadPool, 1965, 10, 2.443361250000e+02, 1.122030848242e+01, 2.349420000000e+02, 2.663900000000e+02
BarnesHut build Tbb, 969, 10, 1.198072500000e+02, 2.195543359376e-01, 1.177530000000e+02, 1.218870000000e+02
HardSphereSolver bounce, 500, 42, 1.252050000000e+01, 2.125025000005e-04, 1.237000000000e+01, 1.273800000000e+01
HardSphereSolver merge, 509, 38, 1.415558333333e+01, 1.022563175154e-02, 1.338800000000e+01, 1.497100000000e+01
std::map 10, 500, 11006, 4.503580516176e-02, 6.794968678949e-11, 4.400000000000e-02, 5.500000000000e-02
Sph::Map 10, 500, 10961, 4.518131216352e-02, 7.927358879708e-11, 4.400000000000e-02, 5.300000000000e-02
std::map 100, 500, 5925, 8.390325848388e-02, 3.991105250611e-10, 8.200000000000e-02, 9.200000000000e-02
Sph::Map 100, 500, 6839, 7.258841597191e-02, 1.226063343307e-09, 6.700000000000e-02, 1.100000000000e-01
std::map 1000, 500, 2578, 1.935729813665e-01, 7.396614880326e-09, 1.870000000000e-01, 2.260000000000e-01
Sph::Map 1000, 500, 4762, 1.045447478992e-01, 1.233955436513e-09, 1.020000000000e-01, 1.450000000000e-01
std::map 10000, 500, 1337, 3.741213483146e-01, 2.554690994129e-08, 3.680000000000e-01, 4.060000000000e-01
Sph::Map 10000, 500, 1489, 3.358997982515e-01, 2.990547983286e-08, 3.280000000000e-01, 4.090000000000e-01
SymmetricSolver simple, 4314, 10, 5.231950000000e+02, 1.761148749938e-01, 5.218110000000e+02, 5.255160000000e+02
AsymmetricSolver simple, 2700, 10, 3.372372500000e+02, 2.018609835937e+00, 3.312460000000e+02, 3.420340000000e+02
EnergyConservingSolver simple, 4448, 10, 5.247025000000e+02, 7.958074656250e+00, 5.154710000000e+02, 5.408970000000e+02
GravitySolver simple, 15658, 10, 1.955752250000e+03, 7.850388242106e+00, 1.945442000000e+03, 1.973689000000e+03
EulerExplicit N=1e5, 1664, 10, 2.074866250000e+02, 1.484472480488e-01, 2.062870000000e+02, 2.094840000000e+02
LeapFrog N=1e5, 1625, 10, 2.028861250000e+02, 2.693329824224e-01, 2.012480000000e+02, 2.050000000000e+02
PredictorCorrector N=1e5, 1470, 10, 1.833787500000e+02, 3.189496093819e-02, 1.826550000000e+02, 1.840530000000e+02
EulerExplicit N=1e6, 23566, 10, 2.944626875000e+03, 3.460659326054e+00, 2.937634000000e+03, 2.954360000000e+03
LeapFrog N=1e6, 22345, 10, 2.792245000000e+03, 8.325256843818e+00, 2.782168000000e+03, 2.808552000000e+03
PredictorCorrector N=1e6, 1468, 10, 1.833923750000e+02, 2.563052929690e-02, 1.829220000000e+02, 1.842390000000e+02
