Finder run KdTree, 510, 32, 1.699976666667e+01, 1.017749040741e-02, 1.675000000000e+01, 1.985000000000e+01
Finder run UniformGrid, 507, 61, 8.593457627119e+00, 5.103092331830e-05, 8.540000000000e+00, 8.811000000000e+00
Finder run BruteForce, 500, 258, 1.952847656250e+00, 1.573105752448e-06, 1.929000000000e+00, 2.059000000000e+00
Finder build KdTree Sequential, 854, 10, 1.064477500000e+02, 3.666726835937e+00, 1.016330000000e+02, 1.188400000000e+02
Finder build KdTree ThreadPool, 1514, 10, 1.888430000000e+02, 1.388628109375e+01, 1.787420000000e+02, 2.138730000000e+02
Finder build KdTree Tbb, 675, 10, 8.403387500000e+01, 9.352259199217e-01, 8.031900000000e+01, 8.885900000000e+01
LutKernel sequential, 500, 5142, 9.670894941635e-02, 1.487705654972e-09, 8.900000000000e-02, 1.300000000000e-01
LutKernel random, 500, 1565, 3.194804862444e-01, 2.144528024340e-08, 3.130000000000e-01, 3.770000000000e-01
BruteForceGravity, 1287, 10, 1.608828750000e+02, 1.233105820117e+01, 1.439030000000e+02, 1.697470000000e+02
BarnesHut Octupole 0.2, 64647, 10, 8.079749625000e+03, 1.316536416858e+02, 8.033170000000e+03, 8.138187000000e+03
BarnesHut Octupole 0.5, 7823, 10, 9.768713750000e+02, 1.569601841809e+00, 9.734280000000e+02, 9.831280000000e+02
BarnesHut Octupole 0.8, 2955, 10, 3.683878750000e+02, 6.186223242912e-02, 3.673320000000e+02, 3.697880000000e+02
BarnesHut Octupole 5, 530, 16, 3.731978571429e+01, 4.162399781356e-03, 3.693200000000e+01, 3.780700000000e+01
BarnesHut Monopole 0.2, 44369, 10, 5.544918625000e+03, 8.369594053417e+02, 5.467505000000e+03, 5.680083000000e+03
BarnesHut Monopole 0.5, 4542, 10, 5.667330000000e+02, 2.914442812471e-01, 5.657640000000e+02, 5.707070000000e+02
BarnesHut build Sequential, 1369, 10, 1.699578750000e+02, 3.582324206945e-04, 1.698340000000e+02, 1.700160000000e+02
BarnesHut build ThreadPool, 2096, 10, 2.609145000000e+02, 1.204570031248e+00, 2.547360000000e+02, 2.652310000000e+02
BarnesHut build Tbb, 1462, 10, 1.812701250000e+02, 2.868801074219e-01, 1.786430000000e+02, 1.835120000000e+02
HardSphereSolver bounce, 507, 41, 1.301989743590e+01, 1.020865152817e-04, 1.288500000000e+01, 1.313200000000e+01
HardSphereSolver merge, 509, 37, 1.455002857143e+01, 1.253039099708e-02, 1.355300000000e+01, 1.552100000000e+01
std::map 10, 500, 10853, 4.546539489448e-02, 6.787388008760e-11, 4.500000000000e-02, 5.400000000000e-02
Sph::Map 10, 500, 10844, 4.544714997233e-02, 7.845425953852e-11, 4.500000000000e-02, 5.300000000000e-02
std::map 100, 500, 5894, 8.434911744739e-02, 4.144776088976e-10, 8.200000000000e-02, 9.900000000000e-02
Sph::Map 100, 500, 7430, 6.669197630586e-02, 1.466463944738e-10, 6.600000000000e-02, 7.600000000000e-02
std::map 1000, 500, 2640, 1.890341167551e-01, 2.520307313970e-09, 1.840000000000e-01, 2.050000000000e-01
Sph::Map 1000, 500, 4659, 1.068630019326e-01, 7.450597908253e-10, 1.040000000000e-01, 1.180000000000e-01
std::map 10000, 500, 1309, 3.821729150727e-01, 2.483883859797e-08, 3.730000000000e-01, 4.520000000000e-01
Sph::Map 10000, 500, 1480, 3.378511502030e-01, 2.073132741805e-08, 3.310000000000e-01, 3.610000000000e-01
SymmetricSolver simple, 4584, 10, 5.488961250000e+02, 9.739966699126e-01, 5.456350000000e+02, 5.534370000000e+02
AsymmetricSolver simple, 3286, 10, 4.073175000000e+02, 2.667965312503e-01, 4.052970000000e+02, 4.093670000000e+02
EnergyConservingSolver simple, 5718, 10, 6.781596250000e+02, 1.225499029300e+00, 6.730010000000e+02, 6.823790000000e+02
GravitySolver simple, 16276, 10, 2.032055500000e+03, 6.140807935000e+02, 1.969884000000e+03, 2.147908000000e+03
EulerExplicit N=1e5, 1696, 10, 2.115560000000e+02, 1.206276250014e-01, 2.103680000000e+02, 2.136090000000e+02
LeapFrog N=1e5, 1671, 10, 2.073167500000e+02, 1.417559367188e+00, 2.034800000000e+02, 2.140440000000e+02
PredictorCorrector N=1e5, 1539, 10, 1.923871250000e+02, 1.411460761719e-01, 1.908610000000e+02, 1.936810000000e+02
EulerExplicit N=1e6, 24048, 10, 3.004254750000e+03, 3.188981867977e+01, 2.978322000000e+03, 3.029029000000e+03
LeapFrog N=1e6, 22793, 10, 2.847434500000e+03, 5.369800500222e+00, 2.839660000000e+03, 2.857280000000e+03
PredictorCorrector N=1e6, 1536, 10, 1.919873750000e+02, 1.313080292966e-01, 1.907010000000e+02, 1.941950000000e+02
