Finder run KdTree, 510, 33, 1.646822580645e+01, 7.436776208043e-05, 1.641800000000e+01, 1.661900000000e+01
Finder run UniformGrid, 507, 61, 8.594322033898e+00, 4.649264043501e-05, 8.541000000000e+00, 8.805000000000e+00
Finder run BruteForce, 500, 260, 1.940744186047e+00, 1.395216074525e-07, 1.928000000000e+00, 1.960000000000e+00
Finder build KdTree Sequential, 818, 10, 1.018545000000e+02, 3.873031406250e+00, 9.675200000000e+01, 1.152960000000e+02
Finder build KdTree ThreadPool, 1407, 10, 1.755308750000e+02, 7.436284419923e+00, 1.710860000000e+02, 1.958480000000e+02
Finder build KdTree Tbb, 592, 10, 7.368737500000e+01, 2.518531054659e-02, 7.305400000000e+01, 7.424200000000e+01
LutKernel sequential, 500, 5189, 9.579197994987e-02, 1.495729148038e-09, 9.200000000000e-02, 1.080000000000e-01
LutKernel random, 500, 1503, 3.326149233844e-01, 3.238677023147e-08, 3.230000000000e-01, 3.590000000000e-01
BruteForceGravity, 1299, 10, 1.623851250000e+02, 1.208791195117e+01, 1.443760000000e+02, 1.694520000000e+02
BarnesHut Octupole 0.2, 68270, 10, 8.532607375000e+03, 4.249338062294e+01, 8.505596000000e+03, 8.571813000000e+03
BarnesHut Octupole 0.5, 8344, 10, 1.042070125000e+03, 4.401977011585e-01, 1.039292000000e+03, 1.044643000000e+03
BarnesHut Octupole 0.8, 3141, 10, 3.916638750000e+02, 2.367579492784e-02, 3.909920000000e+02, 3.926250000000e+02
BarnesHut Octupole 5, 510, 14, 4.192158333333e+01, 1.474520254684e-03, 4.171500000000e+01, 4.222700000000e+01
BarnesHut Monopole 0.2, 42028, 10, 5.252053250000e+03, 3.427554795984e+01, 5.223906000000e+03, 5.285426000000e+03
BarnesHut Monopole 0.5, 4384, 10, 5.474437500000e+02, 1.412964921910e-01, 5.458320000000e+02, 5.494970000000e+02
BarnesHut build Sequential, 1398, 10, 1.736518750000e+02, 3.784387949231e-01, 1.715950000000e+02, 1.758270000000e+02
BarnesHut build ThreadPool, 2157, 10, 2.679668750000e+02, 2.245294232422e+00, 2.630460000000e+02, 2.759430000000e+02
BarnesHut build Tbb, 1363, 10, 1.690462500000e+02, 2.219747054688e+00, 1.591650000000e+02, 1.730240000000e+02
HardSphereSolver bounce, 508, 41, 1.302482051282e+01, 6.812737908764e-05, 1.291600000000e+01, 1.313400000000e+01
HardSphereSolver merge, 503, 36, 1.481735294118e+01, 1.199239772033e-02, 1.407500000000e+01, 1.556500000000e+01
std::map 10, 500, 10311, 4.802686972548e-02, 5.453347057414e-12, 4.800000000000e-02, 5.300000000000e-02
Sph::Map 10, 500, 10378, 4.767386276022e-02, 8.181533531036e-11, 4.400000000000e-02, 5.700000000000e-02
std::map 100, 500, 7187, 6.905400139179e-02, 2.686926042266e-10, 6.700000000000e-02, 1.160000000000e-01
Sph::Map 100, 500, 5805, 8.566465621231e-02, 1.765278638513e-09, 8.300000000000e-02, 1.850000000000e-01
std::map 1000, 500, 2415, 2.067252382926e-01, 4.883975320650e-08, 1.990000000000e-01, 3.530000000000e-01
Sph::Map 1000, 500, 4209, 1.183187544569e-01, 2.107227580942e-10, 1.170000000000e-01, 1.570000000000e-01
std::map 10000, 500, 1264, 3.958058637084e-01, 3.800872391894e-09, 3.910000000000e-01, 4.210000000000e-01
Sph::Map 10000, 500, 1478, 3.383401084011e-01, 5.679519825807e-09, 3.340000000000e-01, 3.640000000000e-01
SymmetricSolver simple, 4290, 10, 5.205790000000e+02, 3.177473749965e-01, 5.184130000000e+02, 5.222890000000e+02
AsymmetricSolver simple, 2687, 10, 3.357821250000e+02, 3.134034511713e-01, 3.339690000000e+02, 3.384430000000e+02
EnergyConservingSolver simple, 113258, 10, 5.860497500000e+02, 5.172962977343e+01, 5.576830000000e+02, 6.175510000000e+02
GravitySolver simple, 17165, 10, 2.141774625000e+03, 7.851263662323e+01, 2.110218000000e+03, 2.193570000000e+03
EulerExplicit N=1e5, 1777, 10, 2.220588750000e+02, 9.022045117217e-02, 2.209090000000e+02, 2.238160000000e+02
LeapFrog N=1e5, 1778, 10, 2.220017500000e+02, 7.616746093572e-02, 2.201210000000e+02, 2.227890000000e+02
PredictorCorrector N=1e5, 1588, 10, 1.984885000000e+02, 6.020543749946e-02, 1.975430000000e+02, 1.999270000000e+02
EulerExplicit N=1e6, 25013, 10, 3.125236375000e+03, 2.366295474814e+01, 3.111256000000e+03, 3.154801000000e+03
LeapFrog N=1e6, 23919, 10, 2.988787250000e+03, 5.260261210613e+00, 2.979339000000e+03, 3.000565000000e+03
PredictorCorrector N=1e6, 1562, 10, 1.952098750000e+02, 9.989791992120e-02, 1.940530000000e+02, 1.973060000000e+02
