Finder run KdTree, 516, 33, 1.664909677419e+01, 3.064888107147e-02, 1.627600000000e+01, 2.197300000000e+01
Finder run UniformGrid, 504, 62, 8.402233333333e+00, 3.998853703730e-05, 8.344000000000e+00, 8.589000000000e+00
Finder run BruteForce, 500, 259, 1.946700389105e+00, 1.140031339796e-06, 1.923000000000e+00, 2.008000000000e+00
Finder build KdTree Sequential, 819, 10, 1.019633750000e+02, 7.386713417964e-01, 9.789000000000e+01, 1.068240000000e+02
Finder build KdTree ThreadPool, 1356, 10, 1.691216250000e+02, 1.369168834180e+01, 1.631360000000e+02, 1.966080000000e+02
Finder build KdTree Tbb, 590, 10, 7.331662500000e+01, 3.839090429688e-02, 7.234500000000e+01, 7.407300000000e+01
LutKernel sequential, 500, 5189, 9.590399074610e-02, 1.701477053704e-09, 8.800000000000e-02, 1.090000000000e-01
LutKernel random, 500, 1553, 3.218774983881e-01, 1.590401928290e-08, 3.160000000000e-01, 3.520000000000e-01
BruteForceGravity, 1325, 10, 1.657117500000e+02, 1.105939605469e+01, 1.408270000000e+02, 1.694000000000e+02
BarnesHut Octupole 0.2, 63881, 10, 7.983953500000e+03, 3.357941353228e+01, 7.954990000000e+03, 8.007376000000e+03
BarnesHut Octupole 0.5, 7781, 10, 9.715228750000e+02, 1.279591357394e+00, 9.687850000000e+02, 9.780600000000e+02
BarnesHut Octupole 0.8, 2947, 10, 3.671700000000e+02, 1.207018375004e+00, 3.646820000000e+02, 3.748480000000e+02
BarnesHut Octupole 5, 520, 16, 3.649792857143e+01, 4.198108600804e-04, 3.631600000000e+01, 3.658800000000e+01
BarnesHut Monopole 0.2, 42727, 10, 5.338885000000e+03, 1.924602115620e+01, 5.316713000000e+03, 5.357503000000e+03
BarnesHut Monopole 0.5, 4504, 10, 5.616706250000e+02, 3.258133730487e-01, 5.597490000000e+02, 5.645720000000e+02
BarnesHut build Sequential, 1612, 10, 1.994088750000e+02, 1.462908232422e+00, 1.926800000000e+02, 2.034210000000e+02
BarnesHut build ThreadPool, 2075, 10, 2.572067500000e+02, 1.183705992189e+00, 2.520660000000e+02, 2.627670000000e+02
BarnesHut build Tbb, 1505, 10, 1.860572500000e+02, 3.175212109363e-01, 1.825840000000e+02, 1.879340000000e+02
HardSphereSolver bounce, 508, 43, 1.240946341463e+01, 2.235694200592e-04, 1.229900000000e+01, 1.269600000000e+01
HardSphereSolver merge, 505, 38, 1.404330555556e+01, 9.729502807787e-03, 1.332300000000e+01, 1.484000000000e+01
std::map 10, 500, 11063, 4.485019437664e-02, 6.581980976718e-11, 4.400000000000e-02, 8.600000000000e-02
Sph::Map 10, 500, 11013, 4.505394605395e-02, 6.943095329529e-11, 4.400000000000e-02, 8.000000000000e-02
std::map 100, 500, 7144, 6.948795855503e-02, 1.955856405277e-10, 6.800000000000e-02, 9.700000000000e-02
Sph::Map 100, 500, 5956, 8.341400739000e-02, 1.027823767256e-09, 8.100000000000e-02, 2.480000000000e-01
std::map 1000, 500, 2469, 2.021641670045e-01, 3.984799618216e-07, 1.940000000000e-01, 1.732000000000e+00
Sph::Map 1000, 500, 4175, 1.192973879703e-01, 1.165730119283e-09, 1.170000000000e-01, 1.520000000000e-01
std::map 10000, 500, 1267, 3.949802371541e-01, 2.997235134361e-08, 3.850000000000e-01, 4.360000000000e-01
Sph::Map 10000, 500, 1470, 3.401151226158e-01, 5.041964464381e-08, 3.330000000000e-01, 6.200000000000e-01
SymmetricSolver simple, 4612, 10, 5.498123750000e+02, 1.019922252793e+02, 5.170920000000e+02, 5.952190000000e+02
AsymmetricSolver simple, 2910, 10, 3.588000000000e+02, 7.753094687505e-01, 3.560170000000e+02, 3.634460000000e+02
EnergyConservingSolver simple, 6543, 10, 7.897665000000e+02, 1.362930037497e+01, 7.754260000000e+02, 8.023220000000e+02
GravitySolver simple, 16166, 10, 2.016576500000e+03, 4.360561187379e+00, 2.004144000000e+03, 2.025481000000e+03
EulerExplicit N=1e5, 1683, 10, 2.104216250000e+02, 1.009492167977e-01, 2.095570000000e+02, 2.123270000000e+02
LeapFrog N=1e5, 1604, 10, 2.003015000000e+02, 4.706406249898e-02, 1.996570000000e+02, 2.015400000000e+02
PredictorCorrector N=1e5, 1497, 10, 1.871767500000e+02, 5.364227343762e-02, 1.862530000000e+02, 1.881990000000e+02
EulerExplicit N=1e6, 23699, 10, 2.958183500000e+03, 7.767839218723e+00, 2.952384000000e+03, 2.977365000000e+03
LeapFrog N=1e6, 22412, 10, 2.800139750000e+03, 8.813989835675e+00, 2.788716000000e+03, 2.812112000000e+03
PredictorCorrector N=1e6, 1519, 10, 1.898355000000e+02, 1.285296874994e-02, 1.891830000000e+02, 1.903120000000e+02
