Finder run KdTree, 503, 32, 1.679613333333e+01, 8.098371851910e-04, 1.651100000000e+01, 1.724800000000e+01
Finder run UniformGrid, 501, 59, 8.803052631579e+00, 1.379306993256e-04, 8.643000000000e+00, 9.037000000000e+00
Finder run BruteForce, 500, 257, 1.963984313725e+00, 3.828711068898e-06, 1.919000000000e+00, 2.097000000000e+00
Finder build KdTree Sequential, 858, 10, 1.067117500000e+02, 1.619092523438e+00, 1.034860000000e+02, 1.139050000000e+02
Finder build KdTree ThreadPool, 1424, 10, 1.775095000000e+02, 2.129628812500e+00, 1.743860000000e+02, 1.865200000000e+02
Finder build KdTree Tbb, 607, 10, 7.548187500000e+01, 7.444854492178e-02, 7.459800000000e+01, 7.657600000000e+01
LutKernel sequential, 500, 5056, 9.814068064900e-02, 2.031473639771e-10, 9.800000000000e-02, 1.310000000000e-01
LutKernel random, 500, 1466, 3.410471311475e-01, 3.366878620347e-07, 3.260000000000e-01, 6.660000000000e-01
BruteForceGravity, 1203, 10, 1.504816250000e+02, 3.867294796680e+01, 1.149600000000e+02, 1.699120000000e+02
BarnesHut Octupole 0.2, 68889, 10, 8.609785625000e+03, 6.148312962241e+01, 8.584753000000e+03, 8.657222000000e+03
BarnesHut Octupole 0.5, 8375, 10, 1.045577500000e+03, 7.217564375314e-01, 1.042854000000e+03, 1.051102000000e+03
BarnesHut Octupole 0.8, 3161, 10, 3.937990000000e+02, 1.729425624981e-01, 3.929060000000e+02, 3.965490000000e+02
BarnesHut Octupole 5, 521, 14, 4.256191666667e+01, 3.739034143507e-03, 4.235900000000e+01, 4.315000000000e+01
BarnesHut Monopole 0.2, 42645, 10, 5.329231125000e+03, 4.706334801391e+01, 5.294227000000e+03, 5.358614000000e+03
BarnesHut Monopole 0.5, 4401, 10, 5.488552500000e+02, 4.208786717936e-02, 5.478800000000e+02, 5.495110000000e+02
BarnesHut build Sequential, 1613, 10, 2.000911250000e+02, 9.547621699230e-01, 1.945720000000e+02, 2.039550000000e+02
BarnesHut build ThreadPool, 2206, 10, 2.739013750000e+02, 5.510148730500e-01, 2.708130000000e+02, 2.774100000000e+02
std::map 10, 500, 10300, 4.804894154205e-02, 2.713216321020e-11, 4.800000000000e-02, 8.400000000000e-02
Sph::Map 10, 500, 10307, 4.804522076662e-02, 1.347477499879e-11, 4.800000000000e-02, 5.700000000000e-02
std::map 100, 500, 5395, 9.218134618951e-02, 3.239753114281e-10, 9.000000000000e-02, 1.130000000000e-01
Sph::Map 100, 500, 6586, 7.528462940461e-02, 6.123788483684e-11, 7.400000000000e-02, 8.300000000000e-02
std::map 1000, 500, 2322, 2.150271551724e-01, 3.980991606805e-09, 2.080000000000e-01, 2.550000000000e-01
Sph::Map 1000, 500, 4356, 1.143102893891e-01, 2.620086041144e-09, 1.090000000000e-01, 1.270000000000e-01
std::map 10000, 500, 1158, 4.320086505190e-01, 9.203367528505e-08, 4.070000000000e-01, 4.740000000000e-01
Sph::Map 10000, 500, 1474, 3.391385869565e-01, 2.078090306256e-08, 3.300000000000e-01, 3.780000000000e-01
SymmetricSolver simple, 5560, 10, 6.735270000000e+02, 7.958643343765e+00, 6.646790000000e+02, 6.864540000000e+02
AsymmetricSolver simple, 3384, 10, 4.204253750000e+02, 1.513318935558e+00, 4.126530000000e+02, 4.251650000000e+02
EnergyConservingSolver simple, 6784, 10, 8.077065000000e+02, 7.287117418752e+01, 7.923740000000e+02, 8.703940000000e+02
GravitySolver simple, 17282, 10, 2.158695250000e+03, 9.707871710765e+00, 2.147750000000e+03, 2.179105000000e+03
