Finder run KdTree, 502, 32, 1.673420000000e+01, 3.296208888874e-04, 1.657100000000e+01, 1.692700000000e+01
Finder run UniformGrid, 506, 61, 8.575389830508e+00, 5.443149494390e-05, 8.511000000000e+00, 8.817000000000e+00
Finder run BruteForce, 501, 257, 1.965717647059e+00, 1.645454372732e-06, 1.942000000000e+00, 2.069000000000e+00
Finder build KdTree Sequential, 823, 10, 1.022747500000e+02, 2.088873046873e-01, 9.986300000000e+01, 1.037490000000e+02
Finder build KdTree ThreadPool, 1411, 10, 1.759987500000e+02, 4.066592023438e+00, 1.702130000000e+02, 1.878990000000e+02
Finder build KdTree Tbb, 518, 15, 3.955953846154e+01, 2.421308593536e-01, 3.715900000000e+01, 4.306900000000e+01
LutKernel sequential, 500, 5134, 9.679520654716e-02, 9.041036842879e-10, 9.200000000000e-02, 1.110000000000e-01
LutKernel random, 500, 1527, 3.274131147541e-01, 2.067475956184e-08, 3.210000000000e-01, 3.680000000000e-01
BruteForceGravity, 1288, 10, 1.611021250000e+02, 1.361046335742e+01, 1.430350000000e+02, 1.697500000000e+02
BarnesHut Octupole 0.2, 64215, 10, 8.025453500000e+03, 4.110346490424e+01, 8.004193000000e+03, 8.057107000000e+03
BarnesHut Octupole 0.5, 7812, 10, 9.754026250000e+02, 5.766044980410e-01, 9.727160000000e+02, 9.798000000000e+02
BarnesHut Octupole 0.8, 2953, 10, 3.680231250000e+02, 7.154260742391e-02, 3.671980000000e+02, 3.698820000000e+02
BarnesHut Octupole 5, 521, 16, 3.667428571429e+01, 6.027492711545e-04, 3.646000000000e+01, 3.680400000000e+01
BarnesHut Monopole 0.2, 43130, 10, 5.390056125000e+03, 1.392957495106e+01, 5.379705000000e+03, 5.411109000000e+03
BarnesHut Monopole 0.5, 4494, 10, 5.606787500000e+02, 3.076253671825e-01, 5.589340000000e+02, 5.634170000000e+02
BarnesHut build Sequential, 1298, 10, 1.613882500000e+02, 6.252318671882e-01, 1.583450000000e+02, 1.665900000000e+02
BarnesHut build ThreadPool, 2084, 10, 2.589770000000e+02, 3.251402500002e+00, 2.534000000000e+02, 2.709910000000e+02
BarnesHut build Tbb, 989, 10, 1.220367500000e+02, 1.824100859376e-01, 1.205550000000e+02, 1.237350000000e+02
HardSphereSolver bounce, 507, 41, 1.299928205128e+01, 9.015509364656e-05, 1.287600000000e+01, 1.315400000000e+01
HardSphereSolver merge, 508, 37, 1.451971428571e+01, 1.438201562682e-02, 1.342300000000e+01, 1.551000000000e+01
std::map 10, 500, 10943, 4.529046705055e-02, 1.139872259196e-10, 4.500000000000e-02, 9.800000000000e-02
Sph::Map 10, 500, 5799, 8.576022080387e-02, 2.423102533573e-07, 4.500000000000e-02, 2.470000000000e-01
std::map 100, 500, 6540, 7.593943101866e-02, 8.875335271345e-10, 7.400000000000e-02, 1.520000000000e-01
Sph::Map 100, 500, 3402, 1.465329411765e-01, 2.462963936492e-07, 8.000000000000e-02, 2.920000000000e-01
std::map 1000, 500, 2607, 1.914142034549e-01, 1.094132050413e-08, 1.830000000000e-01, 3.210000000000e-01
Sph::Map 1000, 500, 4334, 1.149118190212e-01, 2.704967791462e-08, 1.080000000000e-01, 2.600000000000e-01
std::map 10000, 500, 1301, 3.844588144727e-01, 7.517510454051e-08, 3.780000000000e-01, 5.830000000000e-01
Sph::Map 10000, 500, 1356, 3.688648449040e-01, 3.397573937953e-08, 3.570000000000e-01, 3.970000000000e-01
SymmetricSolver simple, 5607, 10, 6.844932500000e+02, 8.149837429672e+00, 6.734350000000e+02, 7.030540000000e+02
AsymmetricSolver simple, 2808, 10, 3.491953750000e+02, 4.524761230496e-01, 3.454590000000e+02, 3.515080000000e+02
EnergyConservingSolver simple, 5128, 10, 6.105957500000e+02, 2.054512929695e+00, 6.047390000000e+02, 6.158120000000e+02
GravitySolver simple, 16004, 10, 1.998314500000e+03, 4.489801621879e+01, 1.976568000000e+03, 2.040409000000e+03
EulerExplicit N=1e5, 1657, 10, 2.055606250000e+02, 1.207363730464e-01, 2.044290000000e+02, 2.070700000000e+02
LeapFrog N=1e5, 1604, 10, 1.997547500000e+02, 1.904467734375e-01, 1.979300000000e+02, 2.016460000000e+02
PredictorCorrector N=1e5, 1499, 10, 1.873673750000e+02, 1.893059179656e-02, 1.869240000000e+02, 1.880950000000e+02
EulerExplicit N=1e6, 23684, 10, 2.958683125000e+03, 4.717309982283e+00, 2.947652000000e+03, 2.967005000000e+03
LeapFrog N=1e6, 22373, 10, 2.795494000000e+03, 1.942344515643e+01, 2.782222000000e+03, 2.818394000000e+03
PredictorCorrector N=1e6, 1500, 10, 1.875692500000e+02, 8.426877343663e-02, 1.865420000000e+02, 1.886530000000e+02
