Finder run KdTree, 501, 32, 1.673023333333e+01, 1.782104074077e-04, 1.664300000000e+01, 1.693600000000e+01
Finder run UniformGrid, 505, 61, 8.566677966102e+00, 6.729930518621e-05, 8.467000000000e+00, 8.812000000000e+00
Finder run BruteForce, 500, 258, 1.954582031250e+00, 3.013004720215e-06, 1.925000000000e+00, 2.052000000000e+00
Finder build KdTree Sequential, 863, 10, 1.072388750000e+02, 2.413438261724e-01, 1.047140000000e+02, 1.089830000000e+02
Finder build KdTree ThreadPool, 1424, 10, 1.775182500000e+02, 7.293755085938e+00, 1.699360000000e+02, 1.957990000000e+02
Finder build KdTree Tbb, 635, 10, 7.900862500000e+01, 1.869398730471e-01, 7.712500000000e+01, 8.145100000000e+01
LutKernel sequential, 500, 5292, 9.393610586011e-02, 1.135230497908e-09, 9.200000000000e-02, 1.060000000000e-01
LutKernel random, 500, 1506, 3.320212765957e-01, 3.580050678301e-08, 3.220000000000e-01, 3.590000000000e-01
BruteForceGravity, 1328, 10, 1.660597500000e+02, 4.517444054687e+00, 1.506290000000e+02, 1.700060000000e+02
BarnesHut Octupole 0.2, 64384, 10, 8.046825875000e+03, 3.331347332709e+01, 8.013156000000e+03, 8.064454000000e+03
BarnesHut Octupole 0.5, 7917, 10, 9.886656250000e+02, 3.928634042823e-01, 9.848730000000e+02, 9.901730000000e+02
BarnesHut Octupole 0.8, 2957, 10, 3.685861250000e+02, 2.106266699266e-01, 3.671500000000e+02, 3.711060000000e+02
BarnesHut Octupole 5, 526, 16, 3.692071428571e+01, 4.413483965030e-03, 3.664200000000e+01, 3.764100000000e+01
BarnesHut Monopole 0.2, 42778, 10, 5.346081125000e+03, 9.448921148293e+01, 5.284885000000e+03, 5.383996000000e+03
BarnesHut Monopole 0.5, 4641, 10, 5.791963750000e+02, 1.488436230429e-01, 5.777370000000e+02, 5.805770000000e+02
BarnesHut build Sequential, 1400, 10, 1.736722500000e+02, 6.688771171866e-01, 1.704010000000e+02, 1.773430000000e+02
BarnesHut build ThreadPool, 2009, 10, 2.496552500000e+02, 7.667867734363e-01, 2.465610000000e+02, 2.549090000000e+02
BarnesHut build Tbb, 1372, 10, 1.701010000000e+02, 1.871701250016e-01, 1.676090000000e+02, 1.712560000000e+02
HardSphereSolver bounce, 505, 41, 1.297164102564e+01, 1.143214821567e-04, 1.281500000000e+01, 1.311000000000e+01
HardSphereSolver merge, 500, 37, 1.430697142857e+01, 1.024005303790e-02, 1.344500000000e+01, 1.531800000000e+01
std::map 10, 500, 10931, 4.536078323726e-02, 1.005536328294e-10, 4.500000000000e-02, 7.400000000000e-02
Sph::Map 10, 500, 10895, 4.543532543836e-02, 1.307771816717e-10, 4.500000000000e-02, 8.400000000000e-02
std::map 100, 500, 6756, 7.350236896653e-02, 4.885174067432e-10, 7.100000000000e-02, 8.900000000000e-02
Sph::Map 100, 500, 7595, 6.539852495720e-02, 4.561387515836e-10, 6.400000000000e-02, 9.300000000000e-02
std::map 1000, 500, 2449, 2.038475684512e-01, 8.455537414988e-09, 1.990000000000e-01, 2.280000000000e-01
Sph::Map 1000, 500, 4255, 1.170529038326e-01, 2.383518088587e-09, 1.130000000000e-01, 1.620000000000e-01
std::map 10000, 500, 1167, 4.287939914163e-01, 7.740098947541e-08, 4.170000000000e-01, 4.620000000000e-01
Sph::Map 10000, 500, 1368, 3.656449487555e-01, 4.700368076698e-08, 3.550000000000e-01, 4.000000000000e-01
SymmetricSolver simple, 6659, 10, 8.150997500000e+02, 1.889230492161e+00, 8.096350000000e+02, 8.214600000000e+02
AsymmetricSolver simple, 4050, 10, 5.057827500000e+02, 4.041550398440e+00, 4.963860000000e+02, 5.140070000000e+02
EnergyConservingSolver simple, 16233, 10, 1.022433250000e+03, 2.960001192968e+01, 1.002863000000e+03, 1.057443000000e+03
GravitySolver simple, 16920, 10, 2.111353125000e+03, 1.915653023263e+01, 2.087776000000e+03, 2.133312000000e+03
EulerExplicit N=1e5, 1728, 10, 2.158405000000e+02, 1.215112812488e-01, 2.147930000000e+02, 2.182420000000e+02
LeapFrog N=1e5, 1667, 10, 2.078082500000e+02, 1.246265859390e-01, 2.062340000000e+02, 2.095760000000e+02
PredictorCorrector N=1e5, 1591, 10, 1.985825000000e+02, 1.455118124995e-01, 1.974210000000e+02, 2.004410000000e+02
EulerExplicit N=1e6, 24532, 10, 3.064434750000e+03, 1.476675217729e+02, 3.026340000000e+03, 3.116606000000e+03
LeapFrog N=1e6, 22780, 10, 2.845824500000e+03, 5.141696090624e+01, 2.818927000000e+03, 2.886577000000e+03
PredictorCorrector N=1e6, 1544, 10, 1.930628750000e+02, 2.322487636720e-01, 1.914780000000e+02, 1.954940000000e+02
