Finder run KdTree, 503, 32, 1.677370000000e+01, 6.594981111107e-04, 1.661000000000e+01, 1.721000000000e+01
Finder run UniformGrid, 503, 61, 8.523186440678e+00, 8.598188714579e-05, 8.435000000000e+00, 8.792000000000e+00
Finder run BruteForce, 501, 257, 1.967713725490e+00, 1.013734747538e-06, 1.955000000000e+00, 2.092000000000e+00
Finder build KdTree Sequential, 956, 10, 1.189606250000e+02, 3.447424042977e-01, 1.159680000000e+02, 1.206150000000e+02
Finder build KdTree ThreadPool, 1371, 10, 1.710867500000e+02, 8.712266492969e+01, 1.584190000000e+02, 2.406980000000e+02
Finder build KdTree Tbb, 582, 10, 7.255987500000e+01, 6.731898242174e-02, 7.186200000000e+01, 7.415000000000e+01
LutKernel sequential, 500, 5155, 9.649699204347e-02, 1.147882871469e-09, 9.200000000000e-02, 1.100000000000e-01
LutKernel random, 500, 1500, 3.333451268358e-01, 5.788606857508e-08, 3.210000000000e-01, 4.480000000000e-01
BruteForceGravity, 1304, 10, 1.630165000000e+02, 6.855286343750e+00, 1.474440000000e+02, 1.695430000000e+02
BarnesHut Octupole 0.2, 64264, 10, 8.032252500000e+03, 2.365031903144e+01, 8.012377000000e+03, 8.056235000000e+03
BarnesHut Octupole 0.5, 7814, 10, 9.759585000000e+02, 2.870847781262e+00, 9.706220000000e+02, 9.840050000000e+02
BarnesHut Octupole 0.8, 2997, 10, 3.737912500000e+02, 7.253711719022e-02, 3.724750000000e+02, 3.750560000000e+02
BarnesHut Octupole 5, 527, 16, 3.710621428571e+01, 1.696950801780e-03, 3.688000000000e+01, 3.742400000000e+01
BarnesHut Monopole 0.2, 43602, 10, 5.449481250000e+03, 6.654793421132e+01, 5.421050000000e+03, 5.490465000000e+03
BarnesHut Monopole 0.5, 4583, 10, 5.720576250000e+02, 3.160139873049e+00, 5.672340000000e+02, 5.847630000000e+02
BarnesHut build Sequential, 1353, 10, 1.678961250000e+02, 1.266559076173e+00, 1.628090000000e+02, 1.720900000000e+02
BarnesHut build ThreadPool, 2000, 10, 2.488173750000e+02, 7.339484841796e+00, 2.334100000000e+02, 2.542750000000e+02
BarnesHut build Tbb, 1292, 10, 1.603260000000e+02, 2.461923437504e-01, 1.586150000000e+02, 1.627570000000e+02
HardSphereSolver bounce, 505, 41, 1.294715384615e+01, 1.369250998854e-04, 1.278900000000e+01, 1.310700000000e+01
HardSphereSolver merge, 503, 37, 1.438597142857e+01, 1.166943589505e-02, 1.350700000000e+01, 1.535200000000e+01
std::map 10, 500, 10693, 4.625694509401e-02, 2.185102558989e-10, 4.500000000000e-02, 5.600000000000e-02
Sph::Map 10, 500, 10669, 4.632445861067e-02, 2.508597494556e-10, 4.500000000000e-02, 6.800000000000e-02
std::map 100, 500, 6658, 7.461763822115e-02, 1.082694359022e-09, 7.100000000000e-02, 1.030000000000e-01
Sph::Map 100, 500, 5539, 8.978128950695e-02, 2.997946224568e-09, 8.300000000000e-02, 1.440000000000e-01
std::map 1000, 500, 2587, 1.929384912959e-01, 1.726928083321e-08, 1.850000000000e-01, 2.830000000000e-01
Sph::Map 1000, 500, 3855, 1.292486374254e-01, 7.043281642596e-09, 1.210000000000e-01, 1.750000000000e-01
std::map 10000, 500, 1259, 3.973659506762e-01, 1.469116860867e-07, 3.820000000000e-01, 4.640000000000e-01
Sph::Map 10000, 500, 1411, 3.545031937544e-01, 9.995775692309e-08, 3.420000000000e-01, 3.990000000000e-01
SymmetricSolver simple, 5561, 10, 6.792993750000e+02, 1.541785685542e+00, 6.730980000000e+02, 6.860840000000e+02
AsymmetricSolver simple, 3313, 10, 4.124256250000e+02, 2.117081966793e+00, 4.067000000000e+02, 4.201260000000e+02
EnergyConservingSolver simple, 7225, 10, 8.787622500000e+02, 7.352576929698e+00, 8.685080000000e+02, 8.890030000000e+02
GravitySolver simple, 16028, 10, 2.002150125000e+03, 1.077702920110e+01, 1.988425000000e+03, 2.018039000000e+03
EulerExplicit N=1e5, 1704, 10, 2.120243750000e+02, 1.349216542976e-01, 2.109630000000e+02, 2.142700000000e+02
LeapFrog N=1e5, 1648, 10, 2.055282500000e+02, 1.230814921873e-01, 2.039650000000e+02, 2.068190000000e+02
PredictorCorrector N=1e5, 1509, 10, 1.874000000000e+02, 6.736981875010e-01, 1.846780000000e+02, 1.918070000000e+02
EulerExplicit N=1e6, 24063, 10, 3.006927500000e+03, 7.884653312387e+00, 2.997916000000e+03, 3.021952000000e+03
LeapFrog N=1e6, 22789, 10, 2.847808000000e+03, 1.475295400003e+01, 2.835827000000e+03, 2.867353000000e+03
PredictorCorrector N=1e6, 1494, 10, 1.868246250000e+02, 9.592818554665e-02, 1.858750000000e+02, 1.885270000000e+02
