Finder run KdTree, 515, 31, 1.775913793103e+01, 2.126286498010e-02, 1.659800000000e+01, 2.146600000000e+01
Finder run UniformGrid, 506, 62, 8.440416666667e+00, 7.892960648140e-05, 8.348000000000e+00, 8.637000000000e+00
Finder run BruteForce, 501, 258, 1.957500000000e+00, 1.980010986327e-06, 1.931000000000e+00, 2.083000000000e+00
Finder build KdTree Sequential, 819, 10, 1.019618750000e+02, 3.511091074217e-01, 9.910500000000e+01, 1.038870000000e+02
Finder build KdTree ThreadPool, 1416, 10, 1.764785000000e+02, 4.965347718751e+00, 1.715390000000e+02, 1.925010000000e+02
Finder build KdTree Tbb, 546, 15, 4.170000000000e+01, 1.495916094675e-01, 3.950900000000e+01, 4.410300000000e+01
LutKernel sequential, 500, 5347, 9.298129092610e-02, 1.004168993850e-09, 9.100000000000e-02, 1.360000000000e-01
LutKernel random, 500, 1535, 3.258010437052e-01, 1.858070836049e-08, 3.170000000000e-01, 3.600000000000e-01
BruteForceGravity, 1292, 10, 1.615707500000e+02, 1.284384758594e+01, 1.439020000000e+02, 1.695400000000e+02
BarnesHut Octupole 0.2, 64195, 10, 8.022823500000e+03, 2.541477528745e+02, 7.954655000000e+03, 8.077560000000e+03
BarnesHut Octupole 0.5, 7793, 10, 9.727332500000e+02, 2.195629835915e+00, 9.685910000000e+02, 9.818180000000e+02
BarnesHut Octupole 0.8, 2938, 10, 3.658781250000e+02, 5.435435742038e-02, 3.649750000000e+02, 3.666470000000e+02
BarnesHut Octupole 5, 523, 16, 3.668150000000e+01, 8.104068877547e-03, 3.617400000000e+01, 3.738900000000e+01
BarnesHut Monopole 0.2, 42671, 10, 5.332570250000e+03, 3.729984242981e+01, 5.311239000000e+03, 5.358320000000e+03
BarnesHut Monopole 0.5, 4495, 10, 5.605140000000e+02, 3.828212501685e-02, 5.592940000000e+02, 5.611190000000e+02
BarnesHut build Sequential, 1351, 10, 1.668493750000e+02, 8.321594667964e-01, 1.640360000000e+02, 1.707460000000e+02
BarnesHut build ThreadPool, 1979, 10, 2.455096250000e+02, 9.556455292968e-01, 2.399440000000e+02, 2.495970000000e+02
BarnesHut build Tbb, 985, 10, 1.210917500000e+02, 2.860977343721e-02, 1.202690000000e+02, 1.216360000000e+02
HardSphereSolver bounce, 500, 42, 1.251250000000e+01, 1.111949999995e-04, 1.235200000000e+01, 1.266500000000e+01
HardSphereSolver merge, 509, 38, 1.415063888889e+01, 1.183318696416e-02, 1.334100000000e+01, 1.505400000000e+01
std::map 10, 500, 10749, 4.604261654416e-02, 1.638684664863e-10, 4.400000000000e-02, 5.200000000000e-02
Sph::Map 10, 500, 10917, 4.526733852497e-02, 8.180403881362e-11, 4.500000000000e-02, 9.200000000000e-02
std::map 100, 500, 6591, 7.536894824708e-02, 2.255465767602e-10, 7.400000000000e-02, 8.300000000000e-02
Sph::Map 100, 500, 6147, 8.085793327909e-02, 5.832727197349e-10, 7.800000000000e-02, 1.050000000000e-01
std::map 1000, 500, 2619, 1.906083301490e-01, 3.331373114327e-09, 1.860000000000e-01, 2.110000000000e-01
Sph::Map 1000, 500, 4357, 1.142948335247e-01, 1.005241412310e-09, 1.120000000000e-01, 1.540000000000e-01
std::map 10000, 500, 1314, 3.806867378049e-01, 1.630949376841e-08, 3.730000000000e-01, 4.070000000000e-01
Sph::Map 10000, 500, 1350, 3.705430267062e-01, 3.106289152988e-08, 3.580000000000e-01, 4.090000000000e-01
SymmetricSolver simple, 4579, 10, 5.435900000000e+02, 7.903032187605e-01, 5.405490000000e+02, 5.478010000000e+02
AsymmetricSolver simple, 2771, 10, 3.414966250000e+02, 6.582088417999e-01, 3.372930000000e+02, 3.457150000000e+02
EnergyConservingSolver simple, 5032, 10, 5.978463750000e+02, 2.247907279307e+00, 5.906870000000e+02, 6.030870000000e+02
GravitySolver simple, 15933, 10, 1.990610125000e+03, 3.731502513634e+00, 1.980005000000e+03, 1.999395000000e+03
EulerExplicit N=1e5, 1679, 10, 2.099176250000e+02, 2.690718554732e-02, 2.091970000000e+02, 2.106190000000e+02
LeapFrog N=1e5, 1634, 10, 2.042503750000e+02, 2.877918554805e-02, 2.033000000000e+02, 2.049710000000e+02
PredictorCorrector N=1e5, 1511, 10, 1.889016250000e+02, 1.242981542973e-01, 1.872830000000e+02, 1.909680000000e+02
EulerExplicit N=1e6, 23918, 10, 2.988150000000e+03, 8.671692031203e+00, 2.978578000000e+03, 3.006376000000e+03
LeapFrog N=1e6, 22433, 10, 2.802833250000e+03, 2.078511680465e+01, 2.783376000000e+03, 2.821763000000e+03
PredictorCorrector N=1e6, 1520, 10, 1.898080000000e+02, 2.609739999989e-01, 1.877240000000e+02, 1.928120000000e+02
