Finder run KdTree, 512, 33, 1.652290322581e+01, 4.176157228666e-04, 1.644400000000e+01, 1.690500000000e+01
Finder run UniformGrid, 507, 62, 8.449950000000e+00, 4.195856944496e-05, 8.397000000000e+00, 8.677000000000e+00
Finder run BruteForce, 500, 259, 1.947217898833e+00, 8.546351597397e-07, 1.924000000000e+00, 2.057000000000e+00
Finder build KdTree Sequential, 828, 10, 1.030856250000e+02, 1.543577480470e-01, 1.005120000000e+02, 1.043950000000e+02
Finder build KdTree ThreadPool, 1384, 10, 1.725573750000e+02, 1.711583696680e+01, 1.659570000000e+02, 2.032220000000e+02
Finder build KdTree Tbb, 609, 10, 7.565187500000e+01, 1.297486386720e-01, 7.390300000000e+01, 7.664000000000e+01
LutKernel sequential, 500, 5335, 9.321038814926e-02, 7.937144473332e-10, 9.200000000000e-02, 1.400000000000e-01
LutKernel random, 500, 1520, 3.290000000000e-01, 4.702550509405e-08, 3.210000000000e-01, 3.820000000000e-01
BruteForceGravity, 1251, 10, 1.563907500000e+02, 1.123645752344e+01, 1.429210000000e+02, 1.688150000000e+02
BarnesHut Octupole 0.2, 64251, 10, 8.029921375000e+03, 1.475411149953e+01, 8.010697000000e+03, 8.043011000000e+03
BarnesHut Octupole 0.5, 7825, 10, 9.767493750000e+02, 1.650769310567e+00, 9.736320000000e+02, 9.858640000000e+02
BarnesHut Octupole 0.8, 2954, 10, 3.678555000000e+02, 3.104121875731e-02, 3.672470000000e+02, 3.687510000000e+02
BarnesHut Octupole 5, 525, 16, 3.671150000000e+01, 4.750436224510e-03, 3.638500000000e+01, 3.740100000000e+01
BarnesHut Monopole 0.2, 42937, 10, 5.365688000000e+03, 4.621342909429e+01, 5.325115000000e+03, 5.395716000000e+03
BarnesHut Monopole 0.5, 4528, 10, 5.646393750000e+02, 2.600949804037e-02, 5.637620000000e+02, 5.652020000000e+02
BarnesHut build Sequential, 1290, 10, 1.592763750000e+02, 1.129030841795e+00, 1.558240000000e+02, 1.640000000000e+02
BarnesHut build ThreadPool, 1932, 10, 2.393675000000e+02, 7.442729687482e-01, 2.356220000000e+02, 2.426030000000e+02
BarnesHut build Tbb, 1341, 10, 1.654476250000e+02, 1.945794667977e-01, 1.637370000000e+02, 1.672400000000e+02
HardSphereSolver bounce, 500, 42, 1.251332500000e+01, 1.237842343748e-04, 1.237300000000e+01, 1.264500000000e+01
HardSphereSolver merge, 510, 38, 1.418491666667e+01, 1.073755304784e-02, 1.341600000000e+01, 1.491100000000e+01
std::map 10, 500, 11009, 4.506395929863e-02, 5.839650185111e-11, 4.500000000000e-02, 1.210000000000e-01
Sph::Map 10, 500, 10994, 4.506804949054e-02, 2.258737939821e-11, 4.500000000000e-02, 7.800000000000e-02
std::map 100, 500, 6614, 7.510919540229e-02, 1.933998745114e-10, 7.400000000000e-02, 1.430000000000e-01
Sph::Map 100, 500, 6207, 8.005076551169e-02, 3.145031685707e-10, 7.800000000000e-02, 8.700000000000e-02
std::map 1000, 500, 2591, 1.926369254538e-01, 1.676390028891e-09, 1.890000000000e-01, 2.590000000000e-01
Sph::Map 1000, 500, 4368, 1.140352725607e-01, 5.703805017494e-10, 1.120000000000e-01, 1.610000000000e-01
std::map 10000, 500, 1317, 3.798577946768e-01, 1.131050476824e-08, 3.740000000000e-01, 4.450000000000e-01
Sph::Map 10000, 500, 1361, 3.676261957322e-01, 1.624582603426e-08, 3.580000000000e-01, 4.050000000000e-01
SymmetricSolver simple, 4697, 10, 5.580027500000e+02, 5.031992734366e-01, 5.559010000000e+02, 5.622130000000e+02
AsymmetricSolver simple, 2928, 10, 3.609658750000e+02, 4.349662949244e-01, 3.579800000000e+02, 3.638730000000e+02
EnergyConservingSolver simple, 6672, 10, 8.063256250000e+02, 1.020598465428e+01, 7.945000000000e+02, 8.201810000000e+02
GravitySolver simple, 15930, 10, 1.988979125000e+03, 4.952683669922e+00, 1.975785000000e+03, 1.995085000000e+03
EulerExplicit N=1e5, 1657, 10, 2.071465000000e+02, 1.777492187503e-01, 2.057350000000e+02, 2.097070000000e+02
LeapFrog N=1e5, 1608, 10, 2.009583750000e+02, 2.448537304645e-02, 2.003060000000e+02, 2.016350000000e+02
PredictorCorrector N=1e5, 1495, 10, 1.868636250000e+02, 5.608421679790e-02, 1.861040000000e+02, 1.883940000000e+02
EulerExplicit N=1e6, 23854, 10, 2.978467250000e+03, 3.102414523484e+00, 2.973311000000e+03, 2.986792000000e+03
LeapFrog N=1e6, 22489, 10, 2.810078375000e+03, 3.435816342128e+00, 2.802507000000e+03, 2.818043000000e+03
PredictorCorrector N=1e6, 1524, 10, 1.905232500000e+02, 5.969914843627e-02, 1.894050000000e+02, 1.917960000000e+02
