Finder run KdTree, 515, 32, 1.716593333333e+01, 7.353319762964e-02, 1.643500000000e+01, 2.467400000000e+01
Finder run UniformGrid, 505, 61, 8.569593220339e+00, 9.884178031813e-05, 8.495000000000e+00, 8.816000000000e+00
Finder run BruteForce, 501, 263, 1.920363984674e+00, 8.152907540448e-07, 1.903000000000e+00, 2.042000000000e+00
Finder build KdTree Sequential, 798, 10, 9.911300000000e+01, 3.011996062500e+00, 9.509900000000e+01, 1.105520000000e+02
Finder build KdTree ThreadPool, 1352, 10, 1.685548750000e+02, 5.376162919922e+00, 1.652780000000e+02, 1.858290000000e+02
Finder build KdTree Tbb, 518, 14, 4.273783333333e+01, 3.183954421297e-01, 3.895100000000e+01, 4.633400000000e+01
LutKernel sequential, 500, 5404, 9.207867456498e-02, 8.320160640038e-10, 9.000000000000e-02, 1.180000000000e-01
LutKernel random, 500, 1529, 3.269089718402e-01, 1.923566035623e-08, 3.190000000000e-01, 3.630000000000e-01
BruteForceGravity, 1257, 10, 1.572321250000e+02, 1.454366560742e+01, 1.454940000000e+02, 1.694850000000e+02
BarnesHut Octupole 0.2, 64183, 10, 8.022405875000e+03, 2.528785273246e+01, 8.006131000000e+03, 8.043423000000e+03
BarnesHut Octupole 0.5, 7839, 10, 9.788267500000e+02, 1.832578742178e+00, 9.748980000000e+02, 9.861360000000e+02
BarnesHut Octupole 0.8, 2943, 10, 3.668943750000e+02, 9.232221679849e-02, 3.657580000000e+02, 3.685800000000e+02
BarnesHut Octupole 5, 517, 16, 3.638514285714e+01, 5.094475218682e-04, 3.621500000000e+01, 3.656300000000e+01
BarnesHut Monopole 0.2, 43408, 10, 5.424228500000e+03, 5.312537199911e+01, 5.399243000000e+03, 5.465401000000e+03
BarnesHut Monopole 0.5, 4546, 10, 5.670752500000e+02, 8.098658593372e-02, 5.654420000000e+02, 5.682080000000e+02
BarnesHut build Sequential, 1304, 10, 1.622002500000e+02, 3.662667421881e-01, 1.595570000000e+02, 1.654720000000e+02
BarnesHut build ThreadPool, 2762, 10, 3.432826250000e+02, 1.698301654293e+00, 3.390930000000e+02, 3.502650000000e+02
BarnesHut build Tbb, 517, 11, 5.644866666667e+01, 1.874241481481e-01, 5.399700000000e+01, 5.802100000000e+01
HardSphereSolver bounce, 506, 41, 1.298079487179e+01, 1.569745949862e-04, 1.273700000000e+01, 1.314100000000e+01
HardSphereSolver merge, 502, 36, 1.479020588235e+01, 1.619185774985e-02, 1.404300000000e+01, 1.752100000000e+01
std::map 10, 500, 10309, 4.803327835452e-02, 8.279679370708e-12, 4.800000000000e-02, 5.400000000000e-02
Sph::Map 10, 500, 10309, 4.803230814010e-02, 7.758716163937e-12, 4.800000000000e-02, 5.500000000000e-02
std::map 100, 500, 6663, 7.451553820748e-02, 8.577269202268e-11, 7.300000000000e-02, 8.100000000000e-02
Sph::Map 100, 500, 6906, 7.196813441484e-02, 1.426404857501e-10, 7.100000000000e-02, 8.300000000000e-02
std::map 1000, 500, 2671, 1.868182840015e-01, 1.087333536438e-08, 1.750000000000e-01, 2.380000000000e-01
Sph::Map 1000, 500, 4851, 1.025984739121e-01, 1.080570056693e-09, 9.900000000000e-02, 1.140000000000e-01
std::map 10000, 500, 1293, 3.868900077459e-01, 5.777973175609e-08, 3.740000000000e-01, 4.500000000000e-01
Sph::Map 10000, 500, 1464, 3.415656634747e-01, 2.773087683578e-08, 3.330000000000e-01, 3.710000000000e-01
SymmetricSolver simple, 4709, 10, 5.551380000000e+02, 2.080444584374e+01, 5.388210000000e+02, 5.730890000000e+02
AsymmetricSolver simple, 3153, 10, 3.908747500000e+02, 5.279653046891e-01, 3.876640000000e+02, 3.939640000000e+02
EnergyConservingSolver simple, 4861, 10, 5.780640000000e+02, 9.254207500053e-01, 5.751730000000e+02, 5.844520000000e+02
GravitySolver simple, 15424, 10, 1.926941000000e+03, 5.470079906227e+00, 1.918092000000e+03, 1.940045000000e+03
EulerExplicit N=1e5, 1630, 10, 2.025400000000e+02, 2.148171875024e-01, 2.009980000000e+02, 2.050140000000e+02
LeapFrog N=1e5, 1572, 10, 1.965280000000e+02, 3.299505937493e-01, 1.946760000000e+02, 1.994210000000e+02
PredictorCorrector N=1e5, 1486, 10, 1.857265000000e+02, 1.303627812495e-01, 1.843630000000e+02, 1.875940000000e+02
EulerExplicit N=1e6, 23135, 10, 2.890222125000e+03, 8.814001919702e+00, 2.881916000000e+03, 2.903351000000e+03
LeapFrog N=1e6, 22348, 10, 2.792572000000e+03, 3.726099937456e+00, 2.782762000000e+03, 2.798765000000e+03
PredictorCorrector N=1e6, 1453, 10, 1.815560000000e+02, 8.113774999947e-02, 1.805000000000e+02, 1.833920000000e+02
