Finder run KdTree, 516, 32, 1.719843333333e+01, 3.214258374074e-02, 1.660900000000e+01, 2.186100000000e+01
Finder run UniformGrid, 503, 60, 8.671551724138e+00, 1.136518532945e-03, 8.463000000000e+00, 1.041400000000e+01
Finder run BruteForce, 501, 258, 1.958906250000e+00, 2.415004730203e-06, 1.928000000000e+00, 2.060000000000e+00
Finder build KdTree Sequential, 850, 10, 1.058675000000e+02, 5.136205000001e-01, 1.009560000000e+02, 1.074040000000e+02
Finder build KdTree ThreadPool, 1452, 10, 1.811637500000e+02, 5.550356898437e+00, 1.725820000000e+02, 1.968780000000e+02
Finder build KdTree Tbb, 632, 10, 7.869437500000e+01, 2.352960917968e-01, 7.636600000000e+01, 8.109000000000e+01
LutKernel sequential, 500, 5303, 9.374929258631e-02, 7.196931425952e-10, 9.200000000000e-02, 1.120000000000e-01
LutKernel random, 500, 1490, 3.357150537634e-01, 2.790748153420e-08, 3.280000000000e-01, 3.720000000000e-01
BruteForceGravity, 1218, 10, 1.523293750000e+02, 1.502862731055e+01, 1.408430000000e+02, 1.690040000000e+02
BarnesHut Octupole 0.2, 64536, 10, 8.065738125000e+03, 7.390306329727e+01, 8.018133000000e+03, 8.099450000000e+03
BarnesHut Octupole 0.5, 8012, 10, 1.000391500000e+03, 6.889887186990e-01, 9.979570000000e+02, 1.005166000000e+03
BarnesHut Octupole 0.8, 2960, 10, 3.688633750000e+02, 1.465560292927e-01, 3.680270000000e+02, 3.715950000000e+02
BarnesHut Octupole 5, 534, 16, 3.752264285714e+01, 3.484853134085e-03, 3.722700000000e+01, 3.797800000000e+01
BarnesHut Monopole 0.2, 42834, 10, 5.353164750000e+03, 2.297301011765e+01, 5.330057000000e+03, 5.376937000000e+03
BarnesHut Monopole 0.5, 4630, 10, 5.776147500000e+02, 6.693760859489e-01, 5.740070000000e+02, 5.820570000000e+02
BarnesHut build Sequential, 1341, 10, 1.663238750000e+02, 8.949556699217e-01, 1.631650000000e+02, 1.700110000000e+02
BarnesHut build ThreadPool, 2029, 10, 2.522217500000e+02, 3.873298117187e+00, 2.444600000000e+02, 2.647880000000e+02
BarnesHut build Tbb, 1359, 10, 1.684447500000e+02, 5.012406484375e-01, 1.644100000000e+02, 1.709320000000e+02
HardSphereSolver bounce, 506, 41, 1.297289743590e+01, 4.997211686140e-05, 1.288000000000e+01, 1.306200000000e+01
HardSphereSolver merge, 512, 37, 1.463385714286e+01, 8.932470437321e-03, 1.396400000000e+01, 1.544400000000e+01
std::map 10, 500, 10309, 4.803560686912e-02, 9.600785849836e-12, 4.800000000000e-02, 5.500000000000e-02
Sph::Map 10, 500, 10568, 4.677295097483e-02, 2.043195686392e-10, 4.500000000000e-02, 6.000000000000e-02
std::map 100, 500, 6958, 7.136874640599e-02, 3.027566824006e-10, 6.900000000000e-02, 1.070000000000e-01
Sph::Map 100, 500, 7329, 6.773877439607e-02, 4.155358795288e-10, 6.600000000000e-02, 1.040000000000e-01
std::map 1000, 500, 2370, 2.106376689189e-01, 1.207312304729e-08, 2.030000000000e-01, 2.550000000000e-01
Sph::Map 1000, 500, 4497, 1.107337041157e-01, 1.343737204967e-09, 1.080000000000e-01, 1.530000000000e-01
std::map 10000, 500, 1167, 4.287879828326e-01, 4.386349482412e-08, 4.190000000000e-01, 4.600000000000e-01
Sph::Map 10000, 500, 1422, 3.517091549296e-01, 3.232438057185e-08, 3.440000000000e-01, 4.170000000000e-01
SymmetricSolver simple, 7352, 10, 8.992820000000e+02, 1.031415687510e+00, 8.940630000000e+02, 9.034990000000e+02
AsymmetricSolver simple, 3243, 10, 4.032557500000e+02, 7.360201796837e-01, 3.984720000000e+02, 4.064250000000e+02
EnergyConservingSolver simple, 6794, 10, 8.178101250000e+02, 8.682433201175e+00, 8.034950000000e+02, 8.302940000000e+02
GravitySolver simple, 16188, 10, 2.022906875000e+03, 3.359913645120e+01, 1.993554000000e+03, 2.047140000000e+03
EulerExplicit N=1e5, 1683, 10, 2.097305000000e+02, 5.041306250041e-02, 2.089860000000e+02, 2.111150000000e+02
LeapFrog N=1e5, 1609, 10, 2.005796250000e+02, 3.652344980474e-01, 1.991230000000e+02, 2.042400000000e+02
PredictorCorrector N=1e5, 1525, 10, 1.900515000000e+02, 2.036220624996e-01, 1.880050000000e+02, 1.926860000000e+02
EulerExplicit N=1e6, 24634, 10, 3.078733375000e+03, 2.620512340451e+01, 3.061979000000e+03, 3.104933000000e+03
LeapFrog N=1e6, 23060, 10, 2.881134750000e+03, 3.679291492095e+00, 2.872794000000e+03, 2.888375000000e+03
PredictorCorrector N=1e6, 1496, 10, 1.870506250000e+02, 8.696265429626e-02, 1.857170000000e+02, 1.886480000000e+02
