Finder run KdTree, 508, 32, 1.695386666667e+01, 3.858127407379e-04, 1.678900000000e+01, 1.713500000000e+01
Finder run UniformGrid, 500, 60, 8.633603448276e+00, 7.202374533589e-05, 8.539000000000e+00, 8.919000000000e+00
Finder run BruteForce, 501, 257, 1.965388235294e+00, 2.503415066629e-06, 1.937000000000e+00, 2.219000000000e+00
Finder build KdTree Sequential, 862, 10, 1.071431250000e+02, 2.658048886719e-01, 1.046630000000e+02, 1.089080000000e+02
Finder build KdTree ThreadPool, 1447, 10, 1.803892500000e+02, 1.446692483594e+01, 1.698220000000e+02, 2.055940000000e+02
Finder build KdTree Tbb, 646, 10, 8.028837500000e+01, 3.448387792967e-01, 7.752000000000e+01, 8.326600000000e+01
LutKernel sequential, 500, 5070, 9.809392265194e-02, 1.416914965365e-10, 9.800000000000e-02, 1.470000000000e-01
LutKernel random, 500, 1516, 3.299247027741e-01, 5.583615716834e-08, 3.200000000000e-01, 3.930000000000e-01
BruteForceGravity, 1231, 10, 1.539530000000e+02, 1.215571678125e+01, 1.411230000000e+02, 1.692190000000e+02
BarnesHut Octupole 0.2, 64293, 10, 8.035370750000e+03, 3.238579296228e+01, 7.999823000000e+03, 8.058723000000e+03
BarnesHut Octupole 0.5, 7835, 10, 9.781180000000e+02, 1.120580312499e+01, 9.730390000000e+02, 1.003070000000e+03
BarnesHut Octupole 0.8, 3013, 10, 3.760866250000e+02, 5.273776904294e+00, 3.681970000000e+02, 3.875610000000e+02
BarnesHut Octupole 5, 530, 16, 3.696814285714e+01, 2.219610787165e-03, 3.677600000000e+01, 3.748200000000e+01
BarnesHut Monopole 0.2, 42860, 10, 5.356294125000e+03, 6.339653582685e+01, 5.332761000000e+03, 5.398053000000e+03
BarnesHut Monopole 0.5, 4675, 10, 5.832625000000e+02, 3.709408750146e-01, 5.812210000000e+02, 5.870620000000e+02
BarnesHut build Sequential, 1395, 10, 1.733863750000e+02, 1.770390292982e-01, 1.719140000000e+02, 1.753230000000e+02
BarnesHut build ThreadPool, 2020, 10, 2.506427500000e+02, 9.484335234365e-01, 2.466160000000e+02, 2.555080000000e+02
BarnesHut build Tbb, 1385, 10, 1.713427500000e+02, 5.715057421871e-01, 1.666690000000e+02, 1.740640000000e+02
HardSphereSolver bounce, 506, 41, 1.298766666667e+01, 9.616874862964e-05, 1.284700000000e+01, 1.312500000000e+01
HardSphereSolver merge, 500, 36, 1.472232352941e+01, 1.224112927437e-02, 1.391400000000e+01, 1.549900000000e+01
std::map 10, 500, 10306, 4.804726319876e-02, 2.778483271748e-11, 4.800000000000e-02, 7.700000000000e-02
Sph::Map 10, 500, 10307, 4.804201843765e-02, 2.435947193362e-11, 4.800000000000e-02, 7.500000000000e-02
std::map 100, 500, 5572, 8.923716337522e-02, 1.556075019934e-10, 8.800000000000e-02, 1.090000000000e-01
Sph::Map 100, 500, 6873, 7.221467035367e-02, 1.537500014454e-09, 6.800000000000e-02, 2.800000000000e-01
std::map 1000, 500, 2573, 1.940303383897e-01, 4.471323794381e-09, 1.880000000000e-01, 2.430000000000e-01
Sph::Map 1000, 500, 4900, 1.015355247040e-01, 6.243462470420e-10, 9.900000000000e-02, 1.220000000000e-01
std::map 10000, 500, 1332, 3.755428571429e-01, 1.733396864760e-08, 3.680000000000e-01, 4.140000000000e-01
Sph::Map 10000, 500, 1508, 3.316686586985e-01, 8.333933275694e-09, 3.260000000000e-01, 3.530000000000e-01
SymmetricSolver simple, 4857, 10, 5.784038750000e+02, 1.141241013684e+00, 5.735840000000e+02, 5.817830000000e+02
AsymmetricSolver simple, 2960, 10, 3.697540000000e+02, 6.798681156248e+00, 3.596460000000e+02, 3.793790000000e+02
EnergyConservingSolver simple, 6277, 10, 7.508421250000e+02, 1.061467223574e+02, 7.216360000000e+02, 8.226060000000e+02
GravitySolver simple, 16238, 10, 2.027384625000e+03, 2.066779262305e+01, 2.016002000000e+03, 2.052560000000e+03
EulerExplicit N=1e5, 1679, 10, 2.098542500000e+02, 8.557429688153e-03, 2.092880000000e+02, 2.101390000000e+02
LeapFrog N=1e5, 1639, 10, 2.048781250000e+02, 2.100765449213e-01, 2.037270000000e+02, 2.080780000000e+02
PredictorCorrector N=1e5, 1537, 10, 1.921565000000e+02, 9.794571874954e-02, 1.903660000000e+02, 1.934860000000e+02
EulerExplicit N=1e6, 23805, 10, 2.972357375000e+03, 2.792614212353e+01, 2.960623000000e+03, 3.007357000000e+03
LeapFrog N=1e6, 22668, 10, 2.832227375000e+03, 4.099915962317e+01, 2.809226000000e+03, 2.864976000000e+03
PredictorCorrector N=1e6, 1504, 10, 1.878785000000e+02, 8.714456250073e-02, 1.871270000000e+02, 1.898750000000e+02
