Finder run KdTree, 509, 32, 1.698536666667e+01, 3.876988518546e-04, 1.683500000000e+01, 1.723900000000e+01
Finder run UniformGrid, 501, 59, 8.795228070175e+00, 2.162296199094e-04, 8.587000000000e+00, 9.089000000000e+00
Finder run BruteForce, 501, 254, 1.989837301587e+00, 4.462913091087e-05, 1.927000000000e+00, 3.370000000000e+00
Finder build KdTree Sequential, 910, 10, 1.133067500000e+02, 1.640989296873e-01, 1.119070000000e+02, 1.158430000000e+02
Finder build KdTree ThreadPool, 1398, 10, 1.741318750000e+02, 3.472853138673e+00, 1.704900000000e+02, 1.875640000000e+02
Finder build KdTree Tbb, 513, 14, 4.240275000000e+01, 1.929358767361e-01, 3.861600000000e+01, 4.423900000000e+01
LutKernel sequential, 500, 5063, 9.813989330173e-02, 2.300702634142e-10, 9.800000000000e-02, 1.360000000000e-01
LutKernel random, 500, 1421, 3.520549682875e-01, 1.463462615456e-08, 3.460000000000e-01, 4.420000000000e-01
BruteForceGravity, 1279, 10, 1.599120000000e+02, 1.586008906250e+01, 1.421280000000e+02, 1.695790000000e+02
BarnesHut Octupole 0.2, 73702, 10, 9.211304000000e+03, 2.198994410317e+02, 9.159863000000e+03, 9.305504000000e+03
BarnesHut Octupole 0.5, 9247, 10, 1.154541375000e+03, 6.355232310569e+00, 1.143282000000e+03, 1.166961000000e+03
BarnesHut Octupole 0.8, 3428, 10, 4.271003750000e+02, 4.400071543023e-01, 4.254270000000e+02, 4.316910000000e+02
BarnesHut Octupole 5, 515, 13, 4.591000000000e+01, 3.406500826441e-02, 4.539000000000e+01, 4.762700000000e+01
BarnesHut Monopole 0.2, 43890, 10, 5.485416250000e+03, 1.211860613986e+02, 5.443808000000e+03, 5.537840000000e+03
BarnesHut Monopole 0.5, 4579, 10, 5.713872500000e+02, 3.923682109380e-01, 5.691520000000e+02, 5.735790000000e+02
BarnesHut build Sequential, 1413, 10, 1.755008750000e+02, 2.723260136704e-01, 1.742640000000e+02, 1.792650000000e+02
BarnesHut build ThreadPool, 2088, 10, 2.591415000000e+02, 6.964213125011e-01, 2.556390000000e+02, 2.626550000000e+02
std::map 10, 500, 10274, 4.819986370717e-02, 7.692515718714e-11, 4.800000000000e-02, 6.500000000000e-02
Sph::Map 10, 500, 10302, 4.804524271845e-02, 1.999167582932e-11, 4.800000000000e-02, 7.700000000000e-02
std::map 100, 500, 6464, 7.696966883318e-02, 6.839631010553e-11, 7.500000000000e-02, 8.900000000000e-02
Sph::Map 100, 500, 5599, 8.882008218689e-02, 2.533907657633e-10, 8.700000000000e-02, 1.370000000000e-01
std::map 1000, 500, 2482, 2.011032258065e-01, 2.279457302667e-09, 1.980000000000e-01, 2.490000000000e-01
Sph::Map 1000, 500, 3809, 1.307507223536e-01, 1.193827244417e-09, 1.290000000000e-01, 2.000000000000e-01
std::map 10000, 500, 1219, 4.104576828266e-01, 2.045391645367e-08, 3.860000000000e-01, 4.740000000000e-01
Sph::Map 10000, 500, 1417, 3.529363957597e-01, 5.165567087495e-08, 3.410000000000e-01, 4.260000000000e-01
SymmetricSolver simple, 5336, 10, 6.474858750000e+02, 1.235797173240e+01, 6.338000000000e+02, 6.672120000000e+02
AsymmetricSolver simple, 2847, 10, 3.552488750000e+02, 2.030221169927e+00, 3.492340000000e+02, 3.603330000000e+02
EnergyConservingSolver simple, 162872, 10, 7.017311250000e+02, 2.632139079490e+01, 6.869900000000e+02, 7.302960000000e+02
GravitySolver simple, 18153, 10, 2.268358875000e+03, 2.181697707612e+01, 2.241184000000e+03, 2.284319000000e+03
